Source_Article_ID,Target_Article_ID,Relationship_Type,Strength,Method,Reason,People_Connection,Org_Connection
ART-0001,ART-0003,"shared_person, temporal_proximity",0.386,deterministic,"Deterministic match: shared_person, temporal_proximity",elon musk,
ART-0001,ART-0004,"shared_person, temporal_proximity",0.400,deterministic,"Deterministic match: shared_person, temporal_proximity",elon musk,
ART-0001,ART-0006,"shared_person, temporal_proximity",0.400,deterministic,"Deterministic match: shared_person, temporal_proximity",elon musk,
ART-0001,ART-0007,"same_category, temporal_proximity",0.300,deterministic,"Deterministic match: same_category, temporal_proximity",,
ART-0001,ART-0009,"shared_person, temporal_proximity",0.400,deterministic,"Deterministic match: shared_person, temporal_proximity",elon musk,
ART-0001,ART-0010,"same_category, temporal_proximity",0.300,deterministic,"Deterministic match: same_category, temporal_proximity",,
ART-0001,ART-0013,"shared_person, temporal_proximity",0.386,deterministic,"Deterministic match: shared_person, temporal_proximity",elon musk,
ART-0002,ART-0003,"same_category, tag_overlap, temporal_proximity",0.386,deterministic,"Deterministic match: same_category, tag_overlap, temporal_proximity",,
ART-0002,ART-0005,"tag_overlap, temporal_proximity",0.200,deterministic,"Deterministic match: tag_overlap, temporal_proximity",,
ART-0002,ART-0007,"tag_overlap, temporal_proximity",0.200,deterministic,"Deterministic match: tag_overlap, temporal_proximity",,
ART-0002,ART-0008,"same_category, tag_overlap, temporal_proximity",0.400,deterministic,"Deterministic match: same_category, tag_overlap, temporal_proximity",,
ART-0002,ART-0009,"tag_overlap, temporal_proximity",0.200,deterministic,"Deterministic match: tag_overlap, temporal_proximity",,
ART-0002,ART-0012,"same_category, tag_overlap, temporal_proximity",0.386,deterministic,"Deterministic match: same_category, tag_overlap, temporal_proximity",,
ART-0002,ART-0014,causes_chain,0.800,gpt_cluster,The restoration of health information webpages ordered by Judge Bates (ART-0002) led to the reinstatement of datasets by health agencies (ART-0014).,,
ART-0002,ART-0015,"same_category, tag_overlap, temporal_proximity",0.386,deterministic,"Deterministic match: same_category, tag_overlap, temporal_proximity",,
ART-0003,ART-0004,"shared_person, shared_organization, temporal_proximity",0.686,deterministic,"Deterministic match: shared_person, shared_organization, temporal_proximity",elon musk,treasury department
ART-0003,ART-0006,"shared_person, temporal_proximity",0.386,deterministic,"Deterministic match: shared_person, temporal_proximity",elon musk,
ART-0003,ART-0008,"same_category, tag_overlap, temporal_proximity",0.486,deterministic,"Deterministic match: same_category, tag_overlap, temporal_proximity",,
ART-0003,ART-0009,content_similarity,0.629,embedding,Content similarity: 0.629,,
ART-0003,ART-0012,"same_category, tag_overlap, temporal_proximity",0.371,deterministic,"Deterministic match: same_category, tag_overlap, temporal_proximity",,
ART-0003,ART-0013,"shared_person, temporal_proximity",0.371,deterministic,"Deterministic match: shared_person, temporal_proximity",elon musk,
ART-0003,ART-0014,"same_category, temporal_proximity",0.271,deterministic,"Deterministic match: same_category, temporal_proximity",,
ART-0003,ART-0015,"same_category, temporal_proximity",0.271,deterministic,"Deterministic match: same_category, temporal_proximity",,
ART-0004,ART-0006,content_similarity,0.634,embedding,Content similarity: 0.634,,
ART-0004,ART-0009,content_similarity,0.630,embedding,Content similarity: 0.630,,
ART-0004,ART-0013,"shared_person, temporal_proximity",0.386,deterministic,"Deterministic match: shared_person, temporal_proximity",elon musk,
ART-0005,ART-0006,"same_category, temporal_proximity",0.300,deterministic,"Deterministic match: same_category, temporal_proximity",,
ART-0005,ART-0007,"shared_person, tag_overlap, temporal_proximity",0.500,deterministic,"Deterministic match: shared_person, tag_overlap, temporal_proximity",donald trump,
ART-0005,ART-0008,"shared_person, temporal_proximity",0.400,deterministic,"Deterministic match: shared_person, temporal_proximity",donald trump,
ART-0005,ART-0009,"shared_person, tag_overlap, temporal_proximity",0.500,deterministic,"Deterministic match: shared_person, tag_overlap, temporal_proximity",donald trump,
ART-0005,ART-0010,"shared_person, temporal_proximity",0.400,deterministic,"Deterministic match: shared_person, temporal_proximity",donald trump,
ART-0005,ART-0011,"shared_person, temporal_proximity",0.400,deterministic,"Deterministic match: shared_person, temporal_proximity",donald trump,
ART-0005,ART-0012,"shared_person, temporal_proximity",0.386,deterministic,"Deterministic match: shared_person, temporal_proximity",donald trump,
ART-0005,ART-0013,"same_category, temporal_proximity",0.286,deterministic,"Deterministic match: same_category, temporal_proximity",,
ART-0005,ART-0015,"shared_person, tag_overlap, temporal_proximity",0.486,deterministic,"Deterministic match: shared_person, tag_overlap, temporal_proximity",donald trump,
ART-0006,ART-0009,content_similarity,0.633,embedding,Content similarity: 0.633,,
ART-0006,ART-0013,thematic_link,0.700,gpt_cluster,Both articles highlight actions taken by Elon Musk that negatively affect federal education programs and funding.,,
ART-0007,ART-0008,"shared_person, temporal_proximity",0.400,deterministic,"Deterministic match: shared_person, temporal_proximity",donald trump,
ART-0007,ART-0009,"shared_person, tag_overlap, temporal_proximity",0.500,deterministic,"Deterministic match: shared_person, tag_overlap, temporal_proximity",donald trump,
ART-0007,ART-0010,"shared_person, same_category, temporal_proximity",0.600,deterministic,"Deterministic match: shared_person, same_category, temporal_proximity",donald trump,
ART-0007,ART-0011,"shared_person, temporal_proximity",0.400,deterministic,"Deterministic match: shared_person, temporal_proximity",donald trump,
ART-0007,ART-0012,"shared_person, temporal_proximity",0.386,deterministic,"Deterministic match: shared_person, temporal_proximity",donald trump,
ART-0007,ART-0015,"shared_person, tag_overlap, temporal_proximity",0.486,deterministic,"Deterministic match: shared_person, tag_overlap, temporal_proximity",donald trump,
ART-0008,ART-0009,"shared_person, temporal_proximity",0.400,deterministic,"Deterministic match: shared_person, temporal_proximity",donald trump,
ART-0008,ART-0010,"shared_person, temporal_proximity",0.400,deterministic,"Deterministic match: shared_person, temporal_proximity",donald trump,
ART-0008,ART-0011,"shared_person, tag_overlap, temporal_proximity",0.500,deterministic,"Deterministic match: shared_person, tag_overlap, temporal_proximity",donald trump,
ART-0008,ART-0012,"shared_person, same_category, tag_overlap, temporal_proximity",0.786,deterministic,"Deterministic match: shared_person, same_category, tag_overlap, temporal_proximity",donald trump,
ART-0008,ART-0014,"same_category, temporal_proximity",0.286,deterministic,"Deterministic match: same_category, temporal_proximity",,
ART-0008,ART-0015,"shared_person, same_category, temporal_proximity",0.586,deterministic,"Deterministic match: shared_person, same_category, temporal_proximity",donald trump,
ART-0009,ART-0010,"shared_person, temporal_proximity",0.400,deterministic,"Deterministic match: shared_person, temporal_proximity",donald trump,
