AWLEVEL,CTOTALM,CTOTALW,CTOTALT,AWLEVEL_CODE,AWLEVEL_LABEL,PCT_WOMEN,PCT_MEN
17,4329,11507,15836,17,Doctor’s degree – research/scholarship,72.66,27.34
18,128,313,441,18,Doctor’s degree – professional practice,70.98,29.02
19,112,258,370,19,Doctor’s degree – other,69.73,30.27
2,472,4071,4543,2,Postsecondary cert 1–<2 years,89.61,10.39
20,227,2343,2570,20,20,91.17,8.83
21,1377,11470,12847,21,21,89.28,10.72
3,1967,15977,17944,3,Associate’s degree,89.04,10.96
4,31,215,246,4,Postsecondary cert 2–<4 years,87.4,12.6
5,15725,76326,92051,5,Bachelor’s degree,82.92,17.08
6,3223,12816,16039,6,Postbaccalaureate certificate,79.91,20.09
7,30308,114548,144856,7,Master’s degree,79.08,20.92
8,2176,7517,9693,8,Post-master’s certificate,77.55,22.45
