AWLEVEL,CAIANT,CASIAT,CBKAAT,CHISPT,CNHPIT,CWHITT,C2MORT,CUNKNT,CNRALT,AWLEVEL_CODE,AWLEVEL_LABEL
17,94,555,3639,1601,33,7738,391,990,795,17,Doctor’s degree – research/scholarship
18,5,23,52,32,8,275,18,13,15,18,Doctor’s degree – professional practice
19,5,14,63,27,1,220,17,13,10,19,Doctor’s degree – other
2,98,158,546,914,38,2464,135,157,33,2,Postsecondary cert 1–<2 years
20,30,126,176,792,4,1224,66,94,58,20,20
21,194,565,1817,3136,28,6035,341,531,200,21,21
3,323,442,1957,5069,132,8782,577,461,201,3,Associate’s degree
4,1,5,3,17,18,191,4,4,3,4,Postsecondary cert 2–<4 years
5,608,2463,6039,14511,178,62205,2838,2270,939,5,Bachelor’s degree
6,84,508,1608,1894,10,10454,472,615,394,6,Postbaccalaureate certificate
7,766,4863,15161,20428,303,88038,3869,7052,4376,7,Master’s degree
8,30,180,1657,662,7,6338,222,499,98,8,Post-master’s certificate
