AWLEVEL,CTOTALT,CTOTALM,CTOTALW,AWLEVEL_CODE,AWLEVEL_LABEL
17,15836,4329,11507,17,Doctor’s degree – research/scholarship
18,441,128,313,18,Doctor’s degree – professional practice
19,370,112,258,19,Doctor’s degree – other
2,4543,472,4071,2,Postsecondary cert 1–<2 years
20,2570,227,2343,20,20
21,12847,1377,11470,21,21
3,17944,1967,15977,3,Associate’s degree
4,246,31,215,4,Postsecondary cert 2–<4 years
5,92051,15725,76326,5,Bachelor’s degree
6,16039,3223,12816,6,Postbaccalaureate certificate
7,144856,30308,114548,7,Master’s degree
8,9693,2176,7517,8,Post-master’s certificate
