SCHOOL_YEAR,FIPST,STATENAME,ST,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,GRADE,RACE_ETHNICITY,SEX,STUDENT_COUNT,TOTAL_INDICATOR,DMS_FLAG
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 1,American Indian or Alaska Native,Female,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 1,American Indian or Alaska Native,Male,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 1,Asian,Female,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 1,Asian,Male,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 1,Black or African American,Female,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 1,Black or African American,Male,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 1,Hispanic/Latino,Female,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 1,Hispanic/Latino,Male,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 1,Native Hawaiian or Other Pacific Islander,Female,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 1,Native Hawaiian or Other Pacific Islander,Male,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 1,Not Specified,Not Specified,0,Category Set A - By Race/Ethnicity; Sex; Grade,Derived
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 1,Two or more races,Female,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 1,Two or more races,Male,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 1,White,Female,1,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 1,White,Male,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 10,American Indian or Alaska Native,Female,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 10,American Indian or Alaska Native,Male,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 10,Asian,Female,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 10,Asian,Male,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 10,Black or African American,Female,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 10,Black or African American,Male,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 10,Hispanic/Latino,Female,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 10,Hispanic/Latino,Male,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 10,Native Hawaiian or Other Pacific Islander,Female,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 10,Native Hawaiian or Other Pacific Islander,Male,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 10,Not Specified,Not Specified,0,Category Set A - By Race/Ethnicity; Sex; Grade,Derived
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 10,Two or more races,Female,1,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 10,Two or more races,Male,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 10,White,Female,2,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 10,White,Male,3,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 11,American Indian or Alaska Native,Female,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 11,American Indian or Alaska Native,Male,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 11,Asian,Female,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 11,Asian,Male,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 11,Black or African American,Female,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 11,Black or African American,Male,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 11,Hispanic/Latino,Female,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 11,Hispanic/Latino,Male,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 11,Native Hawaiian or Other Pacific Islander,Female,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 11,Native Hawaiian or Other Pacific Islander,Male,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 11,Not Specified,Not Specified,0,Category Set A - By Race/Ethnicity; Sex; Grade,Derived
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 11,Two or more races,Female,1,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 11,Two or more races,Male,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 11,White,Female,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 11,White,Male,1,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 12,American Indian or Alaska Native,Female,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 12,American Indian or Alaska Native,Male,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 12,Asian,Female,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 12,Asian,Male,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 12,Black or African American,Female,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 12,Black or African American,Male,1,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 12,Hispanic/Latino,Female,0,Category Set A - By Race/Ethnicity; Sex; Grade,Manual adjustment
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Grade 12,Hispanic/Latino,Male,1,Category Set A - By Race/Ethnicity; Sex; Grade,Reported
