SCHOOL_YEAR,FIPST,STATENAME,ST,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,STAFF,STAFF_COUNT,TOTAL_INDICATOR,DMS_FLAG
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,All Other Support Staff,0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Elementary School Counselors,,Category Set A,Missing
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Elementary Teachers,11.73,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Instructional Coordinators and Supervisors to the Staff,0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Kindergarten Teachers,5.90,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,LEA Administrative Support Staff,0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,LEA Administrators,2.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Librarians/media specialists,0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Library/Media Support Staff,0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Paraprofessionals/Instructional Aides,0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Pre-kindergarten Teachers,7.58,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,School Administrative Support Staff,0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,School administrators,0.17,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,School Counselors,0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,School Psychologists,0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Secondary School Counselors,,Category Set A,Missing
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Secondary Teachers,6.12,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Student Support Services Staff (w/o Psychology),0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Guidance Counselors,0.00,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,LEA Staff,2.00,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Other Staff,0.00,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,School Staff,0.17,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,Teachers,31.33,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,School for Blind,01,,KS-S0604,2000018,No Category Codes,33.50,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,All Other Support Staff,0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,Elementary School Counselors,,Category Set A,Missing
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,Elementary Teachers,12.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,Instructional Coordinators and Supervisors to the Staff,1.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,Kindergarten Teachers,1.83,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,LEA Administrative Support Staff,0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,LEA Administrators,1.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,Librarians/media specialists,0.75,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,Library/Media Support Staff,0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,Paraprofessionals/Instructional Aides,0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,Pre-kindergarten Teachers,2.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,School Administrative Support Staff,0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,School administrators,1.20,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,School Counselors,0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,School Psychologists,0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,Secondary School Counselors,,Category Set A,Missing
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,Secondary Teachers,9.21,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,Student Support Services Staff (w/o Psychology),0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,Guidance Counselors,0.00,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,LEA Staff,2.00,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,Other Staff,0.00,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,School Staff,1.95,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,Teachers,25.04,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,School for Deaf,01,,KS-S0610,2000019,No Category Codes,29.00,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,All Other Support Staff,39.90,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,Elementary School Counselors,,Category Set A,Missing
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,Elementary Teachers,126.01,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,Instructional Coordinators and Supervisors to the Staff,11.53,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,Kindergarten Teachers,25.61,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,LEA Administrative Support Staff,6.30,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,LEA Administrators,2.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,Librarians/media specialists,1.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,Library/Media Support Staff,3.70,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,Paraprofessionals/Instructional Aides,38.30,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,Pre-kindergarten Teachers,8.24,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,School Administrative Support Staff,10.40,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,School administrators,9.43,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,School Counselors,7.65,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,School Psychologists,5.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,Secondary School Counselors,,Category Set A,Missing
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,Secondary Teachers,67.92,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,Student Support Services Staff (w/o Psychology),22.90,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,Guidance Counselors,7.65,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,LEA Staff,19.83,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,Other Staff,39.90,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,School Staff,90.73,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,Teachers,227.78,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Basehor-Linwood,01,,KS-D0458,2003780,No Category Codes,385.90,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,All Other Support Staff,49.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,Elementary School Counselors,,Category Set A,Missing
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,Elementary Teachers,111.02,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,Instructional Coordinators and Supervisors to the Staff,3.64,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,Kindergarten Teachers,23.50,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,LEA Administrative Support Staff,8.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,LEA Administrators,3.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,Librarians/media specialists,2.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,Library/Media Support Staff,3.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,Paraprofessionals/Instructional Aides,59.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,Pre-kindergarten Teachers,6.50,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,School Administrative Support Staff,10.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,School administrators,9.83,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,School Counselors,6.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,School Psychologists,1.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,Secondary School Counselors,,Category Set A,Missing
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,Secondary Teachers,61.55,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,Student Support Services Staff (w/o Psychology),18.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,Guidance Counselors,6.00,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,LEA Staff,14.64,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,Other Staff,49.00,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,School Staff,102.83,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,Teachers,202.57,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Bonner Springs,01,,KS-D0204,2004050,No Category Codes,375.05,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,All Other Support Staff,99.90,Category Set A,Reported
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,Elementary School Counselors,,Category Set A,Missing
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,Elementary Teachers,301.70,Category Set A,Reported
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,Instructional Coordinators and Supervisors to the Staff,4.70,Category Set A,Reported
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,Kindergarten Teachers,69.87,Category Set A,Reported
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,LEA Administrative Support Staff,13.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,LEA Administrators,3.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,Librarians/media specialists,0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,Library/Media Support Staff,0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,Paraprofessionals/Instructional Aides,121.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,Pre-kindergarten Teachers,14.50,Category Set A,Reported
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,School Administrative Support Staff,24.30,Category Set A,Reported
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,School administrators,21.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,School Counselors,14.50,Category Set A,Reported
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,School Psychologists,7.80,Category Set A,Reported
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,Secondary School Counselors,,Category Set A,Missing
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,Secondary Teachers,167.93,Category Set A,Reported
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,Student Support Services Staff (w/o Psychology),69.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,Guidance Counselors,14.50,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,LEA Staff,20.70,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,Other Staff,99.90,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,School Staff,243.10,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,Teachers,554.00,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,De Soto,01,,KS-D0232,2005490,No Category Codes,932.20,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,All Other Support Staff,13.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,Elementary School Counselors,,Category Set A,Missing
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,Elementary Teachers,32.13,Category Set A,Reported
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,Instructional Coordinators and Supervisors to the Staff,1.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,Kindergarten Teachers,4.87,Category Set A,Reported
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,LEA Administrative Support Staff,2.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,LEA Administrators,1.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,Librarians/media specialists,0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,Library/Media Support Staff,3.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,Paraprofessionals/Instructional Aides,3.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,Pre-kindergarten Teachers,2.47,Category Set A,Reported
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,School Administrative Support Staff,6.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,School administrators,3.12,Category Set A,Reported
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,School Counselors,1.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,School Psychologists,0.78,Category Set A,Reported
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,Secondary School Counselors,,Category Set A,Missing
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,Secondary Teachers,16.90,Category Set A,Reported
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,Student Support Services Staff (w/o Psychology),4.40,Category Set A,Reported
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,Guidance Counselors,1.00,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,LEA Staff,4.00,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,Other Staff,13.00,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,School Staff,20.30,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,Teachers,56.37,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Easton,01,,KS-D0449,2005640,No Category Codes,94.66,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,All Other Support Staff,37.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Elementary School Counselors,,Category Set A,Missing
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Elementary Teachers,93.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Instructional Coordinators and Supervisors to the Staff,10.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Kindergarten Teachers,23.67,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,LEA Administrative Support Staff,5.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,LEA Administrators,2.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Librarians/media specialists,3.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Library/Media Support Staff,0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Paraprofessionals/Instructional Aides,32.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Pre-kindergarten Teachers,10.42,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,School Administrative Support Staff,4.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,School administrators,4.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,School Counselors,4.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,School Psychologists,2.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Secondary School Counselors,,Category Set A,Missing
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Secondary Teachers,8.92,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Student Support Services Staff (w/o Psychology),26.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Guidance Counselors,4.00,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,LEA Staff,17.00,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Other Staff,37.00,Derived - Major Staffing Category,Derived
