SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,DATA_GROUP,LUNCH_PROGRAM,STUDENT_COUNT,TOTAL_INDICATOR,DMS_FLAG
2024-2025,20,KANSAS,KS,School for Blind Elementary,01,,KS-S0604,2000018,KS-S0604-8428,200001801750,2001750,Free and Reduced-price Lunch Table,No Category Codes,4,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,School for Blind Elementary,01,,KS-S0604,2000018,KS-S0604-8428,200001801750,2001750,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,School for Blind Elementary,01,,KS-S0604,2000018,KS-S0604-8428,200001801750,2001750,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Blind Elementary,01,,KS-S0604,2000018,KS-S0604-8428,200001801750,2001750,Free and Reduced-price Lunch Table,Free lunch qualified,2,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Blind Elementary,01,,KS-S0604,2000018,KS-S0604-8428,200001801750,2001750,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,2,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Blind High,01,,KS-S0604,2000018,KS-S0604-8432,200001801751,2001751,Free and Reduced-price Lunch Table,No Category Codes,4,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,School for Blind High,01,,KS-S0604,2000018,KS-S0604-8432,200001801751,2001751,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,School for Blind High,01,,KS-S0604,2000018,KS-S0604-8432,200001801751,2001751,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Blind High,01,,KS-S0604,2000018,KS-S0604-8432,200001801751,2001751,Free and Reduced-price Lunch Table,Free lunch qualified,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Blind High,01,,KS-S0604,2000018,KS-S0604-8432,200001801751,2001751,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,4,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Deaf Elementary,01,,KS-S0610,2000019,KS-S0610-0884,200001901752,2001752,Free and Reduced-price Lunch Table,No Category Codes,13,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,School for Deaf Elementary,01,,KS-S0610,2000019,KS-S0610-0884,200001901752,2001752,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,School for Deaf Elementary,01,,KS-S0610,2000019,KS-S0610-0884,200001901752,2001752,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Deaf Elementary,01,,KS-S0610,2000019,KS-S0610-0884,200001901752,2001752,Free and Reduced-price Lunch Table,Free lunch qualified,12,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Deaf Elementary,01,,KS-S0610,2000019,KS-S0610-0884,200001901752,2001752,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,1,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Deaf High,01,,KS-S0610,2000019,KS-S0610-0886,200001901753,2001753,Free and Reduced-price Lunch Table,No Category Codes,13,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,School for Deaf High,01,,KS-S0610,2000019,KS-S0610-0886,200001901753,2001753,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,School for Deaf High,01,,KS-S0610,2000019,KS-S0610-0886,200001901753,2001753,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Deaf High,01,,KS-S0610,2000019,KS-S0610-0886,200001901753,2001753,Free and Reduced-price Lunch Table,Free lunch qualified,13,Category Set A,Reported
2024-2025,20,KANSAS,KS,School for Deaf High,01,,KS-S0610,2000019,KS-S0610-0886,200001901753,2001753,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor Elementary School,01,,KS-D0458,2003780,KS-D0458-7160,200378001184,2001184,Free and Reduced-price Lunch Table,No Category Codes,106,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Basehor Elementary School,01,,KS-D0458,2003780,KS-D0458-7160,200378001184,2001184,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Basehor Elementary School,01,,KS-D0458,2003780,KS-D0458-7160,200378001184,2001184,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor Elementary School,01,,KS-D0458,2003780,KS-D0458-7160,200378001184,2001184,Free and Reduced-price Lunch Table,Free lunch qualified,95,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor Elementary School,01,,KS-D0458,2003780,KS-D0458-7160,200378001184,2001184,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,11,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood High School,01,,KS-D0458,2003780,KS-D0458-7164,200378001186,2001186,Free and Reduced-price Lunch Table,No Category Codes,174,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood High School,01,,KS-D0458,2003780,KS-D0458-7164,200378001186,2001186,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Basehor-Linwood High School,01,,KS-D0458,2003780,KS-D0458-7164,200378001186,2001186,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood High School,01,,KS-D0458,2003780,KS-D0458-7164,200378001186,2001186,Free and Reduced-price Lunch Table,Free lunch qualified,138,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood High School,01,,KS-D0458,2003780,KS-D0458-7164,200378001186,2001186,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,36,Category Set A,Reported
2024-2025,20,KANSAS,KS,Linwood Elementary School,01,,KS-D0458,2003780,KS-D0458-7170,200378001187,2001187,Free and Reduced-price Lunch Table,No Category Codes,59,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Linwood Elementary School,01,,KS-D0458,2003780,KS-D0458-7170,200378001187,2001187,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Linwood Elementary School,01,,KS-D0458,2003780,KS-D0458-7170,200378001187,2001187,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
