SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,TEACHERS,TOTAL_INDICATOR,DMS_FLAG
2024-2025,20,KANSAS,KS,School for Blind Elementary,01,,KS-S0604,2000018,KS-S0604-8428,200001801750,2001750,6.46,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,School for Blind High,01,,KS-S0604,2000018,KS-S0604-8432,200001801751,2001751,4.97,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,School for Deaf Elementary,01,,KS-S0610,2000019,KS-S0610-0884,200001901752,2001752,11.87,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,School for Deaf High,01,,KS-S0610,2000019,KS-S0610-0886,200001901753,2001753,13.25,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Basehor Elementary School,01,,KS-D0458,2003780,KS-D0458-7160,200378001184,2001184,35.57,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood High School,01,,KS-D0458,2003780,KS-D0458-7164,200378001186,2001186,62.85,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Linwood Elementary School,01,,KS-D0458,2003780,KS-D0458-7170,200378001187,2001187,20.87,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood Middle School,01,,KS-D0458,2003780,KS-D0458-7172,200378001188,2001188,48.44,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Glenwood Ridge Elementary School,01,,KS-D0458,2003780,KS-D0458-7175,200378001729,2001729,25.76,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Gray Hawk Elementary School,01,,KS-D0458,2003780,KS-D0458-7181,200378002159,2002159,23.22,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood Virtual School,01,,KS-D0458,2003780,KS-D0458-7188,200378002160,2002160,6.11,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Bonner Springs Elementary,01,,KS-D0204,2004050,KS-D0204-0210,200405000029,2000029,28.36,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Robert E Clark Middle,01,,KS-D0204,2004050,KS-D0204-0221,200405000030,2000030,50.21,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Bonner Springs High,01,,KS-D0204,2004050,KS-D0204-0214,200405000031,2000031,61.53,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Edwardsville Elem,01,,KS-D0204,2004050,KS-D0204-0216,200405000032,2000032,27.33,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Delaware Ridge Elementary,01,,KS-D0204,2004050,KS-D0204-0228,200405001827,2001827,28.28,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,De Soto  High  School,01,,KS-D0232,2005490,KS-D0232-0832,200549000127,2000127,71.46,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Monticello Trails Middle School,01,,KS-D0232,2005490,KS-D0232-0835,200549000898,2000898,48.89,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Lexington Trails Middle School,01,,KS-D0232,2005490,KS-D0232-0836,200549000906,2000906,31.45,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Clear Creek Elem,01,,KS-D0232,2005490,KS-D0232-0825,200549001457,2001457,35.00,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Starside Elem,01,,KS-D0232,2005490,KS-D0232-0837,200549001462,2001462,39.00,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Riverview Elementary,01,,KS-D0232,2005490,KS-D0232-0843,200549001717,2001717,36.40,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Mill Valley High School,01,,KS-D0232,2005490,KS-D0232-0833,200549001723,2001723,90.41,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Mize Elementary School,01,,KS-D0232,2005490,KS-D0232-0842,200549001724,2001724,39.00,Education Unit Total,Reported
