source,source_url,filename,school_year,download_date,sha256,description,notes
NCES CCD,https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2425_w_1a_073025.zip,ccd_sch_029_2425_w_1a_073025.zip,2024-2025,2026-09-23,39326da788aa322353d20ceaf8ad4baed26272502cd05b066cf6c594988b21ab,NCES CCD Public Elementary/Secondary School Universe Survey Directory Data SY 2024-2025 (v.1a),"Contains school names, LEA IDs, address, grade span (GSLO/GSHI), operational status, school type, and charter text"
NCES CCD,https://nces.ed.gov/ccd/Data/zip/ccd_sch_129_2425_w_1a_073025.zip,ccd_sch_129_2425_w_1a_073025.zip,2024-2025,2026-09-23,f5a980377adc2e569c90307596c9874cceccb53639f62badc963cf0dbdf7e381,NCES CCD School Characteristics Data SY 2024-2025 (v.1a),"Contains virtual school status indicators (VIRTUAL, VIRTUAL_TEXT) and shared time indicators"
NCES EDGE,https://nces.ed.gov/programs/edge/data/EDGE_GEOCODE_PUBLICSCH_2425.zip,EDGE_GEOCODE_PUBLICSCH_2425.zip,2024-2025,2026-09-23,9dc51ecd5cdf6e38bdb679f7ac95e2bf73ee3fb48718b8612cf830800cffb288,NCES EDGE Public School Geocodes and Locale Assignments SY 2024-2025,"Contains building physical location, coordinates (LAT, LON), county name (NMCNTY), county FIPS (CNTY), and NCES locale code (LOCALE)"
NCES CCD,https://nces.ed.gov/ccd/Data/zip/ccd_sch_052_2425_l_1a_073025.zip,ccd_sch_052_2425_l_1a_073025.zip,2024-2025,2026-09-23,4a7f660c5fc5eaae488dd02fd43498f349fc828b227edd0970d5b6995ead4d4d,NCES CCD Public Elementary/Secondary School Universe Survey Membership Data SY 2024-2025 (v.1a),"Contains school-level student membership by grade (PK, KG, 01-12), race/ethnicity, and sex"
NCES CCD,https://nces.ed.gov/ccd/Data/zip/ccd_sch_059_2425_l_1a_073025.zip,ccd_sch_059_2425_l_1a_073025.zip,2024-2025,2026-09-23,a52dce73acb312ec5ceaddc2d6f5cc952dc329d16948cba65044f48904f6f381,NCES CCD Public Elementary/Secondary School Universe Survey Staff Data SY 2024-2025 (v.1a),Contains school-level classroom teacher FTE (TEACHERS)
NCES CCD,https://nces.ed.gov/ccd/Data/zip/ccd_sch_033_2425_l_2a_073025.zip,ccd_sch_033_2425_l_2a_073025.zip,2024-2025,2026-09-23,97bda749e778ee74cb731d181bbcdaf0f9c6cd6edf94cb31518a5bbeab411dd6,NCES CCD School-Level Free & Reduced-Price Lunch Data SY 2024-2025 (v.2a),"Contains counts of students eligible for free lunch, reduced-price lunch, and direct certification"
NCES CCD,https://nces.ed.gov/ccd/Data/zip/ccd_lea_052_2425_l_1a_073025.zip,ccd_lea_052_2425_l_1a_073025.zip,2024-2025,2026-09-23,501d72720a01c26e0e041cd3b1aa6653d0a94725ba0a1e85c42c4f183bc627ba,NCES CCD Local Education Agency Universe Survey Membership Data SY 2024-2025 (v.1a),"Contains LEA-level student membership by grade (PK, KG, 01-12), race/ethnicity, and sex"
NCES CCD,https://nces.ed.gov/ccd/Data/zip/ccd_lea_059_2425_l_1a_073025.zip,ccd_lea_059_2425_l_1a_073025.zip,2024-2025,2026-09-23,9016f9c871643bdd8046be72c9f8e94e5edbac79194b2cad3bcf952a9d3b09f9,NCES CCD Local Education Agency Universe Survey Staff Data SY 2024-2025 (v.1a),"Contains LEA-level staff FTE disaggregated by category (PK, KG, elementary, secondary, ungraded teachers, paraprofessionals, counselors, psychologists, administrators, etc.)"
Pipeline Output,internal,kc_school_capacity_long_2014_15_2024_25.csv,2014-2015 to 2024-2025,2026-09-24,,Primary longitudinal repeated cross-section school capacity panel,"7,384 school-year observations across 730 unique schools in 9 MARC counties"
Pipeline Output,internal,kc_lea_capacity_long_2014_15_2024_25.csv,2014-2015 to 2024-2025,2026-09-24,,Primary longitudinal repeated cross-section LEA capacity panel,881 LEA-year observations across 79-82 LEAs per year
Pipeline Output,internal,kc_school_balanced_panel_2014_15_2024_25.csv,2014-2015 to 2024-2025,2026-09-24,,Secondary balanced panel of continuously operating schools,"6,820 observations across 620 schools operating in all 11 school years"
Pipeline Output,internal,task003a_anomalies.csv,2014-2015 to 2024-2025,2026-09-24,,Task 003A & 003A.1 longitudinal audit and anomaly ledger,"409 flagged anomaly records across geocoding discrepancies, cross-boundary LEA years, coordinate drift, and NCES negative exception codes"
Pipeline Output,internal,task003a1_reporting_coverage.csv,2014-2015 to 2024-2025,2026-09-24,,Task 003A.1 annual reporting coverage table,"66 rows tracking entity counts, valid enrollment, and coverage quality tiers across all 11 years for schools and LEAs"
Pipeline Output,internal,task003a1_exception_frequency.csv,2014-2015 to 2024-2025,2026-09-24,,Task 003A.1 NCES exception code frequency table,"Tabulates all 1,790 negative exception code occurrences across school years, states, grains, and variables"
Reference,internal,historical_source_matrix.csv,2014-2015 to 2024-2025,2026-09-24,,Comprehensive catalog of all 99 raw NCES archives spanning 11 school years,"Contains source URLs, release versions, file sizes, and SHA-256 hashes for 2014-15 through 2024-25"
Task 003B Output,internal,task003b_regional_trends.csv,2014-2015 to 2024-2025,2026-09-24,,Annual regional structural staffing capacity trends,"22 rows tracking LEA K-12 and School Regular pupil/teacher ratios, paraprofessional intensity, combined ratios, and coverage tiers"
Task 003B Output,internal,task003b_state_trends.csv,2014-2015 to 2024-2025,2026-09-24,,Annual state-level structural capacity trends (MO vs KS),44 rows comparing Missouri and Kansas LEA and school staffing trajectories
Task 003B Output,internal,task003b_locale_trends.csv,2014-2015 to 2024-2025,2026-09-24,,Annual NCES locale structural capacity trends,"88 rows tracking City, Suburb, Town, and Rural trajectories under both dynamic cross-sections and fixed 2024-25 geography"
Task 003B Output,internal,task003b_gradeband_trends.csv,2014-2015 to 2024-2025,2026-09-24,,Annual school grade-band capacity trends,"44 rows comparing Primary, Middle, High, and Combined regular operating school staffing"
Task 003B Output,internal,task003b_endpoint_decomposition.csv,2014-2015 to 2024-2025,2026-09-24,,Non-causal accounting decompositions of capacity shifts,64 rows decomposing ratio changes into enrollment change vs teacher FTE change across full decade and subperiods
Task 003B Output,internal,task003b_balanced_panel_sensitivity.csv,2014-2015 to 2024-2025,2026-09-24,,Sensitivity comparison of repeated cross-sections vs balanced panel,11 rows comparing annual weighted and median ratios between full cross-section and 620 continuous schools
Task 003B Output,internal,task003b_model_results.csv,2014-2015 to 2024-2025,2026-09-24,,Econometric models of longitudinal capacity trends,19 rows detailing descriptive aggregate OLS trends and school fixed-effects panel models with clustered standard errors
CRDC / OCR,https://civilrightsdata.ed.gov/assets/ocr/docs/2013-14-crdc-data.zip,2013-14-crdc-data.zip,2013-2014,2026-09-24,remote_selective_extract,Civil Rights Data Collection (CRDC) Course Extracts SY 2013-2014 (2013-14),"Selectively extracted course files: Algebra I, Geometry, Algebra II, Biology, Chemistry, Physics"
CRDC / OCR,https://civilrightsdata.ed.gov/assets/ocr/docs/2015-16-crdc-data.zip,2015-16-crdc-data.zip,2015-2016,2026-09-24,72f4e5f684802adb877f22964b867facbe3e38c2892dda650999833d2ace01a4,Civil Rights Data Collection (CRDC) Public-Use Data Archive SY 2015-2016 (2015-16),"Contains courses and classes data: Algebra I, Geometry, Algebra II, Biology, Chemistry, Physics"
CRDC / OCR,https://civilrightsdata.ed.gov/assets/ocr/docs/2017-18-crdc-data.zip,2017-18-crdc-data.zip,2017-2018,2026-09-24,422d5cef8733c0d3084cb16e5ad4f459e38de943d3cd5118bc60c93d1e27511a,Civil Rights Data Collection (CRDC) Public-Use Data Archive SY 2017-2018 (2017-18),"Contains courses and classes data: Algebra I, Geometry, Algebra II, Biology, Chemistry, Physics"
CRDC / OCR,https://civilrightsdata.ed.gov/assets/ocr/docs/2020-21-crdc-data.zip,2020-21-crdc-data.zip,2020-2021,2026-09-24,1ccf87e16aa3d0778a98e776400782480f314ffbe9adbb53f4cc73e9954990db,Civil Rights Data Collection (CRDC) Public-Use Data Archive SY 2020-2021 (2020-21),"Contains courses and classes data: Algebra I, Geometry, Algebra II, Biology, Chemistry, Physics"
CRDC / OCR,https://civilrightsdata.ed.gov/assets/ocr/docs/2021-22-crdc-data.zip,2021-22-crdc-data.zip,2021-2022,2026-09-24,remote_selective_extract,Civil Rights Data Collection (CRDC) Course Extracts SY 2021-2022 (2021-22),"Selectively extracted course files: Algebra I, Geometry, Algebra II, Biology, Chemistry, Physics"
CRDC / OCR,https://civilrightsdata.ed.gov/assets/ocr/docs/2023-24-crdc-data.zip,2023-24-crdc-data.zip,2023-2024,2026-09-24,7471ce010c73804cfeddb50db28d0cf29d6d5a4fb903d4989cbb7a308f45475e,Civil Rights Data Collection (CRDC) Public-Use Data Archive SY 2023-2024 (2023-24),"Contains courses and classes data: Algebra I, Geometry, Algebra II, Biology, Chemistry, Physics"
Urban Institute / NCES CCD,https://educationdata.urban.org/api/v1/schools/ccd/directory/2013/,kc_ccd_school_capacity_2013_14.csv,2013-2014,2026-09-24,,NCES CCD School Directory & Staffing SY 2013-2014 (via Urban Institute Education Data Portal),"655 school records across 9 MARC counties, providing contemporaneous 2013-14 school PTR and school metadata"
CRDC Public-Use Files & CCD Longitudinal Panel,internal,kc_school_complexity_panel_2015_2024.csv,2015-2016 to 2023-2024,2026-09-24,,"School-level student complexity panel tracking IDEA (SPED), Section 504 accommodations, English Learners (EL), chronic absenteeism, and FRL rates","Task 004C: 2,550 school-wave records across 4 CRDC waves"
