school_year,nces_school_id,nces_lea_id,school_name,district_name,state,county_name,county_fips,school_level,school_type,operational_status,is_operating,locale_code,locale_group,is_charter,is_virtual,enrollment_total,classroom_teacher_fte,school_ptr
2013-2014,200001801750,2000018,SCHOOL FOR BLIND ELEMENTARY,SCHOOL FOR BLIND,KS,Wyandotte,20209,Primary,Special Education,1,True,12,City,False,False,8.0,6.0,1.33
2013-2014,200001801751,2000018,SCHOOL FOR BLIND HIGH,SCHOOL FOR BLIND,KS,Wyandotte,20209,High,Special Education,1,True,12,City,False,False,31.0,9.0,3.44
2013-2014,200001901752,2000019,SCHOOL FOR DEAF ELEMENTARY,SCHOOL FOR DEAF,KS,Johnson,20091,Primary,Special Education,1,True,21,Suburb,False,False,34.0,13.0,2.62
2013-2014,200001901753,2000019,SCHOOL FOR DEAF HIGH,SCHOOL FOR DEAF,KS,Johnson,20091,High,Special Education,1,True,21,Suburb,False,False,49.0,14.0,3.5
2013-2014,200002501855,2000025,KS. STATE PENITENTIARY (LANSING),KS. STATE PENITENTIARY,KS,Leavenworth,20103,High,Regular School,1,True,31,Town,False,False,0.0,,
2013-2014,200378001184,2003780,BASEHOR ELEMENTARY SCHOOL,BASEHOR-LINWOOD,KS,Leavenworth,20103,Primary,Regular School,1,True,31,Town,False,False,517.0,36.0,14.36
2013-2014,200378001186,2003780,BASEHOR-LINWOOD HIGH SCHOOL,BASEHOR-LINWOOD,KS,Leavenworth,20103,High,Regular School,1,True,31,Town,False,False,848.0,43.0,19.72
2013-2014,200378001187,2003780,LINWOOD ELEMENTARY SCHOOL,BASEHOR-LINWOOD,KS,Leavenworth,20103,Primary,Regular School,1,True,42,Rural,False,False,115.0,11.0,10.45
2013-2014,200378001188,2003780,BASEHOR-LINWOOD MIDDLE SCHOOL,BASEHOR-LINWOOD,KS,Leavenworth,20103,Middle,Regular School,1,True,41,Rural,False,False,532.0,31.0,17.16
2013-2014,200378001729,2003780,GLENWOOD RIDGE ELEMENTARY SCHOOL,BASEHOR-LINWOOD,KS,Leavenworth,20103,Primary,Regular School,1,True,41,Rural,False,False,333.0,20.0,16.65
2013-2014,200405000029,2004050,BONNER SPRINGS ELEMENTARY,BONNER SPRINGS,KS,Wyandotte,20209,Primary,Regular School,1,True,21,Suburb,False,False,464.0,32.0,14.5
2013-2014,200405000030,2004050,ROBERT E CLARK MIDDLE,BONNER SPRINGS,KS,Wyandotte,20209,Middle,Regular School,1,True,21,Suburb,False,False,590.0,41.0,14.39
2013-2014,200405000031,2004050,BONNER SPRINGS HIGH,BONNER SPRINGS,KS,Wyandotte,20209,High,Regular School,1,True,21,Suburb,False,False,721.0,55.0,13.11
2013-2014,200405000032,2004050,EDWARDSVILLE ELEM,BONNER SPRINGS,KS,Wyandotte,20209,Primary,Regular School,1,True,21,Suburb,False,False,427.0,31.0,13.77
2013-2014,200405001827,2004050,DELAWARE RIDGE ELEMENTARY,BONNER SPRINGS,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,363.0,24.0,15.12
2013-2014,200549000127,2005490,DE SOTO  HIGH  SCHOOL,DE SOTO,KS,Johnson,20091,High,Regular School,1,True,41,Rural,False,False,689.0,53.0,13.0
2013-2014,200549000898,2005490,MONTICELLO TRAILS MIDDLE SCHOOL,DE SOTO,KS,Johnson,20091,Middle,Regular School,1,True,21,Suburb,False,False,739.0,47.0,15.72
2013-2014,200549000906,2005490,LEXINGTON TRAILS MIDDLE SCHOOL,DE SOTO,KS,Johnson,20091,Middle,Regular School,1,True,41,Rural,False,False,322.0,30.0,10.73
2013-2014,200549001457,2005490,CLEAR CREEK ELEM,DE SOTO,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,524.0,34.0,15.41
