school_year,crdc_wave,nces_school_id,nces_lea_id,school_name,district_name,state,county_name,county_fips,locale_group,school_level,school_type,operational_status,is_operating,is_charter,is_virtual,school_ptr,enrollment_k12,classroom_teacher_fte,course_code,course_name,subject_area,course_level,num_classes,num_enrolled,num_certified,mean_class_size,certified_share,allocation_wedge
2013-2014,2013-14,290531000170,2905310,BLUE SPRINGS SOUTH HIGH,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,High,Regular School,1,True,False,False,23.34,2124.0,91.0,alg1,Algebra I,Math,Foundation Core,7.0,90.0,,12.857142857142858,,-10.482857142857142
2013-2014,2013-14,290531000170,2905310,BLUE SPRINGS SOUTH HIGH,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,High,Regular School,1,True,False,False,23.34,2124.0,91.0,geom,Geometry,Math,Foundation Core,,312.0,,,,
2013-2014,2013-14,290531000170,2905310,BLUE SPRINGS SOUTH HIGH,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,High,Regular School,1,True,False,False,23.34,2124.0,91.0,alg2,Algebra II,Math,Foundation Core,19.0,485.0,,25.526315789473685,,2.186315789473685
2013-2014,2013-14,290531000170,2905310,BLUE SPRINGS SOUTH HIGH,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,High,Regular School,1,True,False,False,23.34,2124.0,91.0,advm,Advanced Mathematics,Math,Advanced / Specialized,18.0,411.0,,22.833333333333332,,-0.5066666666666677
2013-2014,2013-14,290531000170,2905310,BLUE SPRINGS SOUTH HIGH,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,High,Regular School,1,True,False,False,23.34,2124.0,91.0,calc,Calculus,Math,Advanced / Specialized,4.0,92.0,,23.0,,-0.33999999999999986
2013-2014,2013-14,290531000170,2905310,BLUE SPRINGS SOUTH HIGH,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,High,Regular School,1,True,False,False,23.34,2124.0,91.0,bio,Biology,Science,Foundation Core,29.0,649.0,,22.379310344827587,,-0.9606896551724127
2013-2014,2013-14,290531000170,2905310,BLUE SPRINGS SOUTH HIGH,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,High,Regular School,1,True,False,False,23.34,2124.0,91.0,chem,Chemistry,Science,Foundation Core,12.0,276.0,,23.0,,-0.33999999999999986
2013-2014,2013-14,290531000170,2905310,BLUE SPRINGS SOUTH HIGH,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,High,Regular School,1,True,False,False,23.34,2124.0,91.0,phys,Physics,Science,Advanced / Specialized,5.0,115.0,,23.0,,-0.33999999999999986
2013-2014,2013-14,290825000223,2908250,BOONE ELEM.,CENTER 58,MO,Jackson,29095,City,Primary,Regular School,1,True,False,False,9.68,271.0,28.0,alg1,Algebra I,Math,Foundation Core,,,,,,
2013-2014,2013-14,290825000223,2908250,BOONE ELEM.,CENTER 58,MO,Jackson,29095,City,Primary,Regular School,1,True,False,False,9.68,271.0,28.0,geom,Geometry,Math,Foundation Core,,,,,,
2013-2014,2013-14,290825000223,2908250,BOONE ELEM.,CENTER 58,MO,Jackson,29095,City,Primary,Regular School,1,True,False,False,9.68,271.0,28.0,alg2,Algebra II,Math,Foundation Core,,,,,,
2013-2014,2013-14,290825000223,2908250,BOONE ELEM.,CENTER 58,MO,Jackson,29095,City,Primary,Regular School,1,True,False,False,9.68,271.0,28.0,advm,Advanced Mathematics,Math,Advanced / Specialized,,,,,,
2013-2014,2013-14,290825000223,2908250,BOONE ELEM.,CENTER 58,MO,Jackson,29095,City,Primary,Regular School,1,True,False,False,9.68,271.0,28.0,calc,Calculus,Math,Advanced / Specialized,,,,,,
2013-2014,2013-14,290825000223,2908250,BOONE ELEM.,CENTER 58,MO,Jackson,29095,City,Primary,Regular School,1,True,False,False,9.68,271.0,28.0,bio,Biology,Science,Foundation Core,,,,,,
2013-2014,2013-14,290825000223,2908250,BOONE ELEM.,CENTER 58,MO,Jackson,29095,City,Primary,Regular School,1,True,False,False,9.68,271.0,28.0,chem,Chemistry,Science,Foundation Core,,,,,,
2013-2014,2013-14,290825000223,2908250,BOONE ELEM.,CENTER 58,MO,Jackson,29095,City,Primary,Regular School,1,True,False,False,9.68,271.0,28.0,phys,Physics,Science,Advanced / Specialized,,,,,,
2013-2014,2013-14,201164001529,2011640,CRESTVIEW ELEM,SHAWNEE MISSION PUB SCH,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,13.79,331.0,24.0,alg1,Algebra I,Math,Foundation Core,,,,,,
2013-2014,2013-14,201164001529,2011640,CRESTVIEW ELEM,SHAWNEE MISSION PUB SCH,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,13.79,331.0,24.0,geom,Geometry,Math,Foundation Core,,,,,,
2013-2014,2013-14,201164001529,2011640,CRESTVIEW ELEM,SHAWNEE MISSION PUB SCH,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,13.79,331.0,24.0,alg2,Algebra II,Math,Foundation Core,,,,,,
2013-2014,2013-14,201164001529,2011640,CRESTVIEW ELEM,SHAWNEE MISSION PUB SCH,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,13.79,331.0,24.0,advm,Advanced Mathematics,Math,Advanced / Specialized,,,,,,
2013-2014,2013-14,201164001529,2011640,CRESTVIEW ELEM,SHAWNEE MISSION PUB SCH,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,13.79,331.0,24.0,calc,Calculus,Math,Advanced / Specialized,,,,,,
2013-2014,2013-14,201164001529,2011640,CRESTVIEW ELEM,SHAWNEE MISSION PUB SCH,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,13.79,331.0,24.0,bio,Biology,Science,Foundation Core,,,,,,
2013-2014,2013-14,201164001529,2011640,CRESTVIEW ELEM,SHAWNEE MISSION PUB SCH,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,13.79,331.0,24.0,chem,Chemistry,Science,Foundation Core,,,,,,
2013-2014,2013-14,201164001529,2011640,CRESTVIEW ELEM,SHAWNEE MISSION PUB SCH,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,13.79,331.0,24.0,phys,Physics,Science,Advanced / Specialized,,,,,,
2013-2014,2013-14,290531002735,2905310,FRESHMAN CTR. - G. BAKER BLDG.,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,Other,Regular School,1,True,False,False,,0.0,56.0,alg1,Algebra I,Math,Foundation Core,23.0,524.0,,22.782608695652176,,
2013-2014,2013-14,290531002735,2905310,FRESHMAN CTR. - G. BAKER BLDG.,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,Other,Regular School,1,True,False,False,,0.0,56.0,geom,Geometry,Math,Foundation Core,,354.0,,,,
2013-2014,2013-14,290531002735,2905310,FRESHMAN CTR. - G. BAKER BLDG.,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,Other,Regular School,1,True,False,False,,0.0,56.0,alg2,Algebra II,Math,Foundation Core,0.0,,,,,
2013-2014,2013-14,290531002735,2905310,FRESHMAN CTR. - G. BAKER BLDG.,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,Other,Regular School,1,True,False,False,,0.0,56.0,advm,Advanced Mathematics,Math,Advanced / Specialized,0.0,,,,,
2013-2014,2013-14,290531002735,2905310,FRESHMAN CTR. - G. BAKER BLDG.,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,Other,Regular School,1,True,False,False,,0.0,56.0,calc,Calculus,Math,Advanced / Specialized,0.0,,,,,
