school_year,crdc_wave,nces_school_id,nces_lea_id,school_name,district_name,lea_name,state,county_name,county_fips,locale_group,school_level,school_type,operational_status,is_operating,is_charter,is_virtual,enrollment_k12,classroom_teacher_fte,school_ptr,classes_alg1,enrollment_alg1,certified_alg1,mean_class_size_alg1,certified_share_alg1,allocation_wedge_alg1,classes_geom,enrollment_geom,certified_geom,mean_class_size_geom,certified_share_geom,allocation_wedge_geom,classes_alg2,enrollment_alg2,certified_alg2,mean_class_size_alg2,certified_share_alg2,allocation_wedge_alg2,classes_advm,enrollment_advm,certified_advm,mean_class_size_advm,certified_share_advm,allocation_wedge_advm,classes_calc,enrollment_calc,certified_calc,mean_class_size_calc,certified_share_calc,allocation_wedge_calc,classes_bio,enrollment_bio,certified_bio,mean_class_size_bio,certified_share_bio,allocation_wedge_bio,classes_chem,enrollment_chem,certified_chem,mean_class_size_chem,certified_share_chem,allocation_wedge_chem,classes_phys,enrollment_phys,certified_phys,mean_class_size_phys,certified_share_phys,allocation_wedge_phys
2013-2014,2013-14,290531000170,2905310,BLUE SPRINGS SOUTH HIGH,BLUE SPRINGS R-IV,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,High,Regular School,1,True,False,False,2124.0,91.0,23.34,7.0,90.0,,12.857142857142858,,-10.482857142857142,,312.0,,,,,19.0,485.0,,25.526315789473685,,2.186315789473685,18.0,411.0,,22.833333333333332,,-0.5066666666666677,4.0,92.0,,23.0,,-0.33999999999999986,29.0,649.0,,22.379310344827587,,-0.9606896551724127,12.0,276.0,,23.0,,-0.33999999999999986,5.0,115.0,,23.0,,-0.33999999999999986
2013-2014,2013-14,290825000223,2908250,BOONE ELEM.,CENTER 58,CENTER 58,MO,Jackson,29095,City,Primary,Regular School,1,True,False,False,271.0,28.0,9.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,201164001529,2011640,CRESTVIEW ELEM,SHAWNEE MISSION PUB SCH,SHAWNEE MISSION PUB SCH,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,331.0,24.0,13.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,290531002735,2905310,FRESHMAN CTR. - G. BAKER BLDG.,BLUE SPRINGS R-IV,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,Other,Regular School,1,True,False,False,0.0,56.0,,23.0,524.0,,22.782608695652176,,,,354.0,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,6.0,178.0,,29.666666666666668,,,1.0,11.0,,11.0,,,0.0,,,,,
2013-2014,2013-14,291854003226,2918540,DISCOVERY MIDDLE SCHOOL,LIBERTY 53,LIBERTY 53,MO,Clay,29047,Suburb,Middle,Regular School,3,True,False,False,611.0,41.0,14.9,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,200795001388,2007950,BANNEKER ELEM,KANSAS CITY,KANSAS CITY,KS,Wyandotte,20209,City,Primary,Regular School,1,True,False,False,398.0,28.0,14.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,200001801750,2000018,SCHOOL FOR BLIND ELEMENTARY,SCHOOL FOR BLIND,SCHOOL FOR BLIND,KS,Wyandotte,20209,City,Primary,Special Education,1,True,False,False,8.0,6.0,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,200795001778,2007950,MCKINLEY ELEMENTARY SCHOOL,KANSAS CITY,KANSAS CITY,KS,Wyandotte,20209,City,Primary,Regular School,1,True,False,False,197.0,15.0,13.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,290059303176,2900593,DELASALLE CHARTER SCHOOL,DELASALLE CHARTER SCHOOL,DELASALLE CHARTER SCHOOL,MO,Jackson,29095,City,High,Regular School,1,True,True,False,255.0,22.0,11.59,7.0,59.0,,8.428571428571429,,-3.161428571428571,,9.0,,,,,10.0,8.0,,0.8,,-10.79,0.0,,,,,,0.0,,,,,,10.0,120.0,,12.0,,0.41000000000000014,6.0,46.0,,7.666666666666667,,-3.923333333333333,7.0,45.0,,6.428571428571429,,-5.161428571428571
2013-2014,2013-14,292301001316,2923010,OAK GROVE ELEM.,OAK GROVE R-VI,OAK GROVE R-VI,MO,Jackson,29095,Suburb,Primary,Regular School,1,True,False,False,451.0,31.0,14.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
