nces_lea_id,district_name,state,county_primary,operating_schools_count,regular_schools_count,enrollment_total,enrollment_pk,enrollment_k12,enrollment_kg,enrollment_elem,enrollment_middle,enrollment_high,enrollment_ungraded,teachers_prek_fte,teachers_kindergarten_fte,teachers_elementary_fte,teachers_secondary_fte,teachers_ungraded_fte,teachers_total_reported_fte,teachers_k12_fte,teachers_sum_diff_reported,paraprofessionals_fte,instructional_coordinators_fte,counselors_fte,psychologists_fte,student_support_staff_fte,librarians_fte,school_administrators_fte,school_admin_support_fte,lea_administrators_fte,lea_admin_support_fte,other_support_staff_fte,total_staff_fte,idea_students,sped_teacher_fte,sped_paraprofessional_fte,english_learner_students,title3_teacher_count,idea_students_per_sped_teacher_fte,students_per_teacher_fte_k12,students_per_teacher_para_fte_k12,teachers_k12_per_1000,paraprofessionals_per_1000,counselors_per_1000,psychologists_per_1000,student_support_per_1000,coordinators_per_1000,school_administrators_per_1000,school_year
2000018,School for Blind,KS,Wyandotte County,2,0,38,0,38,0,11,6,21,0,7.58,5.9,11.73,6.12,0.0,31.33,23.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,2.0,0.0,0.0,33.5,,,,,,,1.6,1.6,625.0,0.0,0.0,0.0,0.0,0.0,4.47,2024-2025
2000019,School for Deaf,KS,Johnson County,2,0,118,11,107,6,36,21,44,0,2.0,1.83,12.0,9.21,0.0,25.04,23.04,0.0,0.0,1.0,0.0,0.0,0.0,0.75,1.2,0.0,1.0,0.0,0.0,29.0,,,,,,,4.64,4.64,215.33,0.0,0.0,0.0,0.0,9.35,11.21,2024-2025
2003780,Basehor-Linwood,KS,Leavenworth County,7,7,3096,154,2942,200,1030,708,993,11,8.24,25.61,126.01,67.92,0.0,227.78,219.54,0.0,38.3,11.53,7.65,5.0,22.9,1.0,9.43,10.4,2.0,6.3,39.9,385.9,,,,,,,13.4,11.41,74.62,13.02,2.6,1.7,7.78,3.92,3.21,2024-2025
2004050,Bonner Springs,KS,Wyandotte County,5,5,2535,147,2388,144,867,599,778,0,6.5,23.5,111.02,61.55,0.0,202.57,196.07,0.0,59.0,3.64,6.0,1.0,18.0,2.0,9.83,10.0,3.0,8.0,49.0,375.05,,,,,,,12.18,9.36,82.11,24.71,2.51,0.42,7.54,1.52,4.12,2024-2025
2005490,De Soto,KS,Johnson County,13,13,7295,228,7067,418,2549,1724,2376,0,14.5,69.87,301.7,167.93,0.0,554.0,539.5,0.0,121.0,4.7,14.5,7.8,69.0,0.0,21.0,24.3,3.0,13.0,99.9,932.2,,,,,,,13.1,10.7,76.34,17.12,2.05,1.1,9.76,0.67,2.97,2024-2025
2005640,Easton,KS,Leavenworth County,3,3,687,41,646,44,259,173,169,1,2.47,4.87,32.13,16.9,0.0,56.37,53.9,0.0,3.0,1.0,1.0,0.78,4.4,0.0,3.12,6.0,1.0,2.0,13.0,94.66,,,,,,,11.99,11.35,83.44,4.64,1.55,1.21,6.81,1.55,4.83,2024-2025
2006330,Fort Leavenworth,KS,Leavenworth County,4,4,1542,176,1366,163,814,351,38,0,10.42,23.67,93.0,8.92,0.0,136.01,125.59,0.0,32.0,10.0,4.0,2.0,26.0,3.0,4.0,4.0,2.0,5.0,37.0,265.0,,,,,,,10.88,8.67,91.94,23.43,2.93,1.46,19.03,7.32,2.93,2024-2025
2006420,Gardner Edgerton,KS,Johnson County,11,11,5858,277,5581,361,2095,1330,1795,0,20.53,57.75,268.4,118.78,0.0,465.46,444.93,-0.0,141.0,4.03,16.5,7.0,41.2,7.67,18.0,16.6,2.0,14.1,100.3,834.57,,,,,,,12.54,9.53,79.72,25.26,2.96,1.25,7.38,0.72,3.23,2024-2025
2007950,Kansas City,KS,Wyandotte County,43,43,21538,1328,20210,1606,7897,4489,6138,80,46.58,201.25,787.53,364.2,0.0,1399.56,1352.98,0.0,268.8,120.96,69.0,2.0,343.3,10.0,76.0,91.0,3.0,95.0,780.5,3285.93,,,,,,,14.94,12.46,66.95,13.3,3.41,0.1,16.99,5.99,3.76,2024-2025
2008340,Lansing,KS,Leavenworth County,5,5,2626,87,2539,162,892,589,888,8,6.03,14.85,98.49,56.47,0.0,175.84,169.81,0.0,87.0,11.5,8.67,1.0,26.0,1.0,6.0,6.0,2.0,5.0,50.7,383.2,,,,,,,14.95,9.89,66.88,34.27,3.41,0.39,10.24,4.53,2.36,2024-2025
