school_year,nces_lea_id,district_name,lea_name,state,county_primary,operating_schools_count,regular_schools_count,enrollment_total,enrollment_pk,enrollment_k12,enrollment_kg,teachers_prek_fte,teachers_kindergarten_fte,teachers_elementary_fte,teachers_secondary_fte,teachers_ungraded_fte,teachers_total_reported_fte,teachers_k12_fte,teachers_k12_fte_components,teachers_sum_diff_reported,paraprofessionals_fte,instructional_coordinators_fte,counselors_fte,psychologists_fte,student_support_staff_fte,librarians_fte,school_administrators_fte,school_admin_support_fte,lea_administrators_fte,lea_admin_support_fte,other_support_staff_fte,total_staff_fte,teacher_k12_valid,students_per_teacher_fte_k12,students_per_teacher_para_fte_k12,teachers_k12_per_1000,paraprofessionals_per_1000,counselors_per_1000,school_administrators_per_1000,lea_total_operating_schools_national,lea_operating_schools_in_region,lea_operating_schools_outside_region,lea_geographic_coverage_share,lea_fully_within_region
2014-2015,2000018,School for Blind,School for Blind,KS,Wyandotte County,2,0,32,0,32,2,1.0,3.1,1.0,11.7,,16.8,15.8,15.8,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,,0.4,,0.0,18.2,True,2.03,2.03,493.75,0.0,0.0,0.0,2,2,0,1.0,True
2014-2015,2000019,School for Deaf,School for Deaf,KS,Johnson County,2,0,96,10,86,4,3.0,4.0,8.0,14.2,,29.2,26.2,26.2,0.0,0.0,5.0,0.0,,1.0,1.0,2.0,,1.6,,0.0,39.8,True,3.28,3.28,304.65,0.0,0.0,23.26,2,2,0,1.0,True
2014-2015,2000025,KS. State Penitentiary,KS. State Penitentiary,KS,Leavenworth County,1,1,0,0,0,0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,True,,,,,,,1,1,0,1.0,True
2014-2015,2003780,Basehor-Linwood,Basehor-Linwood,KS,Leavenworth County,5,5,2414,21,2393,176,2.0,26.0,56.0,79.1,,163.1,161.1,161.1,0.0,30.6,0.0,5.0,,13.4,0.0,9.9,,3.0,,52.2,277.2,True,14.85,12.48,67.32,12.79,2.09,4.14,5,5,0,1.0,True
2014-2015,2004050,Bonner Springs,Bonner Springs,KS,Wyandotte County,5,5,2660,62,2598,205,3.0,51.2,49.0,94.6,,197.8,194.8,194.8,0.0,24.8,6.7,7.0,,18.5,2.0,10.3,,1.0,,52.0,320.1,True,13.34,11.83,74.98,9.55,2.69,3.96,5,5,0,1.0,True
2014-2015,2005490,De Soto,De Soto,KS,Johnson County,12,12,7089,145,6944,480,6.0,103.0,134.5,256.3,,499.8,493.8,493.8,0.0,84.2,8.0,17.4,,55.5,5.0,26.0,,2.0,,103.9,801.8,True,14.06,12.01,71.11,12.13,2.51,3.74,12,12,0,1.0,True
2014-2015,2005640,Easton,Easton,KS,Leavenworth County,3,3,639,10,629,37,0.1,13.4,10.4,35.9,,59.8,59.7,59.7,0.0,0.8,1.0,2.0,,6.5,0.0,4.1,,1.0,,16.0,91.2,True,10.54,10.4,94.91,1.27,3.18,6.52,3,3,0,1.0,True
2014-2015,2006330,Ft Leavenworth,Ft Leavenworth,KS,Leavenworth County,4,4,1769,25,1744,229,2.0,35.8,65.0,24.5,,127.3,125.3,125.3,0.0,28.7,4.0,4.0,,19.6,4.0,6.0,,3.7,,41.8,239.1,True,13.92,11.32,71.85,16.46,2.29,3.44,4,4,0,1.0,True
2014-2015,2006420,Gardner Edgerton,Gardner Edgerton,KS,Johnson County,11,11,5730,214,5516,467,9.6,91.4,93.5,186.1,,380.6,371.0,371.0,0.0,95.2,3.8,12.5,,41.8,10.6,22.0,,2.0,,84.8,653.3,True,14.87,11.83,67.26,17.26,2.27,3.99,11,11,0,1.0,True
2014-2015,2007950,Kansas City,Kansas City,KS,Wyandotte County,43,43,22129,971,21158,1875,86.5,222.6,483.3,685.7,,1478.1,1391.6,1391.6,0.0,292.0,106.9,52.6,,210.9,28.0,93.7,,4.0,,764.0,3030.2,True,15.2,12.57,65.77,13.8,2.49,4.43,43,43,0,1.0,True
2014-2015,2008250,Prairie View,Prairie View,KS,Miami County,0,0,934,54,880,56,1.0,13.6,25.4,42.8,,82.8,81.8,81.8,0.0,10.2,1.0,2.0,,8.7,1.0,5.0,,1.0,,28.9,140.6,True,10.76,9.57,92.95,11.59,2.27,5.68,4,0,4,0.0,False
2014-2015,2008340,Lansing,Lansing,KS,Leavenworth County,3,3,2503,0,2503,164,3.0,32.5,47.0,111.1,,193.6,190.6,190.6,0.0,66.0,0.0,4.0,,21.4,3.0,8.0,,3.0,,44.3,343.3,True,13.13,9.75,76.15,26.37,1.6,3.2,3,3,0,1.0,True
2014-2015,2008430,Leavenworth,Leavenworth,KS,Leavenworth County,7,7,3905,183,3722,281,10.0,53.1,77.7,132.1,,272.9,262.9,262.9,0.0,91.0,5.0,8.0,,62.0,5.0,19.0,,3.0,,110.0,575.9,True,14.16,10.52,70.63,24.45,2.15,5.1,7,7,0,1.0,True
2014-2015,2008970,Louisburg,Louisburg,KS,Miami County,5,5,1786,88,1698,117,2.0,18.1,34.5,62.3,,116.9,114.9,114.9,0.0,15.9,1.0,2.0,,9.0,2.0,5.0,,2.0,,34.6,188.4,True,14.78,12.98,67.67,9.36,1.18,2.94,5,5,0,1.0,True
2014-2015,2010140,Olathe,Olathe,KS,Johnson County,48,48,29296,857,28439,2115,81.0,374.2,564.9,1000.9,,2021.0,1940.0,1940.0,0.0,650.7,31.9,56.0,,293.5,36.1,90.0,,9.0,,484.7,3672.9,True,14.66,10.98,68.22,22.88,1.97,3.16,48,48,0,1.0,True
2014-2015,2010260,Osawatomie,Osawatomie,KS,Miami County,4,4,1281,110,1171,93,4.0,11.0,21.5,45.0,,81.5,77.5,77.5,0.0,2.0,4.8,2.0,,8.5,2.6,6.0,,1.0,,53.0,161.4,True,15.11,14.73,66.18,1.71,1.71,5.12,4,4,0,1.0,True
2014-2015,2010500,Paola,Paola,KS,Miami County,4,4,2025,49,1976,160,1.0,36.5,41.0,83.6,,162.1,161.1,161.1,0.0,248.0,0.0,2.0,,16.0,2.9,8.0,,4.0,,38.0,481.0,True,12.27,4.83,81.53,125.51,1.01,4.05,4,4,0,1.0,True
2014-2015,2010680,Piper-Kansas City,Piper-Kansas City,KS,Wyandotte County,4,4,2052,87,1965,166,4.1,18.4,35.3,61.0,,118.8,114.7,114.7,0.0,9.5,1.0,4.0,,8.5,2.0,7.0,,1.0,,35.2,187.0,True,17.13,15.82,58.37,4.83,2.04,3.56,4,4,0,1.0,True
