school_year,nces_school_id,nces_lea_id,school_name,district_name,lea_name,state,county_name,county_fips,latitude,longitude,distance_downtown_kc_miles,operational_status,is_operating,school_type,is_charter,grade_span,grade_span_low,grade_span_high,lowest_grade,highest_grade,locale_code_year,locale_desc_year,locale_group_year,locale_code,locale_desc,locale_group,virtual_status_desc,is_virtual,enrollment_total,enrollment_pk,enrollment_k12,enrollment_kg,has_pre_k,is_standalone_pk,classroom_teacher_fte,teacher_fte_valid,students_per_classroom_teacher_fte_allgrades,frl_eligible,frl_rate,frl_observed,analytical_stratum,years_observed_count,years_operating_count,first_observed_school_year,last_observed_school_year,balanced_panel_eligible,grade_span_changed_any,lea_changed_any,school_type_changed_any,locale_changed_any,locale_code_fixed_2024_2025,locale_group_fixed_2024_2025,school_level
2014-2015,200001801750,2000018,School for Blind Elementary,School for Blind,School for Blind,KS,Wyandotte County,20209,39.117254,-94.639686,3.46,1,True,Special Education,False,PK-06,PK,06,PK,06,12,City: Midsize,City,12,City: Midsize,City,Not reported,False,10.0,0.0,10.0,2.0,False,False,4.1,True,2.44,4.0,0.4,True,Special Education,11,11,2014-2015,2024-2025,True,True,False,False,False,12,City,Primary
2014-2015,200001801751,2000018,School for Blind High,School for Blind,School for Blind,KS,Wyandotte County,20209,39.117602,-94.640245,3.5,1,True,Special Education,False,07-12,07,12,07,12,12,City: Midsize,City,12,City: Midsize,City,Not reported,False,22.0,0.0,22.0,0.0,False,False,11.7,True,1.88,6.0,0.2727,True,Special Education,11,11,2014-2015,2024-2025,True,True,False,False,False,12,City,High
2014-2015,200001901752,2000019,School for Deaf Elementary,School for Deaf,School for Deaf,KS,Johnson County,20091,38.882561,-94.812328,19.74,1,True,Special Education,False,PK-06,PK,06,PK,06,21,Suburb: Large,Suburb,21,Suburb: Large,Suburb,Not reported,False,41.0,10.0,31.0,4.0,True,False,13.5,True,3.04,15.0,0.3659,True,Special Education,11,11,2014-2015,2024-2025,True,False,False,False,False,21,Suburb,Primary
2014-2015,200001901753,2000019,School for Deaf High,School for Deaf,School for Deaf,KS,Johnson County,20091,38.882644,-94.812707,19.75,1,True,Special Education,False,07-12,07,12,07,12,21,Suburb: Large,Suburb,21,Suburb: Large,Suburb,Not reported,False,55.0,0.0,55.0,0.0,False,False,14.2,True,3.87,11.0,0.2,True,Special Education,11,11,2014-2015,2024-2025,True,False,False,False,False,21,Suburb,High
2014-2015,200378001184,2003780,Basehor Elementary School,Basehor-Linwood,Basehor-Linwood,KS,Leavenworth County,20103,39.143868,-94.941253,19.68,1,True,Regular School,False,PK-05,PK,05,PK,05,31,Town: Fringe,Town,31,Town: Fringe,Town,Not reported,False,548.0,18.0,530.0,96.0,True,False,36.9,True,14.85,138.0,0.2518,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,True,41,Rural,Primary
2014-2015,200378001186,2003780,Basehor-Linwood High School,Basehor-Linwood,Basehor-Linwood,KS,Leavenworth County,20103,39.13133,-94.94001,19.51,1,True,Regular School,False,09-12,09,12,09,12,31,Town: Fringe,Town,31,Town: Fringe,Town,Not reported,False,854.0,0.0,854.0,0.0,False,False,45.0,True,18.98,130.0,0.1522,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,True,41,Rural,High
2014-2015,200378001187,2003780,Linwood Elementary School,Basehor-Linwood,Basehor-Linwood,KS,Leavenworth County,20103,39.001725,-95.040983,25.81,1,True,Regular School,False,PK-05,PK,05,PK,05,42,Rural: Distant,Rural,42,Rural: Distant,Rural,Not reported,False,110.0,0.0,110.0,12.0,False,False,12.7,True,8.66,41.0,0.3727,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,True,41,Rural,Primary
2014-2015,200378001188,2003780,Basehor-Linwood Middle School,Basehor-Linwood,Basehor-Linwood,KS,Leavenworth County,20103,39.09301,-94.94852,19.88,1,True,Regular School,False,06-08,06,08,06,08,41,Rural: Fringe,Rural,41,Rural: Fringe,Rural,Not reported,False,549.0,0.0,549.0,0.0,False,False,34.1,True,16.1,123.0,0.224,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,41,Rural,Middle
2014-2015,200378001729,2003780,Glenwood Ridge Elementary School,Basehor-Linwood,Basehor-Linwood,KS,Leavenworth County,20103,39.093178,-94.942094,19.54,1,True,Regular School,False,PK-05,PK,05,PK,05,41,Rural: Fringe,Rural,41,Rural: Fringe,Rural,Not reported,False,353.0,3.0,350.0,68.0,True,False,22.0,True,16.05,55.0,0.1558,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,41,Rural,Primary
2014-2015,200405000029,2004050,Bonner Springs Elementary,Bonner Springs,Bonner Springs,KS,Wyandotte County,20209,39.0563,-94.88769,16.92,1,True,Regular School,False,PK-05,PK,05,PK,05,21,Suburb: Large,Suburb,21,Suburb: Large,Suburb,Not reported,False,463.0,0.0,463.0,82.0,False,False,32.8,True,14.12,286.0,0.6177,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,True,False,False,False,21,Suburb,Primary
2014-2015,200405000030,2004050,Robert E Clark Middle,Bonner Springs,Bonner Springs,KS,Wyandotte County,20209,39.061344,-94.896142,17.31,1,True,Regular School,False,06-08,06,08,06,08,21,Suburb: Large,Suburb,21,Suburb: Large,Suburb,Not reported,False,590.0,0.0,590.0,0.0,False,False,42.1,True,14.01,335.0,0.5678,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,21,Suburb,Middle
2014-2015,200405000031,2004050,Bonner Springs High,Bonner Springs,Bonner Springs,KS,Wyandotte County,20209,39.059676,-94.895945,17.32,1,True,Regular School,False,09-12,09,12,09,12,21,Suburb: Large,Suburb,21,Suburb: Large,Suburb,Not reported,False,760.0,0.0,760.0,0.0,False,False,55.5,True,13.69,387.0,0.5092,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,21,Suburb,High
