school_year,crdc_wave,data_source,nces_school_id,school_name,enrollment_crdc,idea_count,idea_share,section_504_count,section_504_share,lep_count,lep_share,accommodations_count,accommodations_share,chronic_absent_count,chronic_absent_rate,district_name,state,county_name,locale_group,school_level,school_type,is_virtual,is_operating,enrollment_total,enrollment_k12,classroom_teacher_fte,school_ptr,frl_eligible,frl_rate,is_balanced_school
2015-2016,2015-16,CRDC,200001801750,School for Blind Elementary,13.0,8.0,0.6153846153846154,0.0,0.0,0.0,0.0,8.0,0.6153846153846154,,,School for Blind,KS,Wyandotte County,City,Primary,Special Education,False,True,13.0,12.0,2.6,5.0,8.0,0.6154,True
2015-2016,2015-16,CRDC,200001801751,School for Blind High,31.0,17.0,0.5483870967741935,0.0,0.0,0.0,0.0,17.0,0.5483870967741935,,,School for Blind,KS,Wyandotte County,City,High,Special Education,False,True,25.0,25.0,9.2,2.72,6.0,0.24,True
2015-2016,2015-16,CRDC,200001901752,School for Deaf Elementary,49.0,45.0,0.9183673469387755,0.0,0.0,0.0,0.0,45.0,0.9183673469387755,,,School for Deaf,KS,Johnson County,Suburb,Primary,Special Education,False,True,50.0,37.0,13.5,3.7,26.0,0.52,True
2015-2016,2015-16,CRDC,200001901753,School for Deaf High,68.0,69.0,1.0147058823529411,0.0,0.0,0.0,0.0,69.0,1.0147058823529411,,,School for Deaf,KS,Johnson County,Suburb,High,Special Education,False,True,60.0,60.0,15.7,3.82,27.0,0.45,True
2015-2016,2015-16,CRDC,200378001184,Basehor Elementary School,574.0,80.0,0.13937282229965156,13.0,0.02264808362369338,12.0,0.020905923344947737,93.0,0.16202090592334495,,,Basehor-Linwood,KS,Leavenworth County,Town,Primary,Regular School,False,True,575.0,562.0,33.9,16.96,145.0,0.2522,True
2015-2016,2015-16,CRDC,200378001186,Basehor-Linwood High School,670.0,77.0,0.11492537313432835,12.0,0.01791044776119403,8.0,0.011940298507462687,89.0,0.1328358208955224,,,Basehor-Linwood,KS,Leavenworth County,Town,High,Regular School,False,True,673.0,673.0,43.6,15.44,128.0,0.1902,True
2015-2016,2015-16,CRDC,200378001187,Linwood Elementary School,118.0,27.0,0.2288135593220339,0.0,0.0,9.0,0.07627118644067797,27.0,0.2288135593220339,,,Basehor-Linwood,KS,Leavenworth County,Rural,Primary,Regular School,False,True,108.0,98.0,9.4,11.49,30.0,0.2778,True
2015-2016,2015-16,CRDC,200378001188,Basehor-Linwood Middle School,538.0,69.0,0.12825278810408922,17.0,0.031598513011152414,11.0,0.020446096654275093,86.0,0.15985130111524162,,,Basehor-Linwood,KS,Leavenworth County,Rural,Middle,Regular School,False,True,536.0,536.0,32.8,16.34,119.0,0.222,True
2015-2016,2015-16,CRDC,200378001729,Glenwood Ridge Elementary School,345.0,42.0,0.12173913043478261,7.0,0.020289855072463767,4.0,0.011594202898550725,49.0,0.14202898550724638,,,Basehor-Linwood,KS,Leavenworth County,Rural,Primary,Regular School,False,True,344.0,342.0,20.0,17.2,38.0,0.1105,True
2015-2016,2015-16,CRDC,200405000029,Bonner Springs Elementary,468.0,54.0,0.11538461538461539,0.0,0.0,33.0,0.07051282051282051,54.0,0.11538461538461539,,,Bonner Springs,KS,Wyandotte County,Suburb,Primary,Regular School,False,True,463.0,463.0,33.4,13.86,282.0,0.6091,True
