state,elem_self_contained,elem_self_contained_flag,elem_departmentalized,elem_departmentalized_flag,middle_self_contained,middle_self_contained_flag,middle_departmentalized,middle_departmentalized_flag,sec_high_self_contained,sec_high_self_contained_flag,sec_high_departmentalized,sec_high_departmentalized_flag,comb_self_contained,comb_self_contained_flag,comb_departmentalized,comb_departmentalized_flag
United States,19.1,,20.7,,16.9,,22.0,,17.2,,21.0,,17.1,,17.9,
Alabama,17.5,,15.3,,27,!,23.6,,7.4,,20.1,,15.9,,21.8,
Alaska,16.6,,19.4,,‡,,18.7,,10.7,,15.4,,18.8,,11.8,
Arizona,20.4,,22.6,,16.4,!,25.4,,15.4,,22.6,,33.7,!,14.5,
Arkansas,18.8,,15.9,,16.4,!,20.8,,20,!,17.2,,20.8,,18.3,
California,23.0,,26.1,,22.6,,27.5,,19.5,,27.1,,22.9,,20,
Colorado,18.8,,17,,10.2,,23.7,,26.1,,22.4,,16.3,,18.5,
Connecticut,18.0,,18.4,,10.8,!,19.5,,14.1,,18.6,,‡,,‡,
Delaware,17.9,,28.3,,15.9,!,26.1,,‡,,21.6,,7.1,,19,!
District of Columbia,15.8,,19.3,,17.3,,16.3,,‡,,19.1,,5.8,,‡,
Florida,17.9,,22.7,,14.9,,22.8,,24.3,,23.4,,19.1,,22.4,
Georgia,20.3,,25.9,,10,,23.3,,8.5,,22.4,,‡,,24.7,!
Hawaii,17.5,,13.5,,‡,,18.8,,12.1,,20.1,,16.9,,12.3,
Idaho,21.2,,18,,11.5,,23.1,,15.1,,20.5,,19.3,,20.4,
Illinois,18.7,,18,,17,,21.0,,11.1,,21.1,,10,,15.3,
Indiana,21.3,,26.1,,15.9,,22.6,,14.3,,19.6,,23,,25.2,
Iowa,19.8,,15.3,,27.3,!,21.1,,‡,,19.5,,17.4,,17.4,
Kansas,17.9,,18.4,,21.7,,19.8,,35.1,,17.4,,15.6,,10.8,
Kentucky,19.8,,21.7,,‡,,23.5,,17.8,!,20.0,,10.4,,‡,
Louisiana,18.3,,27.6,,‡,,20.9,,17.4,!,20.9,,25.7,,18.4,
Maine,14.2,,15.6,,8.6,,14.2,,17,,13.4,,12.9,,5.5,!
Maryland,18.3,,22.1,,13.3,,23.4,,18.6,!,22.0,,5.3,,‡,
Massachusetts,16.7,,19.7,,8.1,,20.1,,11,,17.4,,18.8,,21.3,
Michigan,21.5,,25.3,,27.3,!,24.7,,15.9,,23.4,,15.1,,16.7,
Minnesota,20.9,,22,,17.3,,25.9,,14,,23.6,,15.1,,15.6,
Mississippi,18.9,,19.3,,8.5,,20.5,,15.9,,17.9,,15.1,,12.4,
Missouri,18.2,,17.2,,14.4,,18.5,,10.7,,19.2,,9.9,,13.1,
Montana,18.1,,‡,,21.1,!,18.8,,‡,,16.2,,12.6,,12.2,
Nebraska,18.9,,15.2,,24.9,!,20.8,,9.6,,16.8,,13.7,,12.5,
Nevada,18.5,,31.5,,18.1,,26.0,,20.9,!,27.6,,20.4,,19.1,
New Hampshire,16.0,,19.4,,10.9,,16.6,,8.5,,16.8,,‡,,10.5,
New Jersey,16.9,,18,,9.1,,20.0,,11.3,,19.1,,15.4,,19.5,
New Mexico,17.6,,15.9,,9.2,,19.8,,5.6,,20.1,,15.8,,13.6,
New York,16.9,,15.5,,20.2,,19.5,,11.6,,19.6,,16,,19.9,
North Carolina,18.5,,23.1,,15.8,!,22.1,,19.4,,20.4,,22.1,,19.2,
North Dakota,16.8,,11.5,,27.1,!,19.0,,‡,,15.8,,16.5,,10.7,
Ohio,19.2,,19.3,,26.5,,20.7,,16.8,,18.6,,15.7,,18.6,
Oklahoma,19.7,,14.8,,20.6,,19.3,,24.8,!,16.7,,17.1,,13.9,
Oregon,21.0,,29.1,,‡,,23.0,,15.9,!,22.6,,31.4,!,18.2,
Pennsylvania,18.4,,21,,11.3,,20.7,,16.1,,19.4,,23.4,,20.6,
Rhode Island,19.5,,22.7,,13.1,,19.2,,11.2,,20.5,,18.6,,18.8,
South Carolina,17.9,,26.3,,15.6,,21.3,,15.1,!,20.1,,18.5,,30.3,!
South Dakota,19.0,,19.3,,8.8,,21.3,,8.7,,19.7,,14.9,,13,
Tennessee,18.6,,25,,8.1,,20.6,,20.8,!,19.9,,‡,,21.9,
Texas,17.7,,19.1,,18,,21.6,,21.9,,20.1,,14.3,,13.5,
Utah,22.0,,17.9,,‡,,24.8,,20.5,,22.1,,21.7,,24.3,
Vermont,14.9,,19.9,,22.5,,14.6,,10.2,,15.4,,16.6,,16.1,
Virginia,17.8,,17,,11.5,,20.9,,11.3,,20.9,,18.2,,11,!
Washington,19.0,,28.4,!,27.7,,23.1,,9.5,,22.2,,‡,,20.2,
West Virginia,16.4,,17.6,,11.8,,18.4,,13.9,,17.7,,‡,,13.4,
Wisconsin,18.2,,15.9,,19,,22.8,,11.6,,22.2,,20.8,,15,
Wyoming,16.1,,16.2,,18.4,,18.3,,‡,,16.1,,17.9,,10.2,
