district_name,enr_2015,enr_2023,pct_change_enr,tch_fte_2015,tch_fte_2023,pct_change_tch,ptr_2015,ptr_2023,delta_ptr,tch_1000_2015,tch_1000_2023,delta_tch_1000,pct_change_tch_1000,idea_pct_2015,idea_pct_2023,delta_idea_pct,sec504_pct_2015,sec504_pct_2023,delta_sec504_pct,acc_pct_2015,acc_pct_2023,delta_acc_pct,pct_change_acc_rate,lep_pct_2015,lep_pct_2023,delta_lep_pct
KANSAS CITY 33,14723,13620,-7.491679684846838,1018.92,1146.9,12.560358026145343,14.45,11.88,-2.5699999999999985,69.21,84.21,15.0,21.673168617251847,11.519859299428404,11.304146397961548,-0.21571290146685662,1.8393668474278178,1.0809976063624431,-0.7583692410653746,13.359226146856221,12.38514400432399,-0.9740821425322306,-7.291456345032814,25.831745566466363,31.796772450003864,5.965026883537501
Kansas City,21247,19914,-6.2738268932084535,1438.5,1348.35,-6.266944734098025,14.77,14.77,0.0,67.7,67.71,0.009999999999990905,0.014771048744447422,10.3207367418228,12.736857810712687,2.416121068889886,0.0,0.8206097379022231,0.8206097379022231,10.3207367418228,13.557467548614909,3.2367308067921083,31.36143172488723,41.16650788610141,38.3746953797185,-2.791812506382904
GRANDVIEW C-4,4285,3548,-17.19953325554259,276.49,267.01,-3.4286954320228644,15.5,13.29,-2.210000000000001,64.53,75.26,10.730000000000004,16.627924996125838,9.270446096654275,11.939461883408072,2.6690157867537962,1.2778810408921932,2.158071748878924,0.8801907079867306,10.548327137546469,14.097533632286996,3.5492064947405275,33.64710298097628,11.384758364312269,15.274663677130047,3.8899053128177776
CENTER 58,2502,2336,-6.634692246203038,206.97,195.44,-5.570855679567088,12.09,11.95,-0.14000000000000057,82.72,83.66,0.9399999999999977,1.1363636363636336,12.772351615326821,13.504125054277031,0.73177343895021,1.5777610818933134,2.735562310030395,1.1578012281370815,14.350112697220135,16.239687364307425,1.88957466708729,13.167664303105669,4.094665664913599,5.47112462006079,1.376458955147191
HICKMAN MILLS C-1,5839,4610,-21.04812467888337,437.61,360.76,-17.561298873426114,13.34,12.78,-0.5600000000000005,74.95,78.26,3.3100000000000023,4.4162775183455665,12.577360750648833,16.435084672166738,3.8577239215179056,0.0,0.9335649153278333,0.9335649153278333,12.577360750648833,17.368649587494573,4.791288836845741,38.09454886311161,7.266919544819325,11.246200607902736,3.979281063083411
INDEPENDENCE 30,14244,13633,-4.289525414209492,898.31,919.27,2.3332702519174937,15.86,14.83,-1.0299999999999994,63.07,67.43,4.3600000000000065,6.91295386078961,10.456699131350355,9.886050588529928,-0.5706485428204271,1.5135561989997368,2.8925619834710745,1.3790057844713377,11.970255330350092,12.778612572001002,0.8083572416509099,6.753049282093033,8.6272703342985,9.848484848484848,1.2212145141863484
Shawnee Mission Pub Sch,27275,25687,-5.8221814848762605,1731.8,1867.29,7.823651691881281,15.75,13.76,-1.9900000000000002,63.49,72.69,9.199999999999996,14.490470940305553,7.259580621836586,10.912596906851364,3.653016285014778,1.3846710050614606,5.029318011884617,3.6446470068231562,8.644251626898047,15.94191491873598,7.297663291837933,84.42215251034598,11.85827910339841,7.898154342607532,-3.960124760790878
Blue Valley,22105,21878,-1.0269169871069894,1460.8,1671.87,14.448932092004377,15.13,13.09,-2.040000000000001,66.08,76.42,10.340000000000003,15.647699757869255,7.73654177909497,11.901818015295142,4.165276236200172,2.3178661476533815,3.242203599395521,0.9243374517421397,10.054407926748352,15.144021614690661,5.089613687942309,50.62072003665279,1.388950325120538,3.0498694875669736,1.6609191624464357
Olathe,28567,27766,-2.803934609864529,1961.9,2136.6,8.904633263672961,14.560884856516642,13.0,-1.5608848565166422,68.6771449574684,76.95,8.272855042531603,12.046008970895578,16.275690263649576,14.464910067404391,-1.8107801962451848,1.9133623970659468,3.2332480265292145,1.3198856294632677,18.18905266071552,17.698158093933607,-0.4908945667819147,-2.6988462562546887,10.25188568265172,9.818693003640558,-0.433192679011162
LEE'S SUMMIT R-VII,17750,17513,-1.3352112676056338,1164.61,1190.17,2.1947261314946784,15.24,14.71,-0.5299999999999994,65.61,67.96,2.3499999999999943,3.5817710714829967,8.955223880597014,10.132435209498801,1.1772113289017874,3.486258743184447,7.181185066788447,3.6949263236039998,12.441482623781463,17.31362027628725,4.872137652505787,39.16042645265496,2.114886820509996,2.4032423792670397,0.28835555875704344
NORTH KANSAS CITY 74,19395,20666,6.553235369940706,1233.2,1454.54,17.948426856957504,15.73,14.21,-1.5199999999999996,63.58,70.38,6.799999999999997,10.695187165775396,10.202959408118376,13.7824385057749,3.579479097656524,4.024195160967806,6.147006233992172,2.1228110730243657,14.227154569086183,19.92944473976707,5.702290170680888,40.08032767895308,7.038592281543692,10.771758565698546,3.733166284154854
METRO REGIONAL TOTAL,324422,320725,-1.1395651343003865,21639.28,23804.679999999997,10.006802444443613,14.992273310387407,13.473190985974188,-1.519082324413219,66.70102520790822,74.22146698885338,7.520441780945163,11.27485185947865,10.58557235314308,12.476802151397138,1.8912297982540576,2.0260178791748737,3.938444760461881,1.9124268812870073,12.611590232317955,16.41524691185902,3.8036566795410636,30.16000844837129,8.648300983632918,9.315078679047115,0.6667776954141971
