school_year,nces_lea_id,district_name,state,county_primary,enrollment_k12,teachers_k12_fte,students_per_teacher_fte_k12,teachers_k12_per_1000,paraprofessionals_per_1000,counselors_per_1000,school_administrators_per_1000,crdc_enrollment,idea_count,sec504_count,lep_count,accommodations_count,chronic_absent_count,schools_count,idea_pct,sec504_pct,accommodations_pct,lep_pct,chronic_absent_pct
2015-2016,2900017,ACADEMIE LAFAYETTE,MO,Jackson County,907,64.1,14.15,70.67,4.3,0.0,5.51,909.0,34.0,18.0,37.0,52.0,0.0,2,3.74037403740374,1.9801980198019802,5.720572057205721,4.07040704070407,
2017-2018,2900017,ACADEMIE LAFAYETTE,MO,Jackson County,969,66.6,14.55,68.73,1.7,0.0,3.1,970.0,70.0,18.0,17.0,88.0,1.0,2,7.216494845360824,1.8556701030927836,9.072164948453608,1.7525773195876289,0.10309278350515465
2020-2021,2900017,ACADEMIE LAFAYETTE,MO,Jackson County,1196,84.99,14.07,71.06,3.34,0.84,4.18,1182.0,94.0,33.0,15.0,127.0,0.0,3,7.952622673434856,2.7918781725888326,10.744500846023689,1.2690355329949239,
2023-2024,2900017,ACADEMIE LAFAYETTE,MO,Jackson County,1341,63.83,21.01,47.6,2.24,0.75,2.61,1354.0,127.0,0.0,105.0,127.0,0.0,4,9.379615952732644,0.0,9.379615952732644,7.75480059084195,
2015-2016,2900604,ACADEMY FOR INTEGRATED ARTS,MO,Jackson County,120,8.0,15.0,66.67,20.83,5.0,16.67,125.0,4.0,0.0,0.0,4.0,0.0,1,3.2,0.0,3.2,0.0,
2017-2018,2900604,ACADEMY FOR INTEGRATED ARTS,MO,Jackson County,190,13.75,13.82,72.37,29.74,0.0,5.26,207.0,10.0,0.0,0.0,10.0,23.0,1,4.830917874396135,0.0,4.830917874396135,0.0,11.11111111111111
2020-2021,2900604,ACADEMY FOR INTEGRATED ARTS,MO,Jackson County,243,17.5,13.89,72.02,8.23,0.0,8.23,260.0,20.0,9.0,1.0,29.0,14.0,1,7.6923076923076925,3.4615384615384617,11.153846153846155,0.38461538461538464,5.384615384615385
2023-2024,2900604,ACADEMY FOR INTEGRATED ARTS,MO,Jackson County,259,25.25,10.26,97.49,23.17,0.0,11.58,272.0,26.0,20.0,1.0,46.0,0.0,1,9.558823529411764,7.352941176470589,16.911764705882355,0.3676470588235294,
2015-2016,2900025,ALLEN VILLAGE,MO,Jackson County,672,44.23,15.19,65.82,17.86,2.23,3.35,676.0,42.0,18.0,157.0,60.0,0.0,2,6.21301775147929,2.6627218934911245,8.875739644970414,23.224852071005916,
2017-2018,2900025,ALLEN VILLAGE,MO,Jackson County,605,34.6,17.49,57.19,19.83,3.31,1.24,604.0,43.0,42.0,109.0,85.0,19.0,2,7.119205298013245,6.95364238410596,14.072847682119205,18.046357615894042,3.145695364238411
2020-2021,2900025,ALLEN VILLAGE,MO,Jackson County,489,36.03,13.57,73.68,4.09,2.04,3.07,500.0,33.0,16.0,128.0,49.0,0.0,5,6.6000000000000005,3.2,9.8,25.6,
2023-2024,2900025,ALLEN VILLAGE,MO,Jackson County,410,32.35,12.67,78.9,9.76,4.63,2.44,418.0,41.0,21.0,131.0,62.0,0.0,5,9.808612440191387,5.023923444976076,14.832535885167463,31.33971291866029,
2015-2016,2900029,ALTA VISTA CHARTER SCH.,MO,Jackson County,849,72.63,11.69,85.55,4.71,4.71,7.07,889.0,101.0,0.0,651.0,101.0,0.0,3,11.361079865016873,0.0,11.361079865016873,73.22834645669292,
2015-2016,2903200,ARCHIE R-V,MO,Cass County,538,42.79,12.57,79.54,14.41,1.3,3.72,548.0,59.0,21.0,8.0,80.0,0.0,2,10.766423357664232,3.832116788321168,14.5985401459854,1.4598540145985401,
2017-2018,2903200,ARCHIE R-V,MO,Cass County,531,41.8,12.7,78.72,12.02,1.53,5.65,537.0,64.0,13.0,4.0,77.0,45.0,2,11.91806331471136,2.4208566108007448,14.338919925512103,0.74487895716946,8.379888268156424
2020-2021,2903200,ARCHIE R-V,MO,Cass County,495,37.69,13.13,76.14,14.79,1.41,4.04,504.0,86.0,4.0,2.0,90.0,0.0,2,17.063492063492063,0.7936507936507936,17.857142857142858,0.3968253968253968,
2023-2024,2903200,ARCHIE R-V,MO,Cass County,515,40.37,12.76,78.39,20.8,1.94,4.85,536.0,112.0,4.0,2.0,116.0,0.0,2,20.8955223880597,0.7462686567164178,21.641791044776117,0.3731343283582089,
2015-2016,2904620,BELTON 124,MO,Cass County,4661,295.58,15.77,63.42,17.81,2.57,3.41,4606.0,586.0,0.0,171.0,586.0,0.0,8,12.722535822839776,0.0,12.722535822839776,3.7125488493269647,
2017-2018,2904620,BELTON 124,MO,Cass County,4562,296.82,15.37,65.06,14.89,2.85,3.29,4471.0,673.0,112.0,264.0,785.0,411.0,8,15.052560948333706,2.50503243122344,17.557593379557147,5.904719302169537,9.192574368150302
2020-2021,2904620,BELTON 124,MO,Cass County,4334,268.21,16.16,61.89,12.48,2.77,3.69,4568.0,626.0,142.0,301.0,768.0,941.0,8,13.704028021015763,3.1085814360770576,16.81260945709282,6.589316987740805,20.59982486865149
2023-2024,2904620,BELTON 124,MO,Cass County,3981,274.04,14.53,68.84,17.78,3.27,4.02,4594.0,734.0,170.0,306.0,904.0,0.0,8,15.977361776229865,3.7004788855028297,19.677840661732695,6.660861993905094,
2015-2016,2905310,BLUE SPRINGS R-IV,MO,Jackson County,14141,879.68,16.08,62.21,11.21,2.55,3.32,13449.0,1562.0,488.0,160.0,2050.0,0.0,21,11.614246412372667,3.6285225667335865,15.242768979106252,1.1896795300765857,
2017-2018,2905310,BLUE SPRINGS R-IV,MO,Jackson County,14328,865.96,16.55,60.44,10.16,2.42,3.21,13132.0,1786.0,379.0,199.0,2165.0,1177.0,21,13.600365519342065,2.886079805056351,16.486445324398417,1.51538227231191,8.96283886689004
2020-2021,2905310,BLUE SPRINGS R-IV,MO,Jackson County,14521,893.1,16.26,61.5,8.09,2.48,3.28,14015.0,1772.0,667.0,204.0,2439.0,2308.0,21,12.643596146985372,4.7591865858009275,17.4027827327863,1.4555833036032821,16.46806992508027
2023-2024,2905310,BLUE SPRINGS R-IV,MO,Jackson County,14569,972.66,14.98,66.76,8.58,3.71,4.19,14530.0,1767.0,1056.0,271.0,2823.0,0.0,21,12.161046111493462,7.2677219545767375,19.428768066070198,1.8651066758430832,
2015-2016,2900024,BROOKSIDE CHARTER SCH.,MO,Jackson County,534,44.0,12.14,82.4,0.0,0.0,8.99,534.0,30.0,0.0,4.0,30.0,0.0,2,5.617977528089887,0.0,5.617977528089887,0.7490636704119851,
2017-2018,2900024,BROOKSIDE CHARTER SCH.,MO,Jackson County,610,57.5,10.61,94.26,4.92,3.28,6.39,623.0,79.0,0.0,16.0,79.0,113.0,2,12.680577849117174,0.0,12.680577849117174,2.568218298555377,18.138041733547354
2020-2021,2900024,BROOKSIDE CHARTER SCH.,MO,Jackson County,691,60.5,11.42,87.55,18.81,4.34,5.64,684.0,116.0,0.0,24.0,116.0,0.0,2,16.95906432748538,0.0,16.95906432748538,3.508771929824561,
2023-2024,2900024,BROOKSIDE CHARTER SCH.,MO,Jackson County,683,75.76,9.02,110.92,12.74,4.25,7.32,671.0,110.0,9.0,29.0,119.0,0.0,2,16.39344262295082,1.3412816691505216,17.73472429210134,4.321907600596125,
2015-2016,2003780,Basehor-Linwood,KS,Leavenworth County,2429,148.9,16.31,61.3,15.11,1.65,4.65,2245.0,295.0,49.0,44.0,344.0,0.0,5,13.140311804008908,2.182628062360802,15.322939866369712,1.9599109131403119,
2017-2018,2003780,Basehor-Linwood,KS,Leavenworth County,2593,156.9,16.53,60.51,19.32,1.93,3.47,2594.0,336.0,50.0,30.0,386.0,250.0,5,12.952968388589051,1.927525057825752,14.880493446414803,1.156515034695451,9.637625289128758
2020-2021,2003780,Basehor-Linwood,KS,Leavenworth County,2829,182.4,15.51,64.48,10.07,2.47,3.53,2785.0,334.0,49.0,49.0,383.0,589.0,5,11.99281867145422,1.7594254937163374,13.752244165170557,1.7594254937163374,21.149012567324952
2023-2024,2003780,Basehor-Linwood,KS,Leavenworth County,2961,211.4,14.01,71.39,12.93,2.97,4.42,2950.0,460.0,87.0,62.0,547.0,0.0,7,15.593220338983052,2.9491525423728815,18.54237288135593,2.1016949152542375,
2015-2016,2012000,Blue Valley,KS,Johnson County,22105,1460.8,15.13,66.08,17.01,2.73,2.99,22607.0,1749.0,524.0,314.0,2273.0,0.0,34,7.73654177909497,2.3178661476533815,10.054407926748352,1.388950325120538,
