grain,id,name,lea_id,lea_name,state,anomaly_type,observed_value,stratum,explanation
School,290000901593,STAR School,2900009,DIVISION OF YOUTH SERVICE,MO,Zero Classroom Teacher FTE,0.0,Core Operating Regular,"Specialized, alternative, or virtual facility with contracted/itinerant or central staffing."
School,291854002658,JUVENILE JUSTICE CTR.,2918540,LIBERTY 53,MO,Zero Classroom Teacher FTE,0.0,Alternative,"Specialized, alternative, or virtual facility with contracted/itinerant or central staffing."
School,291854001665,LIBERTY ACADEMY,2918540,LIBERTY 53,MO,Zero Classroom Teacher FTE,0.0,Alternative,"Specialized, alternative, or virtual facility with contracted/itinerant or central staffing."
School,290002503379,ALLEN VILLAGE PRESCHOOL,2900025,ALLEN VILLAGE,MO,Zero Classroom Teacher FTE,0.0,Standalone Early Childhood,"Specialized, alternative, or virtual facility with contracted/itinerant or central staffing."
School,290825002810,CENTER ACADEMY FOR SUCCESS,2908250,CENTER 58,MO,Zero Classroom Teacher FTE,0.0,Alternative,"Specialized, alternative, or virtual facility with contracted/itinerant or central staffing."
School,291548000952,DAY TREATMENT,2915480,INDEPENDENCE 30,MO,Zero Classroom Teacher FTE,0.0,Core Operating Regular,"Specialized, alternative, or virtual facility with contracted/itinerant or central staffing."
School,291548003157,SUNSHINE CENTER,2915480,INDEPENDENCE 30,MO,Zero Classroom Teacher FTE,0.0,Standalone Early Childhood,"Specialized, alternative, or virtual facility with contracted/itinerant or central staffing."
School,291640000865,CONTRACT,2916400,KANSAS CITY 33,MO,Zero Classroom Teacher FTE,0.0,Core Operating Regular,"Specialized, alternative, or virtual facility with contracted/itinerant or central staffing."
School,291830003135,MILLER PARK CENTER,2918300,LEE'S SUMMIT R-VII,MO,Zero Classroom Teacher FTE,0.0,Core Operating Regular,"Specialized, alternative, or virtual facility with contracted/itinerant or central staffing."
School,291830003408,R-7 Online Academy,2918300,LEE'S SUMMIT R-VII,MO,Zero Classroom Teacher FTE,0.0,Exclusively Virtual,"Specialized, alternative, or virtual facility with contracted/itinerant or central staffing."
School,290002203051,B W SHEPERD SCHOOL,2900022,MO SCHLS FOR THE SEV DISABLED,MO,Zero Classroom Teacher FTE,0.0,Special Education,"Specialized, alternative, or virtual facility with contracted/itinerant or central staffing."
School,292283002817,PLATTE VALLEY COOP.,2922830,NORTH PLATTE CO. R-I,MO,Zero Classroom Teacher FTE,0.0,Special Education,"Specialized, alternative, or virtual facility with contracted/itinerant or central staffing."
School,291434003453,ERVIN EARLY LEARNING CENTER,2914340,HICKMAN MILLS C-1,MO,Non-Operating School Preserved,Future,Non-Operating,Closed or Future facility retained in master universe with operational flags.
School,291434003162,HICKMAN MILLS 8TH GRADE CENTER,2914340,HICKMAN MILLS C-1,MO,Non-Operating School Preserved,Closed,Non-Operating,Closed or Future facility retained in master universe with operational flags.
School,291434003452,HICKMAN MILLS SOUTH MIDDLE,2914340,HICKMAN MILLS C-1,MO,Non-Operating School Preserved,Future,Non-Operating,Closed or Future facility retained in master universe with operational flags.
School,290061503437,Kansas City Girls Prep High,2900615,KANSAS CITY GIRLS PREP ACADEMY,MO,Non-Operating School Preserved,Closed,Non-Operating,Closed or Future facility retained in master universe with operational flags.
School,291830003451,Great Beginnings PreK at PV,2918300,LEE'S SUMMIT R-VII,MO,Non-Operating School Preserved,Future,Non-Operating,Closed or Future facility retained in master universe with operational flags.
LEA,2004050,Bonner Springs,2004050,Bonner Springs,KS,School Sum vs LEA Enrollment Divergence,"Schools=2437.0, LEA=2535, Diff=-98.0 (-3.87%)",LEA,"Attributable to statewide agency facilities outside KC (DYS, MSSD) or central Pre-K enrollments."
LEA,2005490,De Soto,2005490,De Soto,KS,School Sum vs LEA Enrollment Divergence,"Schools=7067.0, LEA=7295, Diff=-228.0 (-3.13%)",LEA,"Attributable to statewide agency facilities outside KC (DYS, MSSD) or central Pre-K enrollments."
LEA,2010500,Paola,2010500,Paola,KS,School Sum vs LEA Enrollment Divergence,"Schools=1732.0, LEA=1785, Diff=-53.0 (-2.97%)",LEA,"Attributable to statewide agency facilities outside KC (DYS, MSSD) or central Pre-K enrollments."
LEA,2012360,Turner-Kansas City,2012360,Turner-Kansas City,KS,School Sum vs LEA Enrollment Divergence,"Schools=3865.0, LEA=3926, Diff=-61.0 (-1.55%)",LEA,"Attributable to statewide agency facilities outside KC (DYS, MSSD) or central Pre-K enrollments."
LEA,2900009,DIVISION OF YOUTH SERVICE,2900009,DIVISION OF YOUTH SERVICE,MO,School Sum vs LEA Enrollment Divergence,"Schools=79.0, LEA=496, Diff=-417.0 (-84.07%)",LEA,"Attributable to statewide agency facilities outside KC (DYS, MSSD) or central Pre-K enrollments."
LEA,2900022,MO SCHLS FOR THE SEV DISABLED,2900022,MO SCHLS FOR THE SEV DISABLED,MO,School Sum vs LEA Enrollment Divergence,"Schools=96.0, LEA=652, Diff=-556.0 (-85.28%)",LEA,"Attributable to statewide agency facilities outside KC (DYS, MSSD) or central Pre-K enrollments."
LEA,2914340,HICKMAN MILLS C-1,2914340,HICKMAN MILLS C-1,MO,School Sum vs LEA Enrollment Divergence,"Schools=4472.0, LEA=5067, Diff=-595.0 (-11.74%)",LEA,"Attributable to statewide agency facilities outside KC (DYS, MSSD) or central Pre-K enrollments."
