school_year,state,grain,source_variable,negative_code,record_count
2014-2015,KS,LEA,lea_052:KG,-2.0,1
2014-2015,KS,LEA,lea_052:PK,-2.0,1
2014-2015,KS,LEA,lea_059:ELMTCH,-2.0,1
2014-2015,KS,LEA,lea_059:KGTCH,-2.0,1
2014-2015,KS,LEA,lea_059:TOTGUI,-1.0,23
2014-2015,KS,LEA,lea_059:UGTCH,-2.0,23
2014-2015,KS,School,sch_052:KG,-2.0,93
2014-2015,KS,School,sch_052:PK,-2.0,128
2014-2015,KS,School,sch_059:FTE,-1.0,1
2014-2015,MO,LEA,lea_052:KG,-2.0,4
2014-2015,MO,LEA,lea_052:PK,-2.0,25
2014-2015,MO,LEA,lea_059:ELMTCH,-2.0,1
2014-2015,MO,LEA,lea_059:KGTCH,-2.0,4
2014-2015,MO,LEA,lea_059:SECTCH,-2.0,10
2014-2015,MO,LEA,lea_059:UGTCH,-2.0,59
2014-2015,MO,School,sch_052:KG,-2.0,172
2014-2015,MO,School,sch_052:PK,-2.0,288
2014-2015,MO,School,sch_059:FTE,-1.0,11
2015-2016,KS,LEA,lea_059:CORSUP,-9.0,2
2015-2016,KS,LEA,lea_059:ELMTCH,-9.0,2
2015-2016,KS,LEA,lea_059:GUI,-9.0,2
2015-2016,KS,LEA,lea_059:KGTCH,-9.0,2
2015-2016,KS,LEA,lea_059:LEAADM,-9.0,2
2015-2016,KS,LEA,lea_059:LIBSPE,-9.0,2
2015-2016,KS,LEA,lea_059:OTHSUP,-9.0,2
2015-2016,KS,LEA,lea_059:PARA,-9.0,2
2015-2016,KS,LEA,lea_059:PKTCH,-9.0,2
2015-2016,KS,LEA,lea_059:SCHADM,-9.0,2
2015-2016,KS,LEA,lea_059:SECTCH,-9.0,2
2015-2016,KS,LEA,lea_059:STUSUP,-9.0,2
2015-2016,KS,LEA,lea_059:TOTGUI,-9.0,2
2015-2016,KS,LEA,lea_059:TOTTCH,-9.0,2
2015-2016,KS,LEA,lea_059:UGTCH,-2.0,3
2015-2016,KS,LEA,lea_059:UGTCH,-1.0,19
2015-2016,KS,School,sch_052:KG,-2.0,92
2015-2016,KS,School,sch_052:PK,-2.0,162
2015-2016,KS,School,sch_059:FTE,-9.0,55
2015-2016,KS,School,sch_059:FTE,-1.0,1
2015-2016,MO,LEA,lea_052:KG,-2.0,4
2015-2016,MO,LEA,lea_052:PK,-2.0,24
2015-2016,MO,LEA,lea_059:ELMTCH,-2.0,1
2015-2016,MO,LEA,lea_059:ELMTCH,-1.0,1
2015-2016,MO,LEA,lea_059:KGTCH,-2.0,4
2015-2016,MO,LEA,lea_059:PKTCH,-2.0,23
2015-2016,MO,LEA,lea_059:SECTCH,-2.0,10
2015-2016,MO,LEA,lea_059:UGTCH,-2.0,58
2015-2016,MO,School,sch_033:TOTFRL,-2.0,28
2015-2016,MO,School,sch_052:KG,-2.0,158
2015-2016,MO,School,sch_052:PK,-2.0,260
2015-2016,MO,School,sch_059:FTE,-1.0,13
