school_year,grain,state,metric,expected_entities,valid_entities,pct_entities_valid,expected_enrollment,valid_enrollment,pct_enrollment_valid,coverage_tier
2014-2015,School,ALL,classroom_teacher_fte,651,639,98.16,330011.0,329807.0,99.94,high_coverage
2014-2015,School,MO,classroom_teacher_fte,394,383,97.21,186679.0,186475.0,99.89,high_coverage
2014-2015,School,KS,classroom_teacher_fte,257,256,99.61,143332.0,143332.0,100.0,complete
2015-2016,School,ALL,classroom_teacher_fte,649,580,89.37,331932.0,298137.0,89.82,partial_coverage
2015-2016,School,MO,classroom_teacher_fte,393,380,96.69,188127.0,187769.0,99.81,high_coverage
2015-2016,School,KS,classroom_teacher_fte,256,200,78.12,143805.0,110368.0,76.75,insufficient_coverage
2016-2017,School,ALL,classroom_teacher_fte,648,635,97.99,335344.0,334778.0,99.83,high_coverage
2016-2017,School,MO,classroom_teacher_fte,392,379,96.68,189620.0,189054.0,99.7,high_coverage
2016-2017,School,KS,classroom_teacher_fte,256,256,100.0,145724.0,145724.0,100.0,complete
2017-2018,School,ALL,classroom_teacher_fte,652,642,98.47,337565.0,337369.0,99.94,high_coverage
2017-2018,School,MO,classroom_teacher_fte,390,380,97.44,189896.0,189700.0,99.9,high_coverage
2017-2018,School,KS,classroom_teacher_fte,262,262,100.0,147669.0,147669.0,100.0,complete
2018-2019,School,ALL,classroom_teacher_fte,658,645,98.02,336024.0,335572.0,99.87,high_coverage
2018-2019,School,MO,classroom_teacher_fte,393,383,97.46,188435.0,188318.0,99.94,high_coverage
2018-2019,School,KS,classroom_teacher_fte,265,262,98.87,147589.0,147254.0,99.77,high_coverage
2019-2020,School,ALL,classroom_teacher_fte,659,649,98.48,336693.0,336331.0,99.89,high_coverage
2019-2020,School,MO,classroom_teacher_fte,395,387,97.97,187938.0,187938.0,100.0,complete
2019-2020,School,KS,classroom_teacher_fte,264,262,99.24,148755.0,148393.0,99.76,high_coverage
2020-2021,School,ALL,classroom_teacher_fte,666,656,98.5,328595.0,328418.0,99.95,high_coverage
2020-2021,School,MO,classroom_teacher_fte,403,394,97.77,184689.0,184679.0,99.99,high_coverage
2020-2021,School,KS,classroom_teacher_fte,263,262,99.62,143906.0,143739.0,99.88,high_coverage
2021-2022,School,ALL,classroom_teacher_fte,677,658,97.19,328531.0,328298.0,99.93,high_coverage
2021-2022,School,MO,classroom_teacher_fte,404,393,97.28,184291.0,184280.0,99.99,high_coverage
2021-2022,School,KS,classroom_teacher_fte,273,265,97.07,144240.0,144018.0,99.85,high_coverage
2022-2023,School,ALL,classroom_teacher_fte,683,664,97.22,331911.0,331591.0,99.9,high_coverage
2022-2023,School,MO,classroom_teacher_fte,410,397,96.83,186231.0,186087.0,99.92,high_coverage
2022-2023,School,KS,classroom_teacher_fte,273,267,97.8,145680.0,145504.0,99.88,high_coverage
2023-2024,School,ALL,classroom_teacher_fte,687,679,98.84,329797.0,329018.0,99.76,high_coverage
2023-2024,School,MO,classroom_teacher_fte,411,411,100.0,185612.0,185612.0,100.0,complete
2023-2024,School,KS,classroom_teacher_fte,276,268,97.1,144185.0,143406.0,99.46,high_coverage
2024-2025,School,ALL,classroom_teacher_fte,686,678,98.83,329059.0,328645.0,99.87,high_coverage
2024-2025,School,MO,classroom_teacher_fte,409,409,100.0,185034.0,185034.0,100.0,complete
2024-2025,School,KS,classroom_teacher_fte,277,269,97.11,144025.0,143611.0,99.71,high_coverage
2014-2015,LEA,ALL,teachers_k12_fte,78,78,100.0,321228.0,321228.0,100.0,complete
2014-2015,LEA,MO,teachers_k12_fte,56,56,100.0,180423.0,180423.0,100.0,complete
2014-2015,LEA,KS,teachers_k12_fte,22,22,100.0,140805.0,140805.0,100.0,complete
2015-2016,LEA,ALL,teachers_k12_fte,79,76,96.2,323844.0,289666.0,89.45,partial_coverage
