school_year,entity_type,entity_id,entity_name,anomaly_type,metric,value,notes
2014-2015,School,290060903262,The Biome,UNMATCHED_DIRECTORY_IN_EDGE,Missing EDGE Geocode,"State=MO, LEA=The Biome",School present in official state Directory but omitted from federal EDGE geocode file.
2014-2015,School,290061003263,Vernare Learning School,UNMATCHED_DIRECTORY_IN_EDGE,Missing EDGE Geocode,"State=MO, LEA=Vernare",School present in official state Directory but omitted from federal EDGE geocode file.
2014-2015,School,292370001411,,UNMATCHED_EDGE_IN_DIRECTORY,Missing Directory Record,"County=ST. LOUIS COUNTY, FIPS=29189",School present in EDGE geocode file but omitted from state Directory.
2014-2015,School,290058803123,,UNMATCHED_EDGE_IN_DIRECTORY,Missing Directory Record,"County=JACKSON COUNTY, FIPS=29095",School present in EDGE geocode file but omitted from state Directory.
2014-2015,School,291854002791,,UNMATCHED_EDGE_IN_DIRECTORY,Missing Directory Record,"County=CLAY COUNTY, FIPS=29047",School present in EDGE geocode file but omitted from state Directory.
2014-2015,School,291854001008,,UNMATCHED_EDGE_IN_DIRECTORY,Missing Directory Record,"County=CLAY COUNTY, FIPS=29047",School present in EDGE geocode file but omitted from state Directory.
2014-2015,School,290058803206,,UNMATCHED_EDGE_IN_DIRECTORY,Missing Directory Record,"County=JACKSON COUNTY, FIPS=29095",School present in EDGE geocode file but omitted from state Directory.
2014-2015,LEA,2008250,Prairie View,CROSS_BOUNDARY_LEA,Operating Schools Outside Region,"Total=4, InRegion=0, Outside=4",LEA operates schools outside the 9 MARC counties (coverage share = 0.0%).
2014-2015,LEA,2900009,DIVISION OF YOUTH SERVICE,CROSS_BOUNDARY_LEA,Operating Schools Outside Region,"Total=42, InRegion=5, Outside=37",LEA operates schools outside the 9 MARC counties (coverage share = 11.9%).
2014-2015,LEA,2900022,MO SCHLS FOR THE SEV DISABLED,CROSS_BOUNDARY_LEA,Operating Schools Outside Region,"Total=35, InRegion=5, Outside=30",LEA operates schools outside the 9 MARC counties (coverage share = 14.3%).
2014-2015,LEA,2931110,WASHINGTON,CROSS_BOUNDARY_LEA,Operating Schools Outside Region,"Total=12, InRegion=2, Outside=10",LEA operates schools outside the 9 MARC counties (coverage share = 16.7%).
