school_year,coverage_tier,cross_section_schools_count,balanced_panel_schools_count,cross_section_enrollment,balanced_panel_enrollment,enrollment_coverage_in_balanced_pct,cross_section_teacher_fte,balanced_panel_teacher_fte,cross_section_weighted_ptr,balanced_panel_weighted_ptr,weighted_ptr_diff,weighted_ptr_pct_diff,cross_section_median_ptr,balanced_panel_median_ptr,median_ptr_diff,cross_section_p25_ptr,balanced_panel_p25_ptr,cross_section_p75_ptr,balanced_panel_p75_ptr,interpretation
2014-2015,complete,601,574,326021,317094,97.26,21191.15,20498.34,15.38,15.47,0.08,0.55,15.23,15.26,0.04,13.84,13.92,16.63,16.64,Highly concordant (discrepancy < 0.12 ratio points); within-school trend robust to composition
2015-2016,partial_coverage,544,518,294128,285979,97.23,19316.49,18672.45,15.23,15.32,0.09,0.58,15.07,15.12,0.05,13.7,13.82,16.45,16.46,Highly concordant (discrepancy < 0.12 ratio points); within-school trend robust to composition
2016-2017,high_coverage,595,570,329875,322601,97.79,21641.83,21014.63,15.24,15.35,0.11,0.71,14.93,15.05,0.12,13.4,13.54,16.44,16.46,Highly concordant (discrepancy < 0.12 ratio points); within-school trend robust to composition
2017-2018,complete,601,571,332234,323161,97.27,22115.58,21416.61,15.02,15.09,0.07,0.44,14.7,14.74,0.03,13.24,13.3,16.12,16.16,Highly concordant (discrepancy < 0.12 ratio points); within-school trend robust to composition
2018-2019,high_coverage,601,570,330157,319258,96.7,22140.55,21273.13,14.91,15.01,0.1,0.64,14.62,14.73,0.11,13.0,13.15,16.17,16.23,Highly concordant (discrepancy < 0.12 ratio points); within-school trend robust to composition
2019-2020,high_coverage,604,572,332190,318806,95.97,22342.11,21353.0,14.87,14.93,0.06,0.42,14.53,14.59,0.06,13.05,13.07,15.97,16.01,Highly concordant (discrepancy < 0.12 ratio points); within-school trend robust to composition
2020-2021,high_coverage,610,572,323656,307440,94.99,22293.2,21091.61,14.52,14.58,0.06,0.4,14.04,14.02,-0.02,12.11,12.17,15.69,15.73,Highly concordant (discrepancy < 0.12 ratio points); within-school trend robust to composition
2021-2022,high_coverage,612,571,323047,306095,94.75,22659.59,21357.69,14.26,14.33,0.08,0.53,13.78,13.8,0.02,12.28,12.3,15.36,15.41,Highly concordant (discrepancy < 0.12 ratio points); within-school trend robust to composition
2022-2023,high_coverage,618,571,326348,307686,94.28,22950.1,21543.13,14.22,14.28,0.06,0.44,13.63,13.68,0.05,12.26,12.32,15.11,15.14,Highly concordant (discrepancy < 0.12 ratio points); within-school trend robust to composition
2023-2024,high_coverage,626,576,324324,305188,94.1,22942.12,21545.86,14.14,14.16,0.03,0.2,13.64,13.64,0.0,12.16,12.19,15.1,15.13,Highly concordant (discrepancy < 0.12 ratio points); within-school trend robust to composition
2024-2025,high_coverage,623,576,323188,304436,94.2,23178.23,21764.86,13.94,13.99,0.04,0.31,13.53,13.59,0.06,12.14,12.14,14.93,14.93,Highly concordant (discrepancy < 0.12 ratio points); within-school trend robust to composition
