school_year,grade_band,analytical_stratum,coverage_tier,pct_enrollment_valid,reporting_schools_count,total_expected_schools,total_enrollment,total_classroom_teacher_fte,student_weighted_ptr,median_school_ptr,p25_school_ptr,p75_school_ptr,is_primary_trend_eligible,notes
2014-2015,Primary,Operating Regular (NCES),complete,100.0,383,384,162160,10534.84,15.39,15.32,14.01,16.84,True,Regular operating schools in Primary grade level (NCES official)
2015-2016,Primary,Operating Regular (NCES),partial_coverage,90.33,342,383,146035,9687.58,15.07,15.12,14.05,16.41,False,Regular operating schools in Primary grade level (NCES official)
2016-2017,Primary,Operating Regular (NCES),high_coverage,99.92,383,385,164301,10915.38,15.05,14.77,13.47,16.37,True,Regular operating schools in Primary grade level (NCES official)
2017-2018,Primary,Operating Regular (NCES),complete,100.0,384,385,164846,11198.93,14.72,14.61,13.25,16.0,True,Regular operating schools in Primary grade level (NCES official)
2018-2019,Primary,Operating Regular (NCES),complete,100.0,387,387,162490,11186.34,14.53,14.46,13.11,15.96,True,Regular operating schools in Primary grade level (NCES official)
2019-2020,Primary,Operating Regular (NCES),complete,100.0,385,385,160934,11132.42,14.46,14.4,13.01,15.76,True,Regular operating schools in Primary grade level (NCES official)
2020-2021,Primary,Operating Regular (NCES),complete,100.0,386,386,151380,11101.57,13.64,13.58,11.84,15.07,True,Regular operating schools in Primary grade level (NCES official)
2021-2022,Primary,Operating Regular (NCES),complete,100.0,389,389,152859,11305.52,13.52,13.6,12.09,14.99,True,Regular operating schools in Primary grade level (NCES official)
2022-2023,Primary,Operating Regular (NCES),complete,100.0,389,389,153848,11317.11,13.59,13.41,12.12,14.8,True,Regular operating schools in Primary grade level (NCES official)
2023-2024,Primary,Operating Regular (NCES),complete,100.0,389,389,152878,11326.4,13.5,13.4,12.15,14.72,True,Regular operating schools in Primary grade level (NCES official)
2024-2025,Primary,Operating Regular (NCES),complete,100.0,389,389,152654,11297.94,13.51,13.42,12.12,14.74,True,Regular operating schools in Primary grade level (NCES official)
2014-2015,Middle,Operating Regular (NCES),complete,100.0,115,115,68387,4626.48,14.78,14.8,13.34,15.91,True,Regular operating schools in Middle grade level (NCES official)
2015-2016,Middle,Operating Regular (NCES),partial_coverage,88.84,105,116,61467,4153.99,14.8,14.87,13.6,16.27,False,Incomplete (88.8%): affected by 2015-16 Kansas suppression
2016-2017,Middle,Operating Regular (NCES),complete,100.0,110,110,68321,4623.69,14.78,14.96,13.62,16.09,True,Regular operating schools in Middle grade level (NCES official)
2017-2018,Middle,Operating Regular (NCES),complete,100.0,110,110,69008,4672.72,14.77,14.88,13.46,15.96,True,Regular operating schools in Middle grade level (NCES official)
2018-2019,Middle,Operating Regular (NCES),complete,100.0,111,111,69128,4693.66,14.73,14.69,13.32,15.95,True,Regular operating schools in Middle grade level (NCES official)
2019-2020,Middle,Operating Regular (NCES),complete,100.0,115,115,71677,4855.13,14.76,14.55,13.26,16.0,True,Regular operating schools in Middle grade level (NCES official)
2020-2021,Middle,Operating Regular (NCES),complete,100.0,119,119,71178,4913.49,14.49,14.54,12.9,15.84,True,Regular operating schools in Middle grade level (NCES official)
2021-2022,Middle,Operating Regular (NCES),complete,100.0,118,119,69410,4953.56,14.01,13.92,12.67,15.18,True,Regular operating schools in Middle grade level (NCES official)
2022-2023,Middle,Operating Regular (NCES),complete,100.0,122,122,70619,5036.33,14.02,13.88,12.8,15.04,True,Regular operating schools in Middle grade level (NCES official)
2023-2024,Middle,Operating Regular (NCES),complete,100.0,123,123,69424,5057.53,13.73,13.68,12.56,14.86,True,Regular operating schools in Middle grade level (NCES official)
2024-2025,Middle,Operating Regular (NCES),complete,100.0,122,122,68236,5112.09,13.35,13.4,12.32,14.27,True,Regular operating schools in Middle grade level (NCES official)
2014-2015,High,Operating Regular (NCES),complete,100.0,88,89,91275,5626.56,16.22,16.08,14.23,17.23,True,Regular operating schools in High grade level (NCES official)
2015-2016,High,Operating Regular (NCES),partial_coverage,88.95,82,88,82253,5072.68,16.21,15.7,13.53,16.99,False,Incomplete (89.0%): affected by 2015-16 Kansas suppression
2016-2017,High,Operating Regular (NCES),complete,100.0,87,87,92740,5686.86,16.31,16.08,14.13,17.19,True,Regular operating schools in High grade level (NCES official)
2017-2018,High,Operating Regular (NCES),complete,100.0,101,102,98349,6158.11,15.97,15.82,13.27,17.1,True,Regular operating schools in High grade level (NCES official)
2018-2019,High,Operating Regular (NCES),high_coverage,99.66,98,102,98502,6187.55,15.92,15.88,12.97,16.89,True,Regular operating schools in High grade level (NCES official)
2019-2020,High,Operating Regular (NCES),high_coverage,99.64,98,101,99547,6275.84,15.86,15.78,13.26,17.03,True,Regular operating schools in High grade level (NCES official)
2020-2021,High,Operating Regular (NCES),high_coverage,99.84,99,101,101083,6207.54,16.28,15.8,13.44,17.33,True,Regular operating schools in High grade level (NCES official)
2021-2022,High,Operating Regular (NCES),high_coverage,99.89,99,101,100618,6344.16,15.86,15.79,12.98,17.38,True,Regular operating schools in High grade level (NCES official)
2022-2023,High,Operating Regular (NCES),high_coverage,99.9,101,103,101719,6489.0,15.68,15.24,13.1,16.78,True,Regular operating schools in High grade level (NCES official)
2023-2024,High,Operating Regular (NCES),high_coverage,99.82,104,105,101773,6465.82,15.74,15.4,12.81,16.74,True,Regular operating schools in High grade level (NCES official)
2024-2025,High,Operating Regular (NCES),high_coverage,99.93,103,104,102092,6682.01,15.28,14.82,12.77,16.38,True,Regular operating schools in High grade level (NCES official)
2014-2015,Other,Operating Regular (NCES),complete,100.0,15,19,4199,403.27,10.41,6.0,0.0,12.66,True,Regular operating schools in Other grade level (NCES official)
2015-2016,Other,Operating Regular (NCES),complete,100.0,15,20,4373,402.24,10.87,6.53,0.0,12.34,True,Regular operating schools in Other grade level (NCES official)
2016-2017,Other,Operating Regular (NCES),high_coverage,99.82,15,20,4513,415.9,10.85,7.43,0.09,11.57,True,Regular operating schools in Other grade level (NCES official)
2017-2018,Other,Operating Regular (NCES),complete,100.0,6,9,31,85.82,0.36,0.0,0.0,0.0,True,Regular operating schools in Other grade level (NCES official)
2018-2019,Other,Operating Regular (NCES),complete,100.0,5,9,37,73.0,0.51,0.0,0.0,0.0,True,Regular operating schools in Other grade level (NCES official)
2019-2020,Other,Operating Regular (NCES),complete,100.0,6,9,32,78.72,0.41,0.0,0.0,0.0,True,Regular operating schools in Other grade level (NCES official)
2020-2021,Other,Operating Regular (NCES),insufficient_coverage,60.0,6,10,15,70.6,0.21,0.0,0.0,0.0,False,Regular operating schools in Other grade level (NCES official)
2021-2022,Other,Operating Regular (NCES),complete,100.0,6,9,160,56.35,2.84,0.0,0.0,2.17,True,Regular operating schools in Other grade level (NCES official)
