school_year,locale_group,locale_basis,coverage_tier,pct_enrollment_valid,reporting_schools_count,total_expected_schools,total_enrollment,total_classroom_teacher_fte,student_weighted_ptr,median_school_ptr,p10_school_ptr,p25_school_ptr,p75_school_ptr,p90_school_ptr,is_primary_trend_eligible,notes
2014-2015,City,dynamic_annual_cross_section,complete,100.0,226,229,113212,7518.25,15.06,15.06,11.45,13.5,16.38,17.98,True,Dynamic historical locale: City
2015-2016,City,dynamic_annual_cross_section,high_coverage,99.34,228,234,115900,7727.18,15.0,15.08,11.91,13.5,16.37,17.68,True,Dynamic historical locale: City
2016-2017,City,dynamic_annual_cross_section,high_coverage,99.88,229,233,117798,7945.73,14.83,14.34,11.7,13.23,16.31,17.54,True,Dynamic historical locale: City
2017-2018,City,dynamic_annual_cross_section,complete,100.0,233,236,119341,8209.48,14.54,14.18,11.45,13.02,15.77,17.16,True,Dynamic historical locale: City
2018-2019,City,dynamic_annual_cross_section,high_coverage,99.71,230,235,116783,8087.22,14.44,14.23,11.39,12.76,15.91,17.1,True,Dynamic historical locale: City
2019-2020,City,dynamic_annual_cross_section,high_coverage,99.7,237,240,121939,8417.18,14.49,14.11,11.28,12.73,15.82,17.16,True,Dynamic historical locale: City
2020-2021,City,dynamic_annual_cross_section,high_coverage,99.85,240,243,118019,8372.28,14.1,13.82,10.62,11.84,15.39,17.29,True,Dynamic historical locale: City
2021-2022,City,dynamic_annual_cross_section,high_coverage,99.9,238,241,116059,8363.92,13.88,13.62,10.23,11.86,15.27,16.54,True,Dynamic historical locale: City
2022-2023,City,dynamic_annual_cross_section,high_coverage,99.9,241,244,118967,8706.25,13.66,13.11,10.29,11.6,14.72,16.1,True,Dynamic historical locale: City
2023-2024,City,dynamic_annual_cross_section,high_coverage,99.85,250,251,125499,9109.17,13.78,13.28,10.38,11.76,14.89,16.47,True,Dynamic historical locale: City
2024-2025,City,dynamic_annual_cross_section,high_coverage,99.94,248,249,125597,9131.85,13.75,13.42,10.24,12.0,15.04,15.93,True,Dynamic historical locale: City
2014-2015,Suburb,dynamic_annual_cross_section,complete,100.0,227,229,138849,8782.64,15.81,15.57,13.62,14.46,17.14,17.77,True,Dynamic historical locale: Suburb
