model_id,model_family,dependent_variable,sample_description,n_observations,n_groups,coefficient_name,coefficient_value,std_error,t_or_z_stat,p_value,ci_95_lower,ci_95_upper,r_squared,implied_10yr_change,methodological_caveat
M01,Descriptive_Aggregate_OLS,Metro_LEA_PTR_K12,Annual aggregate series (10 valid years),10,10,year_trend_slope,-0.1599,0.016,-9.983,1e-05,-0.1968,-0.1229,0.9257,-1.6,Descriptive linear summary of aggregate series; not causal. Emphasizes observed slope over p-value. Excludes 2015-16 due to federal data suppression.
M02,Descriptive_Aggregate_OLS,Metro_LEA_Combined_Ratio,Annual aggregate series (10 valid years),10,10,year_trend_slope,-0.1272,0.0063,-20.154,0.0,-0.1418,-0.1127,0.9807,-1.27,Descriptive linear summary of aggregate series; not causal. Emphasizes observed slope over p-value. Excludes 2015-16 due to federal data suppression.
M03,Descriptive_Aggregate_OLS,Metro_LEA_Teachers_Per_1000,Annual aggregate series (10 valid years),10,10,year_trend_slope,0.8028,0.0817,9.826,1e-05,0.6144,0.9912,0.9235,8.03,Descriptive linear summary of aggregate series; not causal. Emphasizes observed slope over p-value. Excludes 2015-16 due to federal data suppression.
M04,Descriptive_Aggregate_OLS,Metro_LEA_Paras_Per_1000,Annual aggregate series (10 valid years),10,10,year_trend_slope,0.1469,0.0538,2.732,0.02578,0.0229,0.271,0.4826,1.47,Descriptive linear summary of aggregate series; not causal. Emphasizes observed slope over p-value. Excludes 2015-16 due to federal data suppression.
M05,Descriptive_Aggregate_OLS,State_KS_LEA_PTR_K12,Annual aggregate series (10 valid years),10,10,year_trend_slope,-0.1623,0.0258,-6.296,0.00023,-0.2217,-0.1029,0.8321,-1.62,Descriptive linear summary of aggregate series; not causal. Emphasizes observed slope over p-value. Excludes 2015-16 due to federal data suppression.
M06,Descriptive_Aggregate_OLS,State_MO_LEA_PTR_K12,Annual aggregate series (11 valid years),11,11,year_trend_slope,-0.1581,0.0094,-16.867,0.0,-0.1793,-0.1369,0.9693,-1.58,Descriptive linear summary of aggregate series; not causal. Emphasizes observed slope over p-value.
M07,Descriptive_Aggregate_OLS,Metro_School_Weighted_PTR,Annual aggregate series (10 valid years),10,10,year_trend_slope,-0.1543,0.0095,-16.255,0.0,-0.1762,-0.1324,0.9706,-1.54,Descriptive linear summary of aggregate series; not causal. Emphasizes observed slope over p-value. Excludes 2015-16 due to federal data suppression.
M08,Descriptive_Aggregate_OLS,Metro_School_Median_PTR,Annual aggregate series (10 valid years),10,10,year_trend_slope,-0.1874,0.0135,-13.897,0.0,-0.2185,-0.1563,0.9602,-1.87,Descriptive linear summary of aggregate series; not causal. Emphasizes observed slope over p-value. Excludes 2015-16 due to federal data suppression.
M09,School_Fixed_Effects_Panel,students_per_classroom_teacher_fte_allgrades,Balanced Panel: All Regular Operating Schools (Within-School Estimator),6182,572,year_trend (beta),-0.175,0.0098,-17.829,0.0,-0.1942,-0.1558,0.1136,-1.75,School fixed effects absorb time-invariant school traits; SE clustered by school. Estimates average within-school staffing trajectory.
M10,School_Fixed_Effects_Panel,students_per_classroom_teacher_fte_allgrades,Balanced Panel Sensitivity: Excluding Schools with Any Grade-Span Change,3922,366,year_trend (beta),-0.1634,0.012,-13.595,0.0,-0.187,-0.1399,0.1295,-1.63,Filters out schools with structural grade reconfiguration; confirms within-school trajectory is not driven by grade changes.
M11,Interaction_Fixed_Effects,students_per_classroom_teacher_fte_allgrades,Balanced Panel Locale Interaction: City (Fixed 2024-25 Classification),6182,572,year_x_City,-0.1899,0.0199,-9.546,0.0,-0.2289,-0.1509,0.1161,-1.9,Within-school slope for City schools classified under fixed 2024-25 geography.
