usd_number,district_name,county,students_1415,students_2425,delta_students,pct_change_students,t_classroom_1415,t_classroom_2425,delta_t_classroom,pct_change_t_classroom,t_other_1415,t_other_2425,delta_t_other,pct_change_t_other,t_instructional_1415,t_instructional_2425,delta_t_instructional,pct_change_t_instructional,specialist_share_1415,specialist_share_2425,classroom_share_of_growth,specialist_share_of_growth,ratio_classroom_1415,ratio_classroom_2425,ratio_instructional_1415,ratio_instructional_2425,specialist_denominator_wedge_1415,specialist_denominator_wedge_2425
202,Turner-Kansas City,Wyandotte,3969.6,3750.0,-219.6,-5.53,208.0,223.0,15.0,7.21,46.0,37.0,-9.0,-19.57,254.0,260.0,6.0,2.36,18.11,14.23,250.0,-150.0,19.1,16.8,15.63,14.42,3.47,2.38
203,Piper-Kansas City,Wyandotte,1897.0,2734.0,837.0,44.12,107.5,155.0,47.5,44.19,9.0,36.0,27.0,300.0,116.5,191.0,74.5,63.95,7.73,18.85,63.76,36.24,17.6,17.6,16.28,14.31,1.32,3.29
204,Bonner Springs,Wyandotte,2526.1,2451.8,-74.3,-2.94,155.0,163.0,8.0,5.16,29.0,33.0,4.0,13.79,184.0,196.0,12.0,6.52,15.76,16.84,66.67,33.33,16.3,15.0,13.73,12.51,2.57,2.49
207,Ft Leavenworth,Leavenworth,1738.9,1405.7,-333.2,-19.16,111.0,116.0,5.0,4.5,18.8,14.0,-4.8,-25.53,129.8,130.0,0.2,0.15,14.48,10.77,2500.0,-2400.0,15.7,12.1,13.4,10.81,2.3,1.29
229,Blue Valley-Johnson,Johnson,21375.1,21779.7,404.6,1.89,1236.7,1323.9,87.2,7.05,255.0,346.1,91.1,35.73,1491.7,1670.0,178.3,11.95,17.09,20.72,48.91,51.09,17.3,16.5,14.33,13.04,2.97,3.46
230,Spring Hill,Johnson,3174.8,5681.7,2506.9,78.96,140.8,239.6,98.8,70.17,24.7,40.0,15.3,61.94,165.5,279.6,114.1,68.94,14.92,14.31,86.59,13.41,22.5,23.7,19.18,20.32,3.32,3.38
231,Gardner Edgerton,Johnson,5359.5,5658.8,299.3,5.58,312.1,369.0,56.9,18.23,53.4,80.0,26.6,49.81,365.5,449.0,83.5,22.85,14.61,17.82,68.14,31.86,17.2,15.3,14.66,12.6,2.54,2.7
232,De Soto,Johnson,6752.1,7138.2,386.1,5.72,399.0,449.9,50.9,12.76,67.1,70.0,2.9,4.32,466.1,519.9,53.8,11.54,14.4,13.46,94.61,5.39,16.9,15.9,14.49,13.73,2.41,2.17
233,Olathe,Johnson,27601.4,27522.3,-79.1,-0.29,1667.7,1743.0,75.3,4.52,300.6,332.0,31.4,10.45,1968.3000000000002,2075.0,106.7,5.42,15.27,16.0,70.57,29.43,16.6,15.8,14.02,13.26,2.58,2.54
367,Osawatomie,Miami,1171.0,951.3,-219.7,-18.76,75.0,66.0,-9.0,-12.0,3.0,3.0,0.0,0.0,78.0,69.0,-9.0,-11.54,3.85,4.35,100.0,-0.0,15.6,14.4,15.01,13.79,0.59,0.61
368,Paola,Miami,1931.0,1767.6,-163.4,-8.46,128.0,116.0,-12.0,-9.38,67.0,83.0,16.0,23.88,195.0,199.0,4.0,2.05,34.36,41.71,-300.0,400.0,15.1,15.2,9.9,8.88,5.2,6.32
416,Louisburg,Miami,1661.5,1658.6,-2.9,-0.17,95.1,98.0,2.9,3.05,5.0,1.0,-4.0,-80.0,100.1,99.0,-1.1,-1.1,5.0,1.01,-263.64,363.64,17.5,16.9,16.6,16.75,0.9,0.15
449,Easton,Leavenworth,620.1,662.3,42.2,6.81,48.0,50.0,2.0,4.17,1.0,0.0,-1.0,-100.0,49.0,50.0,1.0,2.04,2.04,0.0,200.0,-100.0,12.9,13.2,12.66,13.25,0.24,-0.05
453,Leavenworth,Leavenworth,3642.5,3187.0,-455.5,-12.51,214.0,193.5,-20.5,-9.58,48.0,37.0,-11.0,-22.92,262.0,230.5,-31.5,-12.02,18.32,16.05,65.08,34.92,17.0,16.5,13.9,13.83,3.1,2.67
458,Basehor-Linwood,Leavenworth,2320.0,2979.0,659.0,28.41,116.0,171.0,55.0,47.41,26.0,59.5,33.5,128.85,142.0,230.5,88.5,62.32,18.31,25.81,62.15,37.85,20.0,17.4,16.34,12.92,3.66,4.48
464,Tonganoxie,Leavenworth,1907.5,1930.5,23.0,1.21,134.0,124.9,-9.1,-6.79,20.3,24.0,3.7,18.23,154.3,148.9,-5.4,-3.5,13.16,16.12,168.52,-68.52,14.2,15.5,12.36,12.97,1.84,2.53
469,Lansing,Leavenworth,2534.6,2577.2,42.6,1.68,139.0,132.0,-7.0,-5.04,44.0,38.0,-6.0,-13.64,183.0,170.0,-13.0,-7.1,24.04,22.35,53.85,46.15,18.2,19.5,13.85,15.16,4.35,4.34
500,Kansas City,Wyandotte,20523.2,20557.4,34.2,0.17,1382.0,1237.2,-144.8,-10.48,350.0,159.0,-191.0,-54.57,1732.0,1396.2,-335.8,-19.39,20.21,11.39,43.12,56.88,14.9,16.6,11.85,14.72,3.05,1.88
512,Shawnee Mission,Johnson,26280.1,25957.9,-322.2,-1.23,1454.8,1659.6,204.8,14.08,256.0,294.7,38.7,15.12,1710.8,1954.3,243.5,14.23,14.96,15.08,84.11,15.89,18.1,15.6,15.36,13.28,2.74,2.32
