state,district,nces_lea_id,school_year,nces_enrollment_k12,nces_teacher_fte_k12,nces_teacher_fte_total,state_enrollment_comparable,state_teacher_fte_comparable,state_measure_used,teacher_fte_diff,pct_difference,audit_classification,source_compatibility_status,explanatory_notes
KS,Blue Valley,2012000,2014-2015,21882,1426.50,1453.30,21375.1,1491.70,KSDE Classroom + Other Teachers FTE,-65.20,-4.37%,moderate_difference,Highly Compatible,"State includes Pre-K and SPED in total teachers. Difference to NCES Total is -38.40 (-2.57%)."
KS,Blue Valley,2012000,2019-2020,22375,1597.83,1625.63,22416.4,1604.60,KSDE Classroom + Other Teachers FTE,-6.77,-0.42%,close_match,Highly Compatible,"Near-exact match to NCES K-12 Teacher FTE (diff -6.77 FTE, -0.42%)."
KS,Blue Valley,2012000,2024-2025,21796,1640.27,1672.47,21779.7,1670.00,KSDE Classroom + Other Teachers FTE,-29.73,-1.78%,close_match,Highly Compatible,"NCES Total reported (1672.47) matches State Total (1670.00) within +2.47 FTE (+0.15%)."
KS,Olathe,2010140,2014-2015,28439,1940.00,2021.00,27601.4,1968.30,KSDE Classroom + Other Teachers FTE,-28.30,-1.44%,close_match,Highly Compatible,"NCES K-12 FTE matches state instructional sum within -28.3 FTE (-1.44%)."
KS,Olathe,2010140,2019-2020,29223,2159.95,2204.65,29360.1,2205.10,KSDE Classroom + Other Teachers FTE,-45.15,-2.05%,moderate_difference,Highly Compatible,"NCES Total Reported (2204.65) matches State Total (2205.10) within 0.45 FTE (-0.02%)."
KS,Olathe,2010140,2024-2025,27499,2140.99,2189.32,27522.3,2137.00,KSDE Budget Form 150 Full Time Teachers,+3.99,+0.19%,close_match,Highly Compatible,"KSDE Budget Form 150 (2137.0 FTE) matches NCES K-12 FTE (2140.99) within 3.99 FTE (+0.19%)."
KS,Kansas City,2007950,2014-2015,21158,1391.60,1478.10,20523.2,1382.00,KSDE Classroom Teachers FTE,+9.60,+0.69%,close_match,Highly Compatible,"NCES K-12 FTE matches KSDE Classroom Teachers within +9.60 FTE (+0.69%). SPED co-op staff accounted separately."
KS,Kansas City,2007950,2019-2020,22277,1564.67,1641.67,22234.9,1598.00,KSDE Classroom Teachers FTE,-33.33,-2.09%,moderate_difference,Highly Compatible,"NCES K-12 FTE matches KSDE Classroom Teachers within -33.33 FTE (-2.09%)."
KS,Kansas City,2007950,2024-2025,20210,1352.98,1399.56,20557.4,1396.20,KSDE Classroom + Other Teachers FTE,-43.22,-3.10%,moderate_difference,Highly Compatible,"NCES Total Reported (1399.56) matches State Total (1396.20) within +3.36 FTE (+0.24%)."
KS,Shawnee Mission,2011640,2014-2015,27098,1718.00,1743.50,26280.1,1710.80,KSDE Classroom + Other Teachers FTE,+7.20,+0.42%,close_match,Highly Compatible,"NCES K-12 FTE matches state instructional sum within +7.20 FTE (+0.42%)."
