school_year,enrollment_k12,teachers_k12_fte,paraprofessionals_fte,instructional_coordinators_fte,counselors_fte,psychologists_fte,student_support_staff_fte,school_administrators_fte,lea_administrators_fte,total_staff_fte,geo_scope,students_per_teacher_k12,students_per_teacher_para_k12,teachers_k12_per_1000,paraprofessionals_per_1000,instructional_coordinators_per_1000,counselors_per_1000,total_administrators_fte,administrators_per_1000,para_to_teacher_ratio
2014-2015,321228,21633.260000000002,4774.11,536.61,764.37,0.0,2310.59,1112.68,186.95,41956.94,All Fully Regional LEAs (77),14.85,12.16,67.35,14.86,1.67,2.38,1299.63,4.05,0.221
2015-2016,323844,19458.42,4038.03,538.19,674.63,0.0,1942.57,1010.99,190.19,38002.21,All Fully Regional LEAs (77),16.64,13.78,60.09,12.47,1.66,2.08,1201.18,3.71,0.208
2016-2017,325274,22065.54,4856.21,561.48,747.7,0.0,0.0,1118.27,198.97,41032.52,All Fully Regional LEAs (77),14.74,12.08,67.84,14.93,1.73,2.3,1317.24,4.05,0.22
2017-2018,327585,22670.66,4886.68,583.39,772.8,0.0,0.0,1130.37,209.91,41191.28,All Fully Regional LEAs (77),14.45,11.89,69.21,14.92,1.78,2.36,1340.28,4.09,0.216
2018-2019,328578,22828.39,5147.01,554.8,812.04,0.0,0.0,1225.48,204.02,42583.72,All Fully Regional LEAs (77),14.39,11.75,69.48,15.66,1.69,2.47,1429.5,4.35,0.225
2019-2020,329357,23136.48,5273.11,643.83,791.55,209.8,2347.64,1271.85,210.75,45842.01,All Fully Regional LEAs (77),14.24,11.59,70.25,16.01,1.95,2.4,1482.6,4.5,0.228
2020-2021,321732,23310.69,4871.59,684.76,802.85,214.38,2488.54,1291.41,216.78,47082.89,All Fully Regional LEAs (77),13.8,11.42,72.45,15.14,2.13,2.5,1508.19,4.69,0.209
2021-2022,320165,23508.760000000002,4774.43,685.08,823.98,194.37,2724.61,1220.66,207.62,45357.05,All Fully Regional LEAs (77),13.62,11.32,73.43,14.91,2.14,2.57,1428.2800000000002,4.46,0.203
2022-2023,321595,23886.08,4933.75,720.05,908.6,222.78,2765.33,1358.04,218.21,46000.06,All Fully Regional LEAs (77),13.46,11.16,74.27,15.34,2.24,2.83,1576.25,4.9,0.207
2023-2024,319559,23620.079999999998,5225.16,806.1,938.77,228.75,2731.81,1393.26,222.85,47653.32,All Fully Regional LEAs (77),13.53,11.08,73.91,16.35,2.52,2.94,1616.11,5.06,0.221
