school_year,nces_school_id,school_name,course_name,num_classes,num_enrolled,mean_class_size,flag
2013-2014,291640000862,PASEO ACAD. OF PERFORMING ARTS,Calculus,1.0,2.0,2.0,Very Low Mean Class Size (< 3 students/class)
2013-2014,290000901289,WATKINS MILL PARK CAMP,Algebra I,1.0,91.0,91.0,High Mean Class Size (> 50 students/class)
2013-2014,290000901289,WATKINS MILL PARK CAMP,Biology,1.0,53.0,53.0,High Mean Class Size (> 50 students/class)
2013-2014,291314000948,GRANDVIEW ALTERNATIVE SCH.,Algebra I,12.0,33.0,2.75,Very Low Mean Class Size (< 3 students/class)
2013-2014,291314000948,GRANDVIEW ALTERNATIVE SCH.,Algebra II,5.0,8.0,1.6,Very Low Mean Class Size (< 3 students/class)
2013-2014,291314000948,GRANDVIEW ALTERNATIVE SCH.,Biology,10.0,11.0,1.1,Very Low Mean Class Size (< 3 students/class)
2013-2014,291548001707,INDEPENDENCE ACADEMY,Algebra I,5.0,14.0,2.8,Very Low Mean Class Size (< 3 students/class)
2013-2014,291548001707,INDEPENDENCE ACADEMY,Biology,5.0,13.0,2.6,Very Low Mean Class Size (< 3 students/class)
2013-2014,291854003148,LIBERTY NORTH HIGH SCHOOL,Algebra II,20.0,45.0,2.25,Very Low Mean Class Size (< 3 students/class)
2013-2014,291854003148,LIBERTY NORTH HIGH SCHOOL,Physics,4.0,5.0,1.25,Very Low Mean Class Size (< 3 students/class)
2013-2014,292355002537,RUSSELL JONES ED CENTER,Algebra I,4.0,6.0,1.5,Very Low Mean Class Size (< 3 students/class)
2013-2014,291830003135,MILLER PARK CENTER,Biology,1.0,2.0,2.0,Very Low Mean Class Size (< 3 students/class)
2013-2014,291830003135,MILLER PARK CENTER,Chemistry,1.0,2.0,2.0,Very Low Mean Class Size (< 3 students/class)
2013-2014,290059303176,DeLaSalle Charter High School,Algebra II,10.0,8.0,0.8,Very Low Mean Class Size (< 3 students/class)
2013-2014,291854001011,LIBERTY HIGH,Physics,4.0,9.0,2.25,Very Low Mean Class Size (< 3 students/class)
2013-2014,291640003097,SOUTHEAST HIGH SCHOOL,Biology,2.0,103.0,51.5,High Mean Class Size (> 50 students/class)
2013-2014,291640003097,SOUTHEAST HIGH SCHOOL,Physics,2.0,126.0,63.0,High Mean Class Size (> 50 students/class)
2013-2014,200001801751,School for Blind High,Biology,3.0,8.0,2.6666666666666665,Very Low Mean Class Size (< 3 students/class)
2013-2014,201236000024,Turner High,Algebra I,6.0,597.0,99.5,High Mean Class Size (> 50 students/class)
2013-2014,201236000024,Turner High,Calculus,2.0,145.0,72.5,High Mean Class Size (> 50 students/class)
2013-2014,200002501855,Lansing Correctional Facility,Algebra I,2.0,141.0,70.5,High Mean Class Size (> 50 students/class)
2013-2014,200002501855,Lansing Correctional Facility,Biology,2.0,140.0,70.0,High Mean Class Size (> 50 students/class)
2013-2014,292322001336,ORRICK HIGH,Calculus,1.0,2.0,2.0,Very Low Mean Class Size (< 3 students/class)
2013-2014,291107000379,DREXEL HIGH,Chemistry,1.0,2.0,2.0,Very Low Mean Class Size (< 3 students/class)
2013-2014,291548003096,VAN HORN HIGH,Calculus,1.0,2.0,2.0,Very Low Mean Class Size (< 3 students/class)
