crdc_wave,course_name,subject_area,course_level,schools_reporting,total_classes,total_enrolled,class_weighted_mean_size,unweighted_mean_size,median_size,p25_size,p75_size,matched_class_weighted_ptr,class_weighted_allocation_wedge,school_unweighted_mean_ptr,school_unweighted_median_ptr,school_unweighted_mean_wedge,school_unweighted_median_wedge,certified_teacher_pct
2013-14,Algebra I,Math,Foundation Core,89,1015,16625,16.38,17.98,18.25,13.0,22.67,16.08,0.29,15.38,15.87,2.73,1.85,
2013-14,Algebra II,Math,Foundation Core,88,1046,16741,16.0,20.11,21.31,16.32,23.72,16.55,-0.54,15.82,15.95,4.6,5.08,
2013-14,Biology,Science,Foundation Core,86,1677,26611,15.87,19.44,19.71,15.03,23.42,16.5,-0.64,15.57,15.89,3.95,3.76,
2013-14,Chemistry,Science,Foundation Core,86,1139,17484,15.35,20.21,21.46,14.73,22.98,16.39,-1.04,15.62,15.88,4.68,4.9,
2013-14,Advanced Mathematics,Math,Advanced / Specialized,81,1210,15885,13.13,16.35,16.47,11.15,22.0,16.6,-3.48,15.72,15.89,0.63,0.71,
2013-14,Physics,Science,Advanced / Specialized,72,586,7984,13.62,17.45,18.0,12.0,22.31,16.53,-2.9,15.78,15.96,1.68,2.13,
2013-14,Calculus,Math,Advanced / Specialized,66,287,3363,11.72,14.66,13.5,8.12,21.55,16.69,-4.97,16.09,16.07,-1.43,-2.5,
2015-16,Algebra I,Math,Foundation Core,89,795,15525,19.53,19.47,20.7,15.25,23.29,16.22,3.31,15.37,15.73,4.42,4.56,99.4
2015-16,Algebra II,Math,Foundation Core,83,829,15638,18.86,19.54,21.42,12.67,24.43,16.56,2.3,15.44,15.86,4.25,4.98,99.3
2015-16,Biology,Science,Foundation Core,87,1275,27097,21.25,21.71,20.5,17.76,24.25,16.35,4.9,15.18,15.74,6.76,5.18,96.5
2015-16,Chemistry,Science,Foundation Core,85,918,20313,22.13,22.02,22.55,18.0,25.4,16.47,5.66,15.5,15.78,6.38,5.92,97.8
2015-16,Advanced Mathematics,Math,Advanced / Specialized,76,814,16019,19.68,19.62,21.31,12.9,24.12,16.39,3.28,15.47,15.75,4.11,4.79,99.0
2015-16,Physics,Science,Advanced / Specialized,74,394,8627,21.9,19.69,20.94,13.25,25.14,16.46,5.44,15.9,16.0,3.67,4.78,98.5
2015-16,Calculus,Math,Advanced / Specialized,64,177,2970,16.78,15.86,16.25,7.88,22.42,16.51,0.27,16.03,16.0,-0.8,-2.98,100.0
2017-18,Algebra I,Math,Foundation Core,100,1010,17578,17.4,17.86,17.6,12.97,22.15,15.97,1.44,15.18,15.83,3.12,2.49,95.8
2017-18,Geometry,Math,Foundation Core,95,1024,19225,18.77,18.82,19.67,14.12,23.73,16.39,2.38,15.65,15.9,3.39,4.52,98.9
2017-18,Algebra II,Math,Foundation Core,92,1141,19976,17.51,18.14,17.07,11.73,24.03,16.29,1.22,15.65,15.9,2.77,2.91,98.0
2017-18,Biology,Science,Foundation Core,100,1560,29404,18.85,19.28,19.32,15.5,23.24,16.25,2.59,15.23,15.82,4.56,4.66,98.3
2017-18,Chemistry,Science,Foundation Core,91,1059,21423,20.23,19.65,19.6,15.31,22.96,16.37,3.86,15.61,15.9,4.17,4.53,98.6
2017-18,Advanced Mathematics,Math,Advanced / Specialized,81,988,18219,18.44,18.25,19.0,13.0,23.4,16.11,2.33,15.66,16.05,2.76,3.94,98.9
2017-18,Physics,Science,Advanced / Specialized,79,510,9319,18.27,17.09,18.0,9.75,22.88,16.47,1.8,15.76,16.03,1.33,2.69,99.0
2017-18,Calculus,Math,Advanced / Specialized,64,223,3334,14.95,14.28,14.25,8.0,19.85,16.65,-1.7,16.15,16.19,-1.87,-1.72,99.6
2020-21,Algebra I,Math,Foundation Core,102,1492,20240,13.57,16.25,13.91,10.02,20.4,16.63,-3.07,14.95,15.78,1.43,-0.51,84.3
2020-21,Geometry,Math,Foundation Core,96,1262,20000,15.85,17.22,16.15,11.56,22.27,16.93,-1.08,15.5,16.02,2.03,1.03,79.9
