crdc_wave,course_name,expected_regular_high_schools,expected_total_high_schools,schools_reporting_classes,schools_reporting_enrollment,schools_entering_analysis,class_coverage_rate_pct,analysis_coverage_rate_pct,missing_regular_hs_count,missing_in_missouri,missing_in_kansas,missing_charters,missing_virtual_programs
2013-14,Algebra I,93,107,207,110,84,100.0,90.3,6,12,2,3,0
2013-14,Geometry,93,107,0,0,0,0.0,0.0,93,69,38,9,0
2013-14,Algebra II,93,107,97,97,85,98.9,91.4,4,11,4,2,0
2013-14,Biology,93,107,110,110,83,102.2,89.2,4,12,0,3,0
2013-14,Chemistry,93,107,93,93,84,94.6,90.3,7,15,4,2,0
2013-14,Advanced Mathematics,93,107,85,85,81,89.2,87.1,10,18,6,5,0
2013-14,Physics,93,107,84,84,71,87.1,76.3,13,21,5,5,0
2013-14,Calculus,93,107,73,73,66,76.3,71.0,22,27,9,6,0
2015-16,Algebra I,88,102,107,107,83,103.4,94.3,3,8,3,0,0
2015-16,Geometry,88,102,104,0,0,102.3,0.0,4,7,5,0,0
2015-16,Algebra II,88,102,98,98,79,97.7,89.8,7,8,8,0,0
2015-16,Biology,88,102,107,107,82,104.5,93.2,2,7,3,0,0
2015-16,Chemistry,88,102,92,92,82,97.7,93.2,5,13,3,1,0
2015-16,Advanced Mathematics,88,102,82,82,75,90.9,85.2,9,16,6,3,0
2015-16,Physics,88,102,83,83,72,87.5,81.8,13,16,9,3,0
2015-16,Calculus,88,102,68,68,64,75.0,72.7,22,28,8,6,0
2017-18,Algebra I,103,120,114,114,93,102.9,90.3,5,11,3,0,0
2017-18,Geometry,103,120,108,108,91,99.0,88.3,6,14,4,0,0
2017-18,Algebra II,103,120,102,102,90,93.2,87.4,9,19,5,0,0
2017-18,Biology,103,120,109,109,95,99.0,92.2,7,14,4,1,0
2017-18,Chemistry,103,120,96,96,90,89.3,87.4,12,23,5,1,0
2017-18,Advanced Mathematics,103,120,86,86,79,82.5,76.7,20,27,8,4,1
2017-18,Physics,103,120,86,86,78,82.5,75.7,19,29,6,3,0
2017-18,Calculus,103,120,73,73,64,70.9,62.1,30,39,8,7,0
2020-21,Algebra I,102,119,115,115,95,103.9,93.1,3,12,1,0,0
2020-21,Geometry,102,119,103,103,92,97.1,90.2,7,15,5,0,0
2020-21,Algebra II,102,119,100,100,94,96.1,92.2,7,19,2,2,0
2020-21,Biology,102,119,113,113,100,103.9,98.0,2,12,1,0,0
2020-21,Chemistry,102,119,100,99,91,95.1,89.2,8,19,3,1,0
2020-21,Advanced Mathematics,102,119,84,83,80,82.4,78.4,19,30,5,5,0
2020-21,Physics,102,119,83,83,80,79.4,78.4,22,34,4,4,0
2020-21,Calculus,102,119,74,74,70,72.5,68.6,29,37,8,6,0
2021-22,Algebra I,106,123,115,115,93,99.1,87.7,7,14,4,1,2
2021-22,Geometry,106,123,109,109,97,98.1,91.5,6,14,5,0,3
2021-22,Algebra II,106,123,101,101,91,90.6,85.8,12,20,7,1,2
2021-22,Biology,106,123,117,117,96,102.8,90.6,3,12,2,0,1
2021-22,Chemistry,106,123,100,100,90,89.6,84.9,13,22,6,1,3
2021-22,Advanced Mathematics,106,123,86,86,82,81.1,77.4,21,27,10,2,4
2021-22,Physics,106,123,92,92,78,83.0,73.6,20,28,7,5,3
2021-22,Calculus,106,123,71,71,65,67.0,61.3,36,38,14,7,4
2023-24,Algebra I,113,130,118,118,100,95.6,88.5,10,15,7,1,6
2023-24,Geometry,113,130,113,113,98,92.9,86.7,11,18,7,2,6
2023-24,Algebra II,113,130,103,103,93,85.8,82.3,19,23,10,3,6
2023-24,Biology,113,130,115,115,99,94.7,87.6,12,16,7,2,6
2023-24,Chemistry,113,130,95,95,88,81.4,77.9,22,28,10,4,6
2023-24,Advanced Mathematics,113,130,90,90,88,79.6,77.9,24,26,14,4,7
2023-24,Physics,113,130,86,86,79,72.6,69.9,32,37,11,6,6
2023-24,Calculus,113,130,63,63,57,55.8,50.4,51,48,19,11,8
