specification_id,specification_name,crdc_wave,course_group,records_retained,records_removed,schools_retained,classes_retained,enrollment_retained,class_weighted_course_mean,matched_class_weighted_ptr,class_weighted_allocation_wedge,school_unweighted_mean_wedge,school_unweighted_median_wedge
1,Spec 1: All Valid Nonnegative Records,All Waves (Pooled),All Courses Combined,4407,26905,142,46664.0,777507.0,16.66,16.35,0.31,2.54,2.2
1,Spec 1: All Valid Nonnegative Records,All Waves (Pooled),Foundation Core (Alg1/Geom/Alg2/Bio/Chem),2959,28353,142,36212.0,611218.0,16.88,16.3,0.58,3.79,3.21
1,Spec 1: All Valid Nonnegative Records,All Waves (Pooled),Core Mathematics (Alg1/Geom/Alg2),1713,29599,139,18981.0,315227.0,16.61,16.24,0.37,3.36,2.84
1,Spec 1: All Valid Nonnegative Records,All Waves (Pooled),Advanced / Specialized (Calc/Phys/AdvM),1448,29864,115,10452.0,166289.0,15.91,16.52,-0.61,0.14,-0.36
1,Spec 1: All Valid Nonnegative Records,2023-24,Algebra I,118,551,118,1388.0,23560.0,16.97,16.22,0.75,4.1,3.68
1,Spec 1: All Valid Nonnegative Records,2023-24,Geometry,113,556,113,1257.0,23146.0,18.41,16.14,2.27,3.8,4.38
1,Spec 1: All Valid Nonnegative Records,2023-24,Algebra II,103,566,103,977.0,18031.0,18.46,16.2,2.26,3.4,4.11
1,Spec 1: All Valid Nonnegative Records,2023-24,Biology,115,554,115,1888.0,30854.0,16.34,16.21,0.13,3.6,2.32
1,Spec 1: All Valid Nonnegative Records,2023-24,Chemistry,95,574,95,959.0,17528.0,18.28,16.09,2.18,3.19,4.01
1,Spec 1: All Valid Nonnegative Records,2023-24,Calculus,63,606,63,203.0,3209.0,15.81,15.92,-0.11,-0.53,0.61
2,Spec 2: Operating Regular High Schools Only,All Waves (Pooled),All Courses Combined,4026,27286,112,45310.0,756780.0,16.7,16.38,0.32,2.42,2.2
2,Spec 2: Operating Regular High Schools Only,All Waves (Pooled),Foundation Core (Alg1/Geom/Alg2/Bio/Chem),2624,28688,112,35025.0,593755.0,16.95,16.34,0.61,3.71,3.28
2,Spec 2: Operating Regular High Schools Only,All Waves (Pooled),Core Mathematics (Alg1/Geom/Alg2),1512,29800,110,18253.0,305631.0,16.74,16.29,0.46,3.34,2.91
2,Spec 2: Operating Regular High Schools Only,All Waves (Pooled),Advanced / Specialized (Calc/Phys/AdvM),1402,29910,103,10285.0,163025.0,15.85,16.51,-0.66,0.02,-0.46
2,Spec 2: Operating Regular High Schools Only,2023-24,Algebra I,103,566,103,1350.0,23270.0,17.24,16.27,0.97,4.53,3.86
2,Spec 2: Operating Regular High Schools Only,2023-24,Geometry,102,567,102,1234.0,23012.0,18.65,16.18,2.47,4.06,4.71
2,Spec 2: Operating Regular High Schools Only,2023-24,Algebra II,94,575,94,958.0,17881.0,18.66,16.21,2.45,3.79,4.26
2,Spec 2: Operating Regular High Schools Only,2023-24,Biology,101,568,101,1853.0,30605.0,16.52,16.26,0.25,3.96,2.48
2,Spec 2: Operating Regular High Schools Only,2023-24,Chemistry,91,578,91,950.0,17424.0,18.34,16.08,2.26,3.46,4.11
2,Spec 2: Operating Regular High Schools Only,2023-24,Calculus,62,607,62,201.0,3179.0,15.82,15.92,-0.1,-0.53,0.61
3,Spec 3: Spec 2 Excl Virtual/Specialized,All Waves (Pooled),All Courses Combined,3980,27332,109,45232.0,754857.0,16.69,16.36,0.33,2.36,2.2
3,Spec 3: Spec 2 Excl Virtual/Specialized,All Waves (Pooled),Foundation Core (Alg1/Geom/Alg2/Bio/Chem),2590,28722,109,34965.0,591903.0,16.93,16.32,0.6,3.54,3.27
3,Spec 3: Spec 2 Excl Virtual/Specialized,All Waves (Pooled),Core Mathematics (Alg1/Geom/Alg2),1492,29820,108,18223.0,304369.0,16.7,16.27,0.43,3.11,2.85
3,Spec 3: Spec 2 Excl Virtual/Specialized,All Waves (Pooled),Advanced / Specialized (Calc/Phys/AdvM),1390,29922,102,10267.0,162954.0,15.87,16.49,-0.62,0.19,-0.34
3,Spec 3: Spec 2 Excl Virtual/Specialized,2023-24,Algebra I,101,568,101,1347.0,23114.0,17.16,16.24,0.92,4.16,3.85
3,Spec 3: Spec 2 Excl Virtual/Specialized,2023-24,Geometry,100,569,100,1231.0,22910.0,18.61,16.15,2.46,3.94,4.51
3,Spec 3: Spec 2 Excl Virtual/Specialized,2023-24,Algebra II,92,577,92,955.0,17799.0,18.64,16.18,2.46,3.76,4.18
3,Spec 3: Spec 2 Excl Virtual/Specialized,2023-24,Biology,99,570,99,1851.0,30464.0,16.46,16.26,0.2,2.93,2.45
3,Spec 3: Spec 2 Excl Virtual/Specialized,2023-24,Chemistry,89,580,89,948.0,17388.0,18.34,16.06,2.28,3.53,4.2
3,Spec 3: Spec 2 Excl Virtual/Specialized,2023-24,Calculus,62,607,62,201.0,3179.0,15.82,15.92,-0.1,-0.53,0.61
4,Spec 4: Spec 3 + Outlier Filter (3-55),All Waves (Pooled),All Courses Combined,3840,27472,107,44168.0,747546.0,16.93,16.44,0.48,2.21,2.37
4,Spec 4: Spec 3 + Outlier Filter (3-55),All Waves (Pooled),Foundation Core (Alg1/Geom/Alg2/Bio/Chem),2518,28794,107,34151.0,587369.0,17.2,16.41,0.79,3.33,3.35
4,Spec 4: Spec 3 + Outlier Filter (3-55),All Waves (Pooled),Core Mathematics (Alg1/Geom/Alg2),1447,29865,107,17649.0,302048.0,17.11,16.38,0.73,3.06,3.0
4,Spec 4: Spec 3 + Outlier Filter (3-55),All Waves (Pooled),Advanced / Specialized (Calc/Phys/AdvM),1322,29990,101,10017.0,160177.0,15.99,16.55,-0.56,0.1,-0.04
4,Spec 4: Spec 3 + Outlier Filter (3-55),2023-24,Algebra I,99,570,99,1312.0,23032.0,17.55,16.17,1.39,4.37,3.86
4,Spec 4: Spec 3 + Outlier Filter (3-55),2023-24,Geometry,96,573,96,1209.0,22859.0,18.91,16.2,2.71,4.28,5.01
4,Spec 4: Spec 3 + Outlier Filter (3-55),2023-24,Algebra II,91,578,91,954.0,17798.0,18.66,16.18,2.48,3.98,4.26
4,Spec 4: Spec 3 + Outlier Filter (3-55),2023-24,Biology,98,571,98,1849.0,30462.0,16.47,16.26,0.22,2.93,2.45
4,Spec 4: Spec 3 + Outlier Filter (3-55),2023-24,Chemistry,86,583,86,922.0,17333.0,18.8,16.12,2.68,3.84,4.32
4,Spec 4: Spec 3 + Outlier Filter (3-55),2023-24,Calculus,57,612,57,185.0,3154.0,17.05,15.77,1.28,0.71,0.75
