school_year,policy_era,num_campuses,enrollment_k12,classroom_teacher_fte,hs_weighted_ptr,total_classes,total_enrolled,crdc_core_math_mean
2014-2015,Pre-2020 (6 of 7 Load; phi ≈ 1.167),4,6394,391.0,16.35,,,
2015-2016,Pre-2020 (6 of 7 Load; phi ≈ 1.167),4,6633,380.1,17.45,145.0,2288.0,15.78
2016-2017,Pre-2020 (6 of 7 Load; phi ≈ 1.167),4,6525,375.8,17.36,,,
2017-2018,Pre-2020 (6 of 7 Load; phi ≈ 1.167),5,8291,485.8,17.07,197.0,4724.0,23.98
2018-2019,Pre-2020 (6 of 7 Load; phi ≈ 1.167),5,8222,471.4,17.44,,,
2019-2020,Pre-2020 (6 of 7 Load; phi ≈ 1.167),5,8177,471.2,17.35,,,
2020-2021,Post-2020 (5 of 7 Phased; phi = 1.400),5,8147,486.4,16.75,199.0,4766.0,23.95
2021-2022,Post-2020 (5 of 7 Phased; phi = 1.400),5,8005,498.9,16.05,211.0,4844.0,22.96
2022-2023,Post-2020 (5 of 7 Phased; phi = 1.400),5,8117,520.2,15.6,,,
2023-2024,Post-2020 (5 of 7 Phased; phi = 1.400),5,8007,494.0,16.21,198.0,4948.0,24.99
2024-2025,Post-2020 (5 of 7 Phased; phi = 1.400),5,8011,515.0,15.55,,,
