crdc_wave,course_code,course_name,num_schools,num_classes,num_enrolled,cw_mean_size,cw_school_ptr,raw_allocation_wedge,exp_size_6of7,resid_6of7,exp_size_6of8,resid_6of8,exp_size_5of7,resid_5of7,unweighted_median_size,unweighted_median_ptr,unweighted_median_wedge
2013-14,ALL_COURSES,All Science & Math Courses,89,6935,104243,15.03,16.48,-1.45,19.22,-4.19,21.97,-6.94,23.07,-8.04,19.0,15.95,3.23
2013-14,CORE_MATH,"Core Math (Algebra I, Geometry, Algebra II)",89,2045,33206,16.24,16.35,-0.11,19.07,-2.84,21.8,-5.56,22.89,-6.65,19.4,15.89,4.08
2013-14,alg1,Algebra I,84,1002,16499,16.47,16.15,0.32,18.84,-2.37,21.53,-5.06,22.6,-6.14,18.26,15.88,1.85
2013-14,alg2,Algebra II,85,1043,16707,16.02,16.55,-0.53,19.3,-3.28,22.06,-6.04,23.16,-7.15,21.38,15.95,5.08
2013-14,advm,Advanced Mathematics,81,1210,15885,13.13,16.6,-3.48,19.37,-6.24,22.14,-9.01,23.24,-10.12,16.47,15.89,0.71
2013-14,calc,Calculus,66,287,3363,11.72,16.69,-4.97,19.47,-7.76,22.26,-10.54,23.37,-11.65,13.5,16.07,-2.5
2013-14,bio,Biology,83,1673,26513,15.85,16.52,-0.67,19.27,-3.42,22.03,-6.18,23.13,-7.28,19.69,15.89,3.71
2013-14,chem,Chemistry,84,1136,17386,15.3,16.41,-1.11,19.15,-3.84,21.88,-6.58,22.97,-7.67,21.46,15.89,4.84
2013-14,phys,Physics,71,584,7890,13.51,16.57,-3.06,19.33,-5.82,22.09,-8.58,23.2,-9.69,18.0,15.96,2.05
2015-16,ALL_COURSES,All Science & Math Courses,80,4500,91367,20.3,16.44,3.86,19.18,1.12,21.92,-1.62,23.02,-2.71,20.68,15.84,4.63
2015-16,CORE_MATH,"Core Math (Algebra I, Geometry, Algebra II)",79,1449,27680,19.1,16.45,2.66,19.19,-0.09,21.93,-2.83,23.03,-3.92,20.8,15.81,4.65
2015-16,alg1,Algebra I,78,712,13811,19.4,16.28,3.12,18.99,0.41,21.7,-2.3,22.79,-3.39,20.6,15.74,4.55
2015-16,alg2,Algebra II,74,737,13869,18.82,16.61,2.21,19.38,-0.56,22.15,-3.33,23.26,-4.44,21.73,15.86,4.84
