nces_school_id,school_name,district_name,state,locale_group,enrollment,teacher_fte,building_ptr,core_math_classes,core_math_enrolled,core_math_size,adv_math_classes,adv_math_enrolled,adv_math_size,core_sci_classes,core_sci_enrolled,core_sci_size,adv_sci_classes,adv_sci_enrolled,adv_sci_size,naive_roster_5p,core_math_roster_5p,core_sci_roster_5p,adv_math_roster_5p,math_roster_wedge
200001801751,School for Blind High,School for Blind,KS,City,11.0,5.5,2.0,1.0,5.0,5.0,0.0,0.0,,1.0,2.0,2.0,0.0,0.0,,10.0,25.0,10.0,,15.0
200001901753,School for Deaf High,School for Deaf,KS,Suburb,69.0,14.5,4.76,5.0,9.0,1.8,0.0,0.0,,2.0,14.0,7.0,0.0,0.0,,23.799999999999997,9.0,35.0,,-14.799999999999997
200378001186,Basehor-Linwood High School,Basehor-Linwood,KS,Rural,915.0,56.3,16.25,34.0,717.0,21.08823529411765,9.0,123.0,13.666666666666666,34.0,728.0,21.41176470588235,8.0,104.0,13.0,81.25,105.44117647058825,107.05882352941175,68.33333333333333,24.191176470588246
200405000031,Bonner Springs High,Bonner Springs,KS,Suburb,802.0,62.6,12.81,17.0,273.0,16.058823529411764,0.0,0.0,,0.0,0.0,,0.0,0.0,,64.05,80.29411764705883,,,16.24411764705883
200549000127,De Soto  High  School,De Soto,KS,Rural,968.0,66.0,14.67,62.0,650.0,10.483870967741936,14.0,280.0,20.0,39.0,666.0,17.076923076923077,5.0,70.0,14.0,73.35,52.41935483870968,85.38461538461539,100.0,-20.930645161290315
200549001723,Mill Valley High School,De Soto,KS,Suburb,1383.0,82.5,16.76,71.0,993.0,13.985915492957746,14.0,287.0,20.5,50.0,868.0,17.36,12.0,225.0,18.75,83.80000000000001,69.92957746478874,86.8,102.5,-13.870422535211276
200564001131,Pleasant Ridge High,Easton,KS,Rural,171.0,15.2,11.25,8.0,103.0,12.875,1.0,4.0,4.0,6.0,88.0,14.666666666666666,1.0,6.0,6.0,56.25,64.375,73.33333333333333,20.0,8.125
200642000122,Gardner Edgerton High,Gardner Edgerton,KS,Suburb,1766.0,101.5,17.4,58.0,1178.0,20.310344827586206,14.0,258.0,18.428571428571427,49.0,928.0,18.93877551020408,6.0,127.0,21.166666666666668,87.0,101.55172413793103,94.6938775510204,92.14285714285714,14.551724137931032
200795001419,Sumner Academy of Arts & Science,Kansas City,KS,City,1005.0,61.34,16.38,24.0,489.0,20.375,17.0,428.0,25.176470588235293,25.0,585.0,23.4,7.0,113.0,16.142857142857142,81.89999999999999,101.875,117.0,125.88235294117646,19.97500000000001
200795001420,Wyandotte High,Kansas City,KS,City,1841.0,91.61,20.1,110.0,2221.0,20.19090909090909,11.0,130.0,11.818181818181818,60.0,875.0,14.583333333333334,7.0,124.0,17.714285714285715,100.5,100.95454545454545,72.91666666666667,59.09090909090909,0.45454545454545325
200795001423,J C Harmon High,Kansas City,KS,City,1282.0,66.59,19.25,92.0,789.0,8.576086956521738,4.0,38.0,9.5,41.0,603.0,14.707317073170731,4.0,70.0,17.5,96.25,42.88043478260869,73.53658536585365,47.5,-53.36956521739131
