school_year,nces_school_id,school_name,district_name,state,enrollment,building_ptr,core_math_size,adv_math_size,core_sci_size,core_math_roster,naive_roster,roster_wedge
2013-2014,200001801751,SCHOOL FOR BLIND HIGH,SCHOOL FOR BLIND,KS,31.0,3.44,,,2.6666666666666665,,17.2,
2013-2014,200001901753,SCHOOL FOR DEAF HIGH,SCHOOL FOR DEAF,KS,49.0,3.5,6.5,,2.375,32.5,17.5,15.0
2013-2014,200002501855,KS. STATE PENITENTIARY (LANSING),KS. STATE PENITENTIARY,KS,0.0,,140.5,,70.0,702.5,,
2013-2014,200378001186,BASEHOR-LINWOOD HIGH SCHOOL,BASEHOR-LINWOOD,KS,848.0,19.72,45.733333333333334,8.75,14.055555555555555,228.66666666666669,98.6,130.0666666666667
2013-2014,200405000031,BONNER SPRINGS HIGH,BONNER SPRINGS,KS,721.0,13.11,14.657142857142857,12.0,8.61111111111111,73.28571428571428,65.55,7.73571428571428
2013-2014,200549000127,DE SOTO  HIGH  SCHOOL,DE SOTO,KS,689.0,13.0,26.066666666666666,21.416666666666668,16.208333333333332,130.33333333333334,65.0,65.33333333333334
2013-2014,200549001723,MILL VALLEY HIGH SCHOOL,DE SOTO,KS,1302.0,15.88,25.6,22.842105263157894,23.225,128.0,79.4,48.599999999999994
2013-2014,200564001131,PLEASANT RIDGE HIGH,EASTON,KS,236.0,11.8,22.5,12.0,12.375,112.5,59.0,53.5
2013-2014,200642000122,GARDNER EDGERTON HIGH,GARDNER EDGERTON,KS,1416.0,17.06,39.51851851851852,27.90909090909091,22.88888888888889,197.5925925925926,85.3,112.29259259259261
2013-2014,200795001419,SUMNER ACADEMY OF ARTS & SCIENCE,KANSAS CITY,KS,836.0,14.67,24.294117647058822,17.1,27.333333333333332,121.47058823529412,73.35,48.12058823529412
2013-2014,200795001420,WYANDOTTE HIGH,KANSAS CITY,KS,1460.0,15.37,38.266666666666666,16.0,30.0,191.33333333333331,76.85,114.48333333333332
2013-2014,200795001423,J C HARMON HIGH,KANSAS CITY,KS,1261.0,16.59,39.27272727272727,23.666666666666668,29.0,196.36363636363637,82.95,113.41363636363637
2013-2014,200795001425,F L SCHLAGLE HIGH,KANSAS CITY,KS,816.0,14.07,38.76923076923077,16.0,24.0,193.84615384615384,70.35,123.49615384615385
2013-2014,200795001433,WASHINGTON HIGH,KANSAS CITY,KS,1012.0,15.57,74.88888888888889,26.0,24.7,374.44444444444446,77.85,296.59444444444443
2013-2014,200834001230,LANSING HIGH 9-12,LANSING,KS,832.0,14.86,33.785714285714285,19.8,20.2,168.92857142857142,74.3,94.62857142857142
2013-2014,200843001157,LEAVENWORTH SR HIGH,LEAVENWORTH,KS,1398.0,16.26,27.484848484848484,23.529411764705884,22.53846153846154,137.42424242424244,81.30000000000001,56.124242424242425
2013-2014,200897000983,LOUISBURG HIGH,LOUISBURG,KS,509.0,14.97,31.363636363636363,8.166666666666666,16.846153846153847,156.8181818181818,74.85000000000001,81.9681818181818
2013-2014,200897001742,PEORIA STREET LEARNING CENTER,LOUISBURG,KS,34.0,34.0,,,2.0,,170.0,
2013-2014,201014000040,OLATHE EAST SR HIGH,OLATHE,KS,2096.0,15.88,26.857142857142858,22.23913043478261,19.907894736842106,134.28571428571428,79.4,54.88571428571427
2013-2014,201014000137,OLATHE NORTH SR HIGH,OLATHE,KS,2164.0,15.46,23.609756097560975,23.17948717948718,18.875,118.04878048780488,77.30000000000001,40.748780487804865
2013-2014,201014001602,OLATHE SOUTH SR HIGH,OLATHE,KS,2109.0,15.86,27.08695652173913,24.71875,19.958904109589042,135.43478260869566,79.3,56.13478260869566
2013-2014,201014001793,OLATHE NORTHWEST HIGH SCHOOL,OLATHE,KS,1938.0,16.02,35.84615384615385,24.0,20.48611111111111,179.23076923076923,80.1,99.13076923076923
2013-2014,201026000774,OSAWATOMIE HIGH,OSAWATOMIE,KS,372.0,13.78,25.666666666666668,11.333333333333334,21.666666666666668,128.33333333333334,68.89999999999999,59.43333333333335
2013-2014,201050000779,PAOLA HIGH,PAOLA,KS,607.0,13.8,26.46153846153846,19.77777777777778,24.0,132.3076923076923,69.0,63.30769230769229
2013-2014,201068000026,PIPER HIGH,PIPER-KANSAS CITY,KS,572.0,15.89,27.5,23.333333333333332,20.266666666666666,137.5,79.45,58.05
