canonical_variable_name,source_dataset,source_field_era1_2014_16,source_field_era2_2016_17,source_field_era3_2017_24,source_field_era4_2024_25,first_available_year,last_available_year,definition_notes,comparability_status
nces_school_id,CCD School Directory / EDGE,NCESSCH,NCESSCH,NCESSCH,NCESSCH,2014-2015,2024-2025,12-digit unique NCES school identifier.,Comparable
nces_lea_id,CCD School Directory / EDGE,LEAID,LEAID,LEAID,LEAID,2014-2015,2024-2025,7-digit unique NCES LEA/district identifier.,Comparable
school_name,CCD School Directory,SCH_NAME,SCH_NAME,SCH_NAME,SCH_NAME,2014-2015,2024-2025,Reported school building name.,Comparable
lea_name,CCD School Directory,LEA_NAME,LEA_NAME,LEA_NAME,LEA_NAME,2014-2015,2024-2025,Reported education agency name.,Comparable
state,CCD School Directory,STABR / LSTATE,ST / LSTATE,ST / LSTATE,ST / LSTATE,2014-2015,2024-2025,Two-letter state postal abbreviation (MO or KS).,Comparable
county_name,NCES EDGE Geocodes,CONAME (14-15) / NMCNTY (15-16),NMCNTY,NMCNTY,NMCNTY,2014-2015,2024-2025,County name of physical building location.,Comparable
county_fips,NCES EDGE Geocodes,CONUM (14-15) / CNTY (15-16),CNTY,CNTY,CNTY,2014-2015,2024-2025,5-digit FIPS code of physical county.,Comparable
latitude,NCES EDGE Geocodes,LATCODE (14-15) / LAT (15-16),LAT,LAT,LAT,2014-2015,2024-2025,Geocoded latitude coordinate of school building.,Comparable
longitude,NCES EDGE Geocodes,LONGCODE (14-15) / LON (15-16),LON,LON,LON,2014-2015,2024-2025,Geocoded longitude coordinate of school building.,Comparable
locale_code_year,NCES EDGE Geocodes,LOCALE,LOCALE,LOCALE,LOCALE,2014-2015,2024-2025,NCES 2-digit locale classification code (11-43) active in observed school year. Changes across years reflect boundary updates and EDGE methodologies.,Comparable_with_caution
locale_group_year,NCES EDGE Geocodes,Derived from LOCALE,Derived from LOCALE,Derived from LOCALE,Derived from LOCALE,2014-2015,2024-2025,"High-level locale grouping (City, Suburb, Town, Rural).",Comparable_with_caution
distance_downtown_kc_miles,Derived from EDGE Geocodes,"Haversine to (39.1027, -94.5779)","Haversine to (39.1027, -94.5779)","Haversine to (39.1027, -94.5779)","Haversine to (39.1027, -94.5779)",2014-2015,2024-2025,"Great-circle distance in miles from school coordinates to Kansas City Hall (39.1027, -94.5779).",Comparable
is_operating,CCD School Directory,"STATUS in (1, 3, 4, 5, 8)","SY_STATUS in (1, 3, 4, 5, 8)","SY_STATUS in (1, 3, 4, 5, 8)","SY_STATUS in (1, 3, 4, 5, 8)",2014-2015,2024-2025,"True for active schools: Open, New, Added, Changed Agency, Reopened.",Comparable
school_type,CCD School Directory,TYPE / SCH_TYPE,SCH_TYPE / SCH_TYPE_TEXT,SCH_TYPE / SCH_TYPE_TEXT,SCH_TYPE / SCH_TYPE_TEXT,2014-2015,2024-2025,"NCES official school type (Regular, Special Education, Vocational, Alternative).",Comparable
classroom_teacher_fte,CCD School Staff,FTE,TEACHERS,TEACHERS,TEACHERS,2014-2015,2024-2025,Full-Time Equivalent classroom teachers reported at the school building.,Comparable
enrollment_total,CCD School Membership,TOTAL / MEMBER,STUDENT_COUNT (TOTAL_INDICATOR == 'Education Unit Total'),STUDENT_COUNT (TOTAL_INDICATOR == 'Education Unit Total'),STUDENT_COUNT (TOTAL_INDICATOR == 'Education Unit Total'),2014-2015,2024-2025,Total headcount enrollment across all grades including Pre-K.,Comparable
enrollment_pk,CCD School Membership,PK,STUDENT_COUNT (GRADE == 'Pre-Kindergarten'),STUDENT_COUNT (GRADE == 'Pre-Kindergarten'),STUDENT_COUNT (GRADE == 'Pre-Kindergarten'),2014-2015,2024-2025,Pre-Kindergarten headcount enrollment.,Comparable
enrollment_k12,CCD School Membership,Sum of KG + G01..G12 + UG,enrollment_total - enrollment_pk,enrollment_total - enrollment_pk,enrollment_total - enrollment_pk,2014-2015,2024-2025,K-12 headcount enrollment excluding Pre-K.,Comparable
students_per_classroom_teacher_fte_allgrades,Derived (Membership / Staff),enrollment_total / classroom_teacher_fte,enrollment_total / classroom_teacher_fte,enrollment_total / classroom_teacher_fte,enrollment_total / classroom_teacher_fte,2014-2015,2024-2025,School-level capacity ratio. Staffing ratio != class size.,Comparable
frl_eligible,CCD School Lunch,TOTFRL,STUDENT_COUNT (Total FRL),STUDENT_COUNT (Total FRL),STUDENT_COUNT (Total FRL),2014-2015,2024-2025,Count of free and reduced-price lunch eligible students. In 2016-17 reporting methodology shifted; CEP expansion affects counts. Do not use as continuous poverty proxy.,Definition_changed
frl_observed,Derived from Lunch,frl_eligible.notna(),frl_eligible.notna(),frl_eligible.notna(),frl_eligible.notna(),2014-2015,2024-2025,Boolean flag indicating whether FRL was reported or unobserved/missing.,Comparable
teachers_k12_fte,CCD LEA Staff,"TOTTCH - PKTCH (if PKTCH=-2 treated as 0; audited vs component sum)","Sum of Kindergarten, Elementary, Secondary, Ungraded Teachers","Sum of Kindergarten, Elementary, Secondary, Ungraded Teachers","Sum of Kindergarten, Elementary, Secondary, Ungraded Teachers",2014-2015,2024-2025,K-12 teacher FTE excluding Pre-K teachers. Remediated: negative codes (-1 -2 -9) converted to NaN.,Comparable
paraprofessionals_fte,CCD LEA Staff,PARA,Paraprofessionals/Instructional Aides,Paraprofessionals/Instructional Aides,Paraprofessionals/Instructional Aides,2014-2015,2024-2025,Paraprofessional and instructional aide FTE. Negative codes (-1 -9) converted to NaN.,Comparable
counselors_fte,CCD LEA Staff,GUI / TOTGUI,Guidance Counselors / School Counselors,Guidance Counselors / School Counselors,Guidance Counselors / School Counselors,2014-2015,2024-2025,Total counselor FTE reported at LEA level.,Comparable_with_caution
students_per_teacher_fte_k12,Derived (LEA Enrollment / Staff),enrollment_k12 / teachers_k12_fte,enrollment_k12 / teachers_k12_fte,enrollment_k12 / teachers_k12_fte,enrollment_k12 / teachers_k12_fte,2014-2015,2024-2025,LEA-level K-12 student-to-teacher FTE ratio.,Comparable
students_per_teacher_para_fte_k12,Derived (LEA Enrollment / Staff),enrollment_k12 / (teachers_k12_fte + paraprofessionals_fte),enrollment_k12 / (teachers_k12_fte + paraprofessionals_fte),enrollment_k12 / (teachers_k12_fte + paraprofessionals_fte),enrollment_k12 / (teachers_k12_fte + paraprofessionals_fte),2014-2015,2024-2025,LEA-level combined instructional staff capacity ratio.,Comparable
lea_fully_within_region,Audit (National Directory vs KC Universe),lea_operating_schools_outside_region == 0,lea_operating_schools_outside_region == 0,lea_operating_schools_outside_region == 0,lea_operating_schools_outside_region == 0,2014-2015,2024-2025,Boolean flag indicating whether 100% of LEA operating schools are physically within the 9 KC counties.,Comparable
balanced_panel_eligible,Derived (Full Panel History),years_observed == 11 and is_operating all years,years_observed == 11 and is_operating all years,years_observed == 11 and is_operating all years,years_observed == 11 and is_operating all years,2014-2015,2024-2025,True if school ID is continuously operating inside 9-county region across all 11 school years.,Comparable
grade_span_changed_any,Derived (Full Panel History),span differs across observed years,span differs across observed years,span differs across observed years,span differs across observed years,2014-2015,2024-2025,School-level flag: True if school reported different grade span configurations over time.,Comparable
lea_changed_any,Derived (Full Panel History),LEAID differs across observed years,LEAID differs across observed years,LEAID differs across observed years,LEAID differs across observed years,2014-2015,2024-2025,School-level flag: True if school was reassigned to a different LEA during the decade.,Comparable
school_type_changed_any,Derived (Full Panel History),school_type differs across observed years,school_type differs across observed years,school_type differs across observed years,school_type differs across observed years,2014-2015,2024-2025,School-level flag: True if NCES school type classification changed over time.,Comparable
locale_changed_any,Derived (Full Panel History),locale_code differs across observed years,locale_code differs across observed years,locale_code differs across observed years,locale_code differs across observed years,2014-2015,2024-2025,School-level flag: True if NCES locale code classification changed over time.,Comparable_with_caution
teachers_k12_fte_components,CCD LEA Staff,KGTCH + ELMTCH + SECTCH + UGTCH,"Sum of Kindergarten, Elementary, Secondary, Ungraded Teachers","Sum of Kindergarten, Elementary, Secondary, Ungraded Teachers","Sum of Kindergarten, Elementary, Secondary, Ungraded Teachers",2014-2015,2024-2025,Secondary component-derived K-12 teacher FTE retained for QA audit against primary total-minus-PreK.,Comparable
teacher_fte_valid,Derived from School Staff,classroom_teacher_fte.notna() & >=0,classroom_teacher_fte.notna() & >=0,classroom_teacher_fte.notna() & >=0,classroom_teacher_fte.notna() & >=0,2014-2015,2024-2025,School-level boolean flag: True if teacher FTE is valid and non-negative.,Comparable
teacher_k12_valid,Derived from LEA Staff,teachers_k12_fte.notna() & >=0,teachers_k12_fte.notna() & >=0,teachers_k12_fte.notna() & >=0,teachers_k12_fte.notna() & >=0,2014-2015,2024-2025,LEA-level boolean flag: True if K-12 teacher FTE is valid and non-negative.,Comparable
nces_exception_codes,All Historical CCD Numeric Fields,"Negative values (-1 missing, -2 not applicable, -9 suppressed)","Null strings / blanks","Null strings / blanks","Null strings / blanks",2014-2015,2015-2016,Systematic protocol converts negative codes to NaN/NA prior to arithmetic; zero negative values retained in analytical columns.,Remediated

