school_year,dataset,release_version,filename,source_url,download_date,sha256,schema_notes,availability_status
2014-2015,CCD School Directory,v.1a,ccd_sch_029_1415_w_0216601a_txt.zip,https://nces.ed.gov/ccd/data/zip/ccd_sch_029_1415_w_0216601a_txt.zip,2026-09-24,e7c503a0e2b3431056e19e57bd9d86674d05a8e53dbed626d287f2a1696ae732,School Directory tab-delimited text,Available
2014-2015,CCD School Membership,v.1a,ccd_sch_052_1415_w_0216161a_txt.zip,https://nces.ed.gov/ccd/data/zip/ccd_sch_052_1415_w_0216161a_txt.zip,2026-09-24,0271ebbf8d0b88ca1149239718da8666cebe7e7297b6b17e9674fd5081cdb7bb,School Membership wide table,Available
2014-2015,CCD School Staff,v.1a,ccd_sch_059_1415_w_0216161a_txt.zip,https://nces.ed.gov/ccd/data/zip/ccd_sch_059_1415_w_0216161a_txt.zip,2026-09-24,e8c8e73921e9ee8d6d88348f33eceac4383925e4d9cfe58bddb75b618074091e,School Staff wide table with FTE,Available
2014-2015,CCD School Characteristics,v.1a,ccd_sch_129_1415_w_0216161a_txt.zip,https://nces.ed.gov/ccd/data/zip/ccd_sch_129_1415_w_0216161a_txt.zip,2026-09-24,514152ad2531187f926fa3d8df89c9192ec83f75825086b3413a85fb8919ac87,School Characteristics wide table,Available
2014-2015,CCD School Lunch,v.1a,ccd_sch_033_1415_w_0216161a_txt.zip,https://nces.ed.gov/ccd/data/zip/ccd_sch_033_1415_w_0216161a_txt.zip,2026-09-24,63466618dfa1b8127727123d318ebf8e18fd7b8de192ee1ea237e5b343f056bd,School Lunch wide table with TOTFRL,Available
2014-2015,CCD LEA Directory,v.1a,ccd_lea_029_1415_w_0216161ar_txt.zip,https://nces.ed.gov/ccd/data/zip/ccd_lea_029_1415_w_0216161ar_txt.zip,2026-09-24,236f49acc0d3158166e553f1ab6eed2d233b8ee75bbbdc2b95708e5825b20c68,LEA Directory tab-delimited text,Available
2014-2015,CCD LEA Membership,v.1a,ccd_lea_052_1415_w_0216161a_txt.zip,https://nces.ed.gov/ccd/data/zip/ccd_lea_052_1415_w_0216161a_txt.zip,2026-09-24,d530105e87039d51e46f2c4897d46beca913a2ae5218ebb199590d6381e83985,LEA Membership wide table,Available
2014-2015,CCD LEA Staff,v.1a,ccd_lea_059_1415_w_0216161a_txt.zip,https://nces.ed.gov/ccd/data/zip/ccd_lea_059_1415_w_0216161a_txt.zip,2026-09-24,697e0b1fc2bc1c7089da781593ad3d0c18e7aaf802057a1efa3476d28d4cd0a0,LEA Staff wide table with TOTTCH/PARA,Available
2014-2015,NCES EDGE Public School Geocodes,Final,EDGE_GEOIDS_201415_PUBLIC_SCHOOL_csv.zip,https://nces.ed.gov/ccd/data/zip/EDGE_GEOIDS_201415_PUBLIC_SCHOOL_csv.zip,2026-09-24,693f89f161bf9b8c5f90deb8eae44eb56b97fa84eebc5ba49114a1b69e3d276d,EDGE Public School Geocodes CSV,Available
2015-2016,CCD School Directory,v.2a,ccd_sch_029_1516_w_2a_011717_csv.zip,https://nces.ed.gov/ccd/data/zip/ccd_sch_029_1516_w_2a_011717_csv.zip,2026-09-24,0d80217021a8351617c303014bf6b785b98cabd9dfca88f9dfeb2ab6d45493ac,School Directory CSV,Available
