operationalization_id,measure_id,name,source_id,jurisdiction,geographic_level,population,reference_period_definition,numerator_definition,denominator_definition,source_fields,formula,valid_from,valid_to,comparison_class,staff_assignment_scope,assignment_completeness,validation_status,notes
PTR-NCES-SCHOOL,EDU-001,NCES Public School Universe Official PTR,nces-ccd,US National / All States,School / Campus,Public elementary and secondary schools in CCD universe,Fall snapshot (on or near October 1),Total student membership headcount across all grades offered (PreK-12),FTE classroom teachers (reported for campus),"MEMBER, TEACHERS",MEMBER / TEACHERS,1986-87,2024-25,national_administrative_census,campus_reported_classroom_teachers,building_level_only,authoritative_source_reported,"Authoritative NCES CCD school-level operationalization. Does not deduct Pre-K; denominator is FTE classroom teachers as reported by states."
PTR-NCES-LEA,EDU-001,NCES LEA Non-Fiscal Survey Official PTR,nces-ccd,US National / All States,LEA / District,Operating local education agencies (types 1 2 7),Fall snapshot (on or near October 1),Total LEA student membership headcount,Total LEA teacher FTE (including itinerant and centralized teachers),"MEMBER, TEACHERS",sum(MEMBER) / sum(TEACHERS),1986-87,2024-25,national_administrative_census,district_wide_total_teachers,district_aggregate_including_central,authoritative_source_reported,"Authoritative NCES CCD LEA-level operationalization. Includes itinerant and centrally assigned instructional staff not assigned to building codes."
PTR-OBS-K12-ADJUSTED,EDU-001,Observatory K-12 Adjusted PTR,nces-ccd,Research Universe (National / Regional),School / LEA,Regular public elementary and secondary schools with Pre-K isolated,Fall snapshot (on or near October 1),K-12 student membership (MEMBER minus PK enrollment),K-12 teacher FTE (Total teacher FTE minus reported Pre-K teacher FTE),"MEMBER, PK, TEACHERS, TEACHERS_PK",(MEMBER - max(0 PK)) / (TEACHERS - max(0 TEACHERS_PK)),1998-99,2024-25,research_derived_adjusted,k12_instructional_faculty,k12_isolated_fallback_flagged,observatory_derived_audited,"Observatory-derived implementation from KC Education Capacity Study. Explicitly separates Pre-K from K-12 to isolate elementary and secondary instructional load."
PTR-KSDE-CLASSROOM,EDU-001,Kansas State Classroom Teacher Ratio,ksde,Kansas Statewide,LEA / School,Kansas Unified School Districts (USDs),Fall snapshot (September 20 audited count),K-12 Headcount enrollment,Full-time equivalent General and Subject Classroom Teachers (excluding specialists),"ENROLLMENT_HEADCOUNT, FTE_CLASSROOM_TEACHER",ENROLLMENT_HEADCOUNT / FTE_CLASSROOM_TEACHER,2000-01,2024-25,state_administrative_disaggregated,classroom_teachers_only,excludes_sped_and_specialists,authoritative_source_reported,"State administrative operationalization from KSDE KPTEN/CPFS. Explicitly isolates general classroom teachers from SPED/reading specialists."
PTR-KSDE-TOTAL,EDU-001,Kansas State Total Licensed Instructional Staff Ratio,ksde,Kansas Statewide,LEA / School,Kansas Unified School Districts (USDs),Fall snapshot (September 20 audited count),K-12 Headcount enrollment,Total certified instructional personnel FTE (classroom teachers + specialists),"ENROLLMENT_HEADCOUNT, FTE_INSTRUCTIONAL_TOTAL",ENROLLMENT_HEADCOUNT / FTE_INSTRUCTIONAL_TOTAL,2000-01,2024-25,state_administrative_aggregate,all_licensed_instructional_staff,includes_sped_and_specialists,authoritative_source_reported,"State administrative operationalization from KSDE. Reflects total instructional staffing density."
ENR-NCES-FALL-MEMBER-SCH,EDU-002,NCES Public School Universe Fall Membership,nces-ccd,US National / All States,School / Campus,Public elementary and secondary schools in CCD universe,Fall snapshot (on or near October 1),Unduplicated student headcount enrolled on the snapshot date across all grades offered (PreK-12),none,MEMBER,MEMBER,1986-87,2024-25,national_administrative_census,not_applicable,building_level_headcount,authoritative_source_reported,"Official NCES school-level headcount membership. Includes Pre-K if offered. CTE/vocational centers without primary membership report 0."
ENR-NCES-FALL-MEMBER-LEA,EDU-002,NCES LEA Survey Fall Membership,nces-ccd,US National / All States,LEA / District,"Operating local education agencies (types 1, 2, 7)",Fall snapshot (on or near October 1),Unduplicated district student membership headcount under the official jurisdiction of the LEA,none,MEMBER,MEMBER,1986-87,2024-25,national_administrative_census,not_applicable,district_wide_aggregate,authoritative_source_reported,"Official NCES LEA-level membership. Includes centralized students, out-of-district day placements, and homebound students not attributed to a campus code. Exceeds sum of campus enrollments regionally by +0.74% (+2,445 students in KC metro)."
ENR-NCES-K12-MEMBER,EDU-002,Observatory K-12 Adjusted Headcount Membership,nces-ccd,Research Universe (National / Regional),School / LEA,Regular public elementary and secondary schools / LEAs with Pre-K isolated,Fall snapshot (on or near October 1),K-12 student membership headcount (Total membership minus Pre-Kindergarten enrollment),none,"MEMBER, PK",MEMBER - max(0 PK),1998-99,2024-25,research_derived_adjusted,not_applicable,k12_isolated_universe,observatory_derived_audited,"Observatory-derived operationalization isolating mandatory schooling grades K-12 from non-compulsory Pre-K early childhood programs."
ENR-MO-DESE-ADA,EDU-002,Missouri DESE Regular Average Daily Attendance (ADA),mo-dese,Missouri Statewide,LEA / District,Missouri public school districts and charter LEAs,Cumulative annual school year (total hours attended divided by calendar hours),Aggregate actual student attendance hours across the academic year divided by scheduled term hours,scheduled_term_hours,"TOTAL_ATTENDANCE_HOURS, CALENDAR_HOURS",TOTAL_ATTENDANCE_HOURS / CALENDAR_HOURS,1990-91,2024-25,state_funding_formula,not_applicable,funding_attendance_accounting,authoritative_source_reported,"Authoritative state funding operationalization under Missouri Foundation Formula. Typically 90-94% of fall headcount membership due to absenteeism."
ENR-KSDE-FTE,EDU-002,Kansas State Department of Education Audited FTE Enrollment,ksde,Kansas Statewide,LEA / School,Kansas Unified School Districts (USDs),Fall snapshot (September 20 audited count),Audited full-time equivalent student count where kindergarten and part-time students are weighted by instructional time,full_time_instructional_day,"FTE_ENROLLMENT, AUDITED_COUNT",sum(full_time_headcount + 0.5 * half_day_headcount),1992-93,2024-25,state_funding_formula,not_applicable,weighted_fte_accounting,authoritative_source_reported,"Kansas state funding formula operationalization. Prior to universal full-day kindergarten funding, Kindergarten counted as 0.5 FTE."
